All Relief Pitchers 2017  Season MLB Standard Categories
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Kenley Jansen RP  LAD"	68.3	0	0	0	5	0	41	1	109	7	44	1.32	0.75	52
"Craig Kimbrel RP  BOS"	69.0	0	0	0	5	0	35	4	126	14	33	1.44	0.68	54
"Corey Knebel RP  MIL "	76.0	0	0	0	1	4	39	6	126	40	48	1.78	1.16	109
"David Robertson RP  NYY"	68.3	0	0	0	9	2	14	2	98	23	35	1.84	0.85	127
"Roberto Osuna RP  TOR "	64.0	0	0	0	3	4	39	10	83	9	46	3.38	0.86	134
"Brad Peacock SP  HOU "	132.0	21	8	0	13	2	0	0	161	57	100	3.00	1.19	140
"Felipe Rivero RP  PIT "	75.3	0	0	0	5	3	21	2	88	20	47	1.67	0.89	147
"Brad Hand RP  SD "	79.3	0	0	0	3	4	21	5	104	20	54	2.15	0.93	172
"Alex Colome RP  TB "	66.7	0	0	0	2	3	47	6	58	23	57	3.24	1.20	181
"Edwin Diaz RP  SEA"	66.0	0	0	0	4	6	34	5	89	32	44	3.27	1.15	184
"Wade Davis RP  COL "	58.7	0	0	0	4	2	32	1	79	28	39	2.30	1.14	185
"Greg Holland RP  COL"	57.3	0	0	0	3	6	41	4	70	26	40	3.61	1.15	189
"Ken Giles RP  HOU "	62.7	0	0	0	1	3	34	4	83	21	44	2.30	1.04	192
"Raisel Iglesias RP  CIN"	76.0	0	0	0	3	3	28	2	92	27	57	2.49	1.11	193
"Fernando Rodney RP  MIN "	55.3	0	0	0	5	4	39	6	65	26	40	4.23	1.19	199
"Cody Allen RP  CLE "	67.3	0	0	0	3	7	30	4	92	21	57	2.94	1.16	205
"Mike Clevinger SP  CLE"	121.7	21	11	0	12	6	0	0	137	60	92	3.11	1.25	207
"Chris Devenski RP  HOU"	80.7	0	0	0	8	5	4	6	100	26	50	2.68	0.94	225
"Chad Green RP  NYY"	69.0	1	0	0	5	0	0	1	103	17	34	1.83	0.74	241
"Hector Neris RP  PHI"	74.7	0	0	0	4	5	26	3	86	26	68	3.01	1.26	246
"Yusmeiro Petit RP  OAK"	91.3	1	0	0	5	2	4	1	101	18	69	2.76	0.95	262
"Jose Urena SP  MIA "	169.7	28	12	0	14	7	0	0	113	64	152	3.82	1.27	263
"Sean Doolittle RP  WAS"	51.3	0	0	0	2	0	24	2	62	10	34	2.81	0.86	264
"Brandon Kintzler RP  WAS "	71.3	0	0	0	4	3	29	6	39	16	66	3.03	1.15	267
"Andrew Miller RP  CLE "	62.7	0	0	0	4	3	2	2	95	21	31	1.44	0.83	271
"Mike Minor RP  TEX"	77.7	0	0	0	6	6	6	3	88	22	57	2.55	1.02	273
"Matt Albers RP  MIL "	61.0	0	0	0	7	2	2	3	63	17	35	1.62	0.85	279
"Aroldis Chapman RP  NYY"	50.3	0	0	0	4	3	22	4	69	20	37	3.22	1.13	287
"Blake Parker RP  LAA "	67.3	0	0	0	3	3	8	3	86	16	40	2.54	0.83	289
"Addison Reed RP  MIN "	76.0	0	0	0	2	3	19	2	76	15	65	2.84	1.05	290
"Anthony Swarzak RP  NYM "	77.3	0	0	0	6	4	2	3	91	22	58	2.33	1.03	293
"Mychal Givens RP  BAL "	78.7	0	0	0	8	1	0	5	88	25	57	2.75	1.04	295
"Brad Brach RP  BAL "	68.0	0	0	0	4	5	18	6	70	26	51	3.18	1.13	306
"Ryan Madson RP  WAS"	59.0	0	0	0	5	4	2	3	67	9	38	1.83	0.80	310
"Pat Neshek RP  PHI "	62.3	0	0	0	5	3	1	4	69	6	48	1.59	0.87	312
"Arodys Vizcaino RP  ATL "	57.3	0	0	0	5	3	14	3	64	21	42	2.83	1.10	313
"Alex Claudio RP  TEX"	82.7	1	0	0	4	2	11	4	56	15	71	2.50	1.04	320
""Mike Montgomery RP  CHC ""	130.7	14	6	0	7	8	3	0	100	55	103	3.38	1.21	331
"Juan Nicasio RP  SEA "	72.3	0	0	0	5	5	6	4	72	20	58	2.61	1.08	336
"Dellin Betances RP  NYY "	59.7	0	0	0	3	6	10	3	100	44	29	2.87	1.22	342
"AJ Ramos RP  NYM "	58.7	0	0	0	2	4	27	3	72	34	49	3.99	1.41	348
"Carl Edwards RP  CHC"	66.3	0	0	0	5	4	0	4	94	38	29	2.98	1.01	350
"Archie Bradley RP  ARI "	73.0	0	0	0	3	3	1	6	79	21	55	1.73	1.04	353
"Kelvin Herrera RP  KC "	59.3	0	0	0	3	3	26	5	56	20	60	4.25	1.35	358
"Ryan Tepera RP  TOR "	77.7	0	0	0	7	1	2	2	81	31	57	3.59	1.13	359
"Chris Rusin RP  COL "	85.0	0	0	0	5	1	2	1	71	19	75	2.65	1.11	360
"Justin Wilson RP  CHC "	58.0	0	0	0	4	4	13	3	80	35	40	3.41	1.29	364
"Shane Greene RP  DET "	67.7	0	0	0	4	3	9	4	73	34	50	2.66	1.24	369
"Brandon Morrow RP  CHC "	43.7	0	0	0	6	0	2	1	50	9	31	2.06	0.92	374
"Josh Fields RP  LAD "	57.0	0	0	0	5	0	2	3	60	15	40	2.84	0.96	384
"Trevor Rosenthal RP  STL"	47.7	0	0	0	3	4	11	2	76	20	37	3.40	1.20	387
"Dominic Leone RP  STL "	70.3	0	0	0	3	0	1	4	81	23	51	2.56	1.05	388
"Jim Johnson RP  LAA"	56.7	0	0	0	6	3	22	9	61	25	59	5.56	1.48	389
"Tony Watson RP  LAD"	66.7	0	0	0	7	4	10	8	53	20	72	3.38	1.38	390
"Matt Barnes RP  BOS"	69.7	0	0	0	7	3	1	2	83	28	57	3.88	1.22	398
"Bud Norris RP  LAA "	62.0	3	0	0	2	6	19	4	74	27	56	4.21	1.34	402
"Adam Warren RP  NYY "	57.3	0	0	0	3	2	1	3	54	15	35	2.35	0.87	405
"Tyler Lyons RP  STL "	54.0	0	0	0	4	1	3	1	68	20	39	2.83	1.09	406
"David Price SP  BOS"	74.7	11	7	0	6	3	0	0	76	24	65	3.38	1.19	409
"Tommy Kahnle RP  NYY "	62.7	0	0	0	2	4	0	6	96	17	53	2.58	1.12	415
