All Second Basemen 2017  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Jose Altuve 2B  HOU"	590	112	204	137	39	4	24	81	58	84	32	6	0.346	0.410	0.547	5
"Jose Ramirez 3B  CLE"	585	107	186	95	56	6	29	83	52	69	17	5	0.318	0.374	0.583	12
"Dee Gordon 2B  SEA "	653	114	201	170	20	9	2	33	25	93	60	16	0.308	0.341	0.375	15
"Brian Dozier 2B  MIN"	617	106	166	98	30	4	34	93	78	141	16	7	0.269	0.357	0.496	17
"Anthony Rizzo 1B  CHC"	572	99	156	89	32	3	32	109	91	90	10	4	0.273	0.392	0.507	24
"Jonathan Schoop 2B  BAL "	622	92	182	115	35	0	32	105	35	142	1	0	0.293	0.338	0.503	31
"Whit Merrifield 2B  KC"	587	80	169	112	32	6	19	78	29	88	34	8	0.288	0.324	0.460	32
"Daniel Murphy 2B  WAS "	534	94	172	103	43	3	23	93	52	77	2	0	0.322	0.385	0.543	38
"Scooter Gennett 2B  CIN"	461	80	136	84	22	3	27	97	30	114	3	2	0.295	0.342	0.531	50
"Chris Taylor CF  LAD"	514	85	148	88	34	5	21	72	50	142	17	4	0.288	0.354	0.496	57
"Marwin Gonzalez LF  HOU"	455	67	138	81	34	0	23	90	49	99	8	3	0.303	0.377	0.530	68
"Robinson Cano 2B  SEA "	592	79	166	110	33	0	23	97	49	85	1	0	0.280	0.338	0.453	80
"Javier Baez 2B  CHC "	469	75	128	79	24	2	23	75	30	144	10	3	0.273	0.317	0.480	90
"Eduardo Nunez 3B  BOS "	467	60	146	101	33	0	12	58	18	54	24	7	0.313	0.341	0.460	95
"DJ LeMahieu 2B  COL "	609	95	189	149	28	4	8	64	59	90	6	5	0.310	0.374	0.409	97
"Rougned Odor 2B  TEX"	607	79	124	70	21	3	30	75	32	162	15	6	0.204	0.252	0.397	112
"Brandon Phillips 2B  LAA "	572	81	163	115	34	1	13	60	21	73	11	8	0.285	0.319	0.416	113
"Jose Reyes SS  NYM "	501	75	123	76	25	7	15	58	50	79	24	6	0.245	0.315	0.413	114
"Ian Kinsler 2B  LAA "	551	90	130	80	25	3	22	52	55	86	14	5	0.236	0.313	0.412	120
"Matt Carpenter 1B  STL "	497	91	120	64	31	2	23	69	109	125	2	1	0.241	0.384	0.451	125
"Tim Beckham SS  BAL "	533	67	148	103	18	5	22	62	36	167	6	5	0.278	0.328	0.454	126
"Ian Happ CF  CHC"	364	62	92	48	17	3	24	68	39	129	8	4	0.253	0.329	0.514	132
"Jed Lowrie 2B  OAK"	567	86	157	91	49	3	14	69	73	100	0	1	0.277	0.360	0.448	139
"Cesar Hernandez 2B  PHI "	511	85	150	109	26	6	9	34	61	104	15	5	0.293	0.373	0.421	144
"Paul DeJong SS  STL"	417	55	119	67	26	1	25	65	21	124	1	0	0.285	0.325	0.532	145
