All Starting Pitchers 2017  Season MLB Standard Categories
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Corey Kluber SP  CLE"	203.7	29	22	5	18	4	0	0	265	36	141	2.25	0.87	6
"Chris Sale SP  BOS "	214.3	32	23	1	17	8	0	0	308	43	165	2.90	0.97	8
"Max Scherzer SP  WAS"	200.7	31	22	2	16	6	0	0	268	55	126	2.51	0.90	9
"Clayton Kershaw SP  LAD"	175.0	27	20	1	18	4	0	0	202	30	136	2.31	0.95	21
"Stephen Strasburg SP  WAS"	175.3	28	20	1	15	4	0	0	204	47	131	2.52	1.02	40
"Carlos Carrasco SP  CLE"	200.0	32	19	1	18	6	0	0	226	46	173	3.29	1.09	42
"Luis Severino SP  NYY"	193.3	31	21	0	14	6	0	0	230	51	150	2.98	1.04	43
"Zack Greinke SP  ARI"	202.3	32	19	1	17	7	0	0	215	45	172	3.20	1.07	44
"Robbie Ray SP  ARI "	162.0	28	16	1	15	5	0	0	218	71	116	2.89	1.15	70
"Jacob deGrom SP  NYM "	201.3	31	21	1	15	10	0	0	239	59	180	3.53	1.19	81
"Justin Verlander SP  HOU"	206.0	33	23	0	15	8	0	0	219	72	170	3.36	1.17	83
"Alex Wood SP  LAD "	152.3	25	15	0	16	3	0	0	151	38	123	2.72	1.06	84
"Gio Gonzalez SP  WAS"	201.0	32	22	0	15	9	0	0	188	79	158	2.96	1.18	88
"Ervin Santana SP  MIN "	211.3	33	20	5	16	8	0	0	167	61	177	3.28	1.13	94
"Carlos Martinez SP  STL"	205.0	32	20	2	12	11	0	0	217	71	179	3.64	1.22	130
"James Paxton SP  SEA "	136.0	24	14	0	12	5	0	0	156	37	113	2.98	1.10	133
"Rich Hill SP  LAD"	135.7	25	9	1	12	8	0	0	166	49	99	3.32	1.09	135
"Drew Pomeranz SP  BOS "	173.7	32	17	0	17	6	0	0	174	69	166	3.32	1.35	136
"Dallas Keuchel SP  HOU "	145.7	23	16	1	14	5	0	0	125	47	116	2.90	1.12	137
"Brad Peacock SP  HOU "	132.0	21	8	0	13	2	0	0	161	57	100	3.00	1.19	140
"Chase Anderson SP  MIL"	141.3	25	13	0	12	4	0	0	133	41	113	2.74	1.09	141
"Jimmy Nelson SP  MIL "	175.3	29	17	1	12	6	0	0	199	48	171	3.49	1.25	152
"Charlie Morton SP  HOU"	146.7	25	10	0	14	7	0	0	163	50	125	3.62	1.19	156
"Aaron Nola SP  PHI "	168.0	27	17	0	12	11	0	0	184	49	154	3.54	1.21	158
"Jake Arrieta SP  CHC"	168.3	30	16	0	14	10	0	0	163	55	150	3.53	1.22	159
"Yu Darvish SP  LAD"	186.7	31	19	0	10	12	0	0	209	58	159	3.86	1.16	160
"Chris Archer SP  TB"	201.0	34	20	0	10	12	0	0	249	60	193	4.08	1.26	167
"Marcus Stroman SP  TOR"	201.0	33	20	2	13	9	0	0	164	62	201	3.09	1.31	174
"Trevor Bauer SP  CLE"	176.3	31	15	0	17	9	0	0	196	60	181	4.18	1.37	177
"Jose Quintana SP  CHC"	188.7	32	18	1	11	11	0	0	207	61	170	4.15	1.22	195
"Zack Godley SP  ARI"	155.0	25	14	0	8	9	0	0	165	53	124	3.37	1.14	204
"Mike Clevinger SP  CLE"	121.7	21	11	0	12	6	0	0	137	60	92	3.11	1.25	207
"Lance Lynn SP  STL"	186.3	33	18	0	11	8	0	0	153	78	151	3.43	1.23	209
"Jeff Samardzija SP  SF"	207.7	32	20	1	9	15	0	0	205	32	204	4.42	1.14	211
"Jose Berrios SP  MIN"	145.7	25	12	0	14	8	0	0	139	48	131	3.89	1.23	214
"Kenta Maeda SP  LAD "	134.3	25	5	0	13	6	1	0	140	34	121	4.22	1.15	216
"Gerrit Cole SP  HOU "	203.0	33	20	0	12	12	0	0	196	55	199	4.26	1.25	218
"Jason Vargas SP  KC"	179.7	32	16	1	18	11	0	0	134	58	181	4.16	1.33	226
"Sonny Gray SP  NYY "	162.3	27	17	1	10	12	0	0	153	57	139	3.55	1.21	228
