All Third Basemen 2017  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Nolan Arenado 3B  COL"	606	100	187	100	43	7	37	130	62	106	3	2	0.309	0.373	0.586	7
"Jose Ramirez 3B  CLE"	585	107	186	95	56	6	29	83	52	69	17	5	0.318	0.374	0.583	12
"Kris Bryant 3B  CHC "	549	111	162	91	38	4	29	73	95	128	7	5	0.295	0.409	0.537	34
"Travis Shaw 3B  MIL"	538	84	147	81	34	1	31	101	60	138	10	0	0.273	0.349	0.513	37
"Anthony Rendon 3B  WAS "	508	81	153	86	41	1	25	100	84	82	7	2	0.301	0.403	0.533	41
"Manny Machado 3B  BAL "	630	81	163	96	33	1	33	95	50	115	9	4	0.259	0.310	0.471	47
"Jake Lamb 3B  ARI "	536	89	133	69	30	4	30	105	87	152	6	4	0.248	0.357	0.487	49
"Scooter Gennett 2B  CIN"	461	80	136	84	22	3	27	97	30	114	3	2	0.295	0.342	0.531	50
"Freddie Freeman 1B  ATL"	440	84	135	70	35	2	28	71	65	95	8	5	0.307	0.403	0.586	51
"Chris Taylor CF  LAD"	514	85	148	88	34	5	21	72	50	142	17	4	0.288	0.354	0.496	57
"Mike Moustakas 3B  KC"	555	75	151	89	24	0	38	85	34	94	0	0	0.272	0.314	0.521	61
"Alex Bregman 3B  HOU "	556	88	158	95	39	5	19	71	55	97	17	5	0.284	0.352	0.475	62
"Marwin Gonzalez LF  HOU"	455	67	138	81	34	0	23	90	49	99	8	3	0.303	0.377	0.530	68
"Nicholas Castellanos 3B  DET "	614	73	167	95	36	10	26	101	41	142	4	5	0.272	0.320	0.490	73
"Joey Gallo 3B  TEX "	449	85	94	32	18	3	41	80	75	196	7	2	0.209	0.333	0.537	74
"Justin Turner 3B  LAD"	457	72	147	94	32	0	21	71	59	56	7	1	0.322	0.415	0.529	79
"Eugenio Suarez 3B  CIN "	534	87	139	86	25	2	26	82	84	147	4	5	0.260	0.367	0.461	86
