All Players 3 Year Averages MLB Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,K,BB,H,ERA,WHIP,Rank,
Crime Pays,Max Scherzer SP | WAS,216.2,33,33,25,2,18,7,0,0,284,54,147,2.66,0.93,2
Old Dirty Bugg,Corey Kluber SP | CLE,211.1,31,31,23,3,19,7,0,0,238,42,163,2.77,0.97,8
W ,Chris Sale SP | BOS ,199.2,30,30,21,2,15,7,0,0,259,41,152,2.84,0.97,13
Sofa Kings,Justin Verlander SP | HOU ,216.0,34,34,25,1,16,9,0,0,254,55,166,2.96,1.02,14
Floaters and Sinkers,Clayton Kershaw SP | LAD,161.2,25,25,19,1,13,4,0,0,176,23,124,2.28,0.91,29
Crime Pays,Miles Mikolas SP | STL,200.2,32,32,20,1,18,4,0,0,146,29,186,2.83,1.07,39
W ,Jacob deGrom SP | NYM ,188.2,29,29,22,1,11,9,0,0,217,47,158,2.72,1.09,41
W ,Carlos Carrasco SP | CLE,179.1,30,29,17,1,15,8,0,0,202,41,160,3.31,1.12,47
Shits & Giggles,Kenley Jansen RP | LAD ,69.2,69,0,0,0,3,2,42,4,98,12,44,2.07,0.80,51
User Abuser,Zack Greinke SP | ARI ,189.2,30,30,19,1,15,8,0,0,183,43,171,3.51,1.13,69
Floaters and Sinkers,Jon Lester SP | CHC ,188.1,32,32,20,1,17,6,0,0,175,59,169,3.34,1.21,71
Disco Bush Horticulturists,Stephen Strasburg SP | WAS,151.0,25,25,16,0,13,5,0,0,181,43,123,3.22,1.10,77
W ,Craig Kimbrel RP | BOS,61.1,62,0,0,0,4,2,36,4,102,25,31,2.50,0.91,81
User Abuser,Rick Porcello SP | BOS ,206.0,33,33,20,2,17,9,0,0,187,43,202,3.98,1.19,86
Shits & Giggles,J.A. Happ SP | NYY ,172.2,29,29,17,0,16,7,0,0,166,52,154,3.44,1.19,89
W ,Kyle Hendricks SP | CHC ,176.1,29,29,17,1,12,8,0,0,151,43,151,2.86,1.10,90
Floaters and Sinkers,Shohei Ohtani DH | LAA ,51.2,10,10,5,0,4,2,0,0,63,22,38,3.31,1.16,97
Old Dirty Bugg,Aaron Nola SP | PHI ,163.2,27,27,18,0,12,9,0,0,176,45,140,3.30,1.13,101
User Abuser,Trevor Bauer SP | CLE ,180.2,32,29,17,0,14,8,0,0,195,62,165,3.59,1.26,108
W ,Rich Hill SP | LAD,126.1,23,23,11,0,12,6,0,0,148,41,95,3.06,1.08,112
W ,Jake Arrieta SP | PHI ,179.1,31,31,16,0,14,10,0,0,164,63,151,3.51,1.19,114
User Abuser,Masahiro Tanaka SP | NYY,178.0,29,29,17,1,13,7,0,0,173,37,167,3.84,1.15,118
Shits & Giggles,Luis Severino SP | NYY ,152.0,28,25,13,0,12,7,0,0,172,41,134,3.61,1.15,123
EVIL EMPIRE ,Carlos Martinez SP | STL ,173.0,32,27,16,1,12,9,2,0,169,67,149,3.28,1.25,125
Old Dirty Bugg,Edwin Diaz RP | NYM ,63.2,63,0,0,0,1,5,36,4,100,21,43,2.69,1.01,127
EVIL EMPIRE ,Gerrit Cole SP | HOU ,173.0,29,29,17,1,11,9,0,0,190,52,158,3.64,1.21,138
W ,Aroldis Chapman RP | NYY,53.1,55,0,0,0,4,1,30,3,84,23,31,2.36,1.01,141
W ,David Price SP | BOS,160.1,27,25,16,1,13,6,0,0,160,41,148,3.76,1.18,142
W ,Madison Bumgarner SP | SF,155.2,24,24,17,2,8,8,0,0,154,39,132,3.01,1.10,145
User Abuser,Jose Quintana SP | CHC,190.1,32,32,18,0,12,11,0,0,182,60,175,3.78,1.23,150
W ,Kenta Maeda SP | LAD ,145.0,33,26,8,0,12,9,1,0,157,42,129,3.79,1.18,156
W ,Roberto Osuna RP | HOU ,58.2,59,0,0,0,3,3,32,6,66,9,45,2.92,0.92,164
Sofa Kings,Blake Snell SP | TB,133.0,25,25,10,0,11,7,0,0,146,58,106,2.98,1.23,166
EVIL EMPIRE ,James Paxton SP | NYY ,139.0,24,24,13,1,10,6,0,0,160,34,127,3.50,1.16,168
W ,David Robertson RP | PHI ,66.2,64,0,0,0,7,3,19,4,88,27,45,2.83,1.08,171
W ,Alex Colome RP | CHW ,63.2,64,0,0,0,4,4,32,5,67,20,53,2.83,1.15,173
User Abuser,Wade Davis RP | COL ,55.2,58,0,0,0,3,3,34,3,68,23,38,2.91,1.10,174
