All First Basemen   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Disco Bush Horticulturists,Paul Goldschmidt 1B | STL,572,102,174,101,33,2,38,98,81,159,10,4,.304,.398,.568,16
Whiteness,Freddie Freeman 1B | ATL,566,86,166,100,37,4,25,93,71,136,8,2,.293,.375,.505,24
Crime Pays,Anthony Rizzo 1B | CHC,557,80,151,90,31,2,28,102,75,91,7,4,.271,.375,.485,29
Whiteness,Whit Merrifield 2B | KC ,583,93,173,114,39,5,15,73,55,120,39,9,.297,.360,.458,30
W ,J.T. Realmuto C | PHI ,468,76,127,72,28,4,23,78,43,108,3,2,.271,.342,.496,39
W ,Joey Votto 1B | CIN,531,74,155,102,32,3,18,77,96,110,3,0,.292,.405,.465,49
EVIL EMPIRE ,Rhys Hoskins LF | PHI,533,92,135,68,35,0,32,102,75,136,5,2,.253,.351,.499,51
Tittys Warriors,Matt Carpenter 1B | STL,525,98,134,63,38,1,32,74,95,150,3,1,.255,.373,.514,52
W ,Jose Abreu 1B | CHW ,547,83,157,87,40,3,27,93,39,113,3,0,.287,.346,.519,55
Shits & Giggles,Cody Bellinger 1B | LAD ,540,83,140,77,27,7,29,86,58,154,13,3,.259,.333,.496,62
Floaters and Sinkers,Daniel Murphy 2B | COL ,561,75,165,112,28,2,23,72,41,94,8,1,.294,.342,.474,72
Crime Pays,Joey Gallo LF | TEX ,488,85,106,42,24,3,37,95,69,198,5,2,.217,.317,.506,80
Los Cerveceros,Travis Shaw 3B | MIL ,467,69,121,68,26,1,26,84,58,104,6,1,.259,.343,.486,81
Los Cerveceros,Jesus Aguilar 1B | MIL ,507,75,134,76,27,1,30,105,53,147,1,0,.264,.335,.499,84
W ,Edwin Encarnacion DH | SEA ,544,70,133,84,19,2,28,98,60,158,2,0,.244,.325,.441,85
Old Dirty Bugg,Max Muncy 1B | LAD,457,78,117,60,22,3,32,81,79,141,3,0,.256,.369,.527,95
W ,Yadier Molina C | STL ,500,59,134,89,23,1,21,81,30,82,6,4,.268,.314,.444,102
Sofa Kings,Matt Olson 1B | OAK ,502,74,124,69,26,0,29,81,62,146,2,0,.247,.339,.472,113
Los Cerveceros,Buster Posey C | SF ,538,66,147,103,32,1,11,63,54,93,3,1,.273,.345,.398,121
EVIL EMPIRE ,Jurickson Profar SS | OAK ,538,86,146,78,39,8,21,81,48,92,11,1,.271,.338,.491,124
W ,Robinson Cano 2B | NYM ,573,76,160,103,35,0,22,88,60,95,1,0,.279,.351,.456,138
Crime Pays,Ian Desmond 1B | COL ,519,70,126,82,19,5,20,72,46,141,19,5,.243,.311,.414,145
Disco Bush Horticulturists,Miguel Cabrera 1B | DET ,489,55,127,79,30,0,18,72,63,118,0,0,.260,.346,.431,151
Orange-a-Tangs,Luke Voit 1B | NYY ,387,66,113,63,22,2,26,78,48,106,2,0,.292,.374,.561,158
Orange-a-Tangs,Jose Martinez 1B | STL ,508,67,151,99,31,1,20,81,52,112,2,1,.297,.363,.480,159
W ,Carlos Santana 1B | CLE ,451,80,109,59,27,2,21,85,91,70,2,1,.242,.365,.450,162
W ,Eric Hosmer 1B | SD,589,80,160,106,32,2,20,79,65,130,6,3,.272,.344,.435,186
Whiteness,C.J. Cron DH | MIN,470,68,117,64,25,1,27,81,32,131,1,0,.249,.307,.479,189
Los Cerveceros,Tyler White 1B | HOU ,442,57,115,63,29,2,21,73,47,100,2,0,.260,.338,.477,190
Floaters and Sinkers,Justin Smoak 1B | TOR ,524,69,133,70,35,1,27,77,73,157,1,0,.254,.346,.479,203
W ,Justin Bour 1B | LAA,348,52,92,49,15,1,27,71,68,91,2,0,.264,.383,.546,204
