All Second Basemen   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Tittys Warriors,Jose Ramirez 3B | CLE,542,107,152,73,40,7,32,100,91,81,27,5,.280,.387,.557,3
Los Cerveceros,Jose Altuve 2B | HOU,593,101,194,132,35,6,21,76,58,89,22,4,.327,.393,.513,4
W ,Javier Baez 2B | CHC ,563,90,164,85,37,10,32,98,33,160,18,8,.291,.333,.563,23
Whiteness,Whit Merrifield 2B | KC ,583,93,173,114,39,5,15,73,55,120,39,9,.297,.360,.458,30
EVIL EMPIRE ,Adalberto Mondesi SS | KC,514,85,137,86,25,4,22,72,32,141,54,18,.267,.312,.459,36
Tittys Warriors,Matt Carpenter 1B | STL,525,98,134,63,38,1,32,74,95,150,3,1,.255,.373,.514,52
Crime Pays,Scooter Gennett 2B | CIN ,549,83,168,109,30,3,26,95,36,118,4,2,.306,.352,.514,58
Old Dirty Bugg,Ozzie Albies 2B | ATL,550,91,142,83,31,6,22,66,35,110,13,3,.258,.306,.456,66
Floaters and Sinkers,Daniel Murphy 2B | COL ,561,75,165,112,28,2,23,72,41,94,8,1,.294,.342,.474,72
Sofa Kings,Gleyber Torres 2B | NYY ,510,68,143,96,24,2,21,84,47,126,8,3,.280,.343,.459,74
W ,Dee Gordon 2B | SEA,575,77,159,127,19,9,4,36,17,97,38,13,.277,.306,.362,75
Los Cerveceros,Travis Shaw 3B | MIL ,467,69,121,68,26,1,26,84,58,104,6,1,.259,.343,.486,81
Old Dirty Bugg,Max Muncy 1B | LAD,457,78,117,60,22,3,32,81,79,141,3,0,.256,.369,.527,95
Disco Bush Horticulturists,Brian Dozier 2B | WAS ,501,83,125,71,26,3,25,78,57,112,12,4,.249,.332,.463,109
W ,Jonathan Villar 2B | BAL ,556,64,142,104,21,2,15,57,44,161,38,8,.255,.315,.381,111
EVIL EMPIRE ,Jurickson Profar SS | OAK ,538,86,146,78,39,8,21,81,48,92,11,1,.271,.338,.491,124
W ,Robinson Cano 2B | NYM ,573,76,160,103,35,0,22,88,60,95,1,0,.279,.351,.456,138
Los Cerveceros,Rougned Odor 2B | TEX,553,92,148,95,29,2,22,85,47,143,14,12,.268,.332,.447,144
Shits & Giggles,Jonathan Schoop 2B | MIN,473,75,127,74,27,2,24,77,21,114,1,1,.269,.307,.486,161
User Abuser,DJ LeMahieu 2B | NYY ,479,81,133,92,27,1,13,57,45,77,5,3,.278,.342,.420,163
User Abuser,Chris Taylor SS | LAD ,540,83,146,85,32,10,19,65,52,161,12,4,.270,.342,.472,172
W ,Garrett Hampson SS | COL,452,57,116,81,25,5,5,55,37,106,15,6,.257,.315,.367,176
Old Dirty Bugg,Cesar Hernandez 2B | PHI ,542,90,148,114,18,4,12,54,70,125,17,5,.273,.359,.388,200
Shits & Giggles,Jed Lowrie 2B | NYM ,554,67,144,93,33,3,15,72,65,112,0,0,.260,.339,.412,207
Orange-a-Tangs,Yoan Moncada 2B | CHW,556,79,139,82,32,6,19,67,66,194,12,6,.250,.331,.432,212
Old Dirty Bugg,Yuli Gurriel 1B | HOU,533,68,157,103,37,2,15,81,26,67,4,1,.295,.333,.456,227
W ,Luis Urias 2B | SD ,527,64,134,90,26,4,14,55,41,115,11,4,.254,.312,.399,241
W ,Ketel Marte 2B | ARI ,558,67,139,87,28,9,15,62,51,91,7,1,.249,.315,.412,242
Tittys Warriors,Jeff McNeil 2B | NYM ,412,58,117,85,21,6,5,42,31,69,13,4,.284,.339,.401,247
