All Shortstops   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Shits & Giggles,Francisco Lindor SS | CLE ,604,122,163,87,40,4,32,92,67,107,21,9,.270,.347,.508,8
EVIL EMPIRE ,Alex Bregman 3B | HOU ,537,98,162,84,47,1,30,97,83,80,8,5,.302,.406,.560,9
Sofa Kings,Trea Turner SS | WAS ,557,93,155,105,25,7,18,67,47,116,41,8,.278,.340,.445,10
Sofa Kings,Manny Machado SS | LAD ,492,71,144,81,28,6,29,91,56,87,9,3,.293,.364,.551,12
W ,Trevor Story SS | COL ,547,77,162,89,37,5,31,90,42,154,22,6,.296,.352,.552,18
W ,Javier Baez 2B | CHC ,563,90,164,85,37,10,32,98,33,160,18,8,.291,.333,.563,23
EVIL EMPIRE ,Adalberto Mondesi SS | KC,514,85,137,86,25,4,22,72,32,141,54,18,.267,.312,.459,36
W ,Xander Bogaerts SS | BOS ,580,85,165,95,43,6,21,99,58,120,10,2,.284,.354,.488,42
User Abuser,Carlos Correa SS | HOU ,536,84,145,89,29,3,24,95,65,131,3,1,.271,.347,.470,44
Crime Pays,Corey Seager SS | LAD ,539,80,151,100,28,2,21,75,62,125,4,2,.280,.357,.456,56
Whiteness,Jean Segura SS | PHI,591,98,170,124,31,4,11,68,40,94,21,10,.288,.335,.409,63
Sofa Kings,Gleyber Torres 2B | NYY ,510,68,143,96,24,2,21,84,47,126,8,3,.280,.343,.459,74
W ,Dee Gordon 2B | SEA,575,77,159,127,19,9,4,36,17,97,38,13,.277,.306,.362,75
Orange-a-Tangs,Jose Peraza SS | CIN ,597,80,170,117,32,5,16,61,33,84,19,6,.285,.328,.435,110
W ,Jonathan Villar 2B | BAL ,556,64,142,104,21,2,15,57,44,161,38,8,.255,.315,.381,111
EVIL EMPIRE ,Jurickson Profar SS | OAK ,538,86,146,78,39,8,21,81,48,92,11,1,.271,.338,.491,124
Orange-a-Tangs,Elvis Andrus SS | TEX,579,85,156,108,31,6,11,59,44,105,8,5,.269,.324,.401,149
Shits & Giggles,Jonathan Schoop 2B | MIN,473,75,127,74,27,2,24,77,21,114,1,1,.269,.307,.486,161
Los Cerveceros,Paul DeJong SS | STL ,545,79,143,79,34,2,28,83,34,158,2,0,.262,.317,.486,170
Crime Pays,Tim Anderson SS | CHW ,567,78,144,93,29,4,18,66,26,148,23,6,.254,.290,.414,171
User Abuser,Chris Taylor SS | LAD ,540,83,146,85,32,10,19,65,52,161,12,4,.270,.342,.472,172
W ,Garrett Hampson SS | COL,452,57,116,81,25,5,5,55,37,106,15,6,.257,.315,.367,176
