All Third Basemen   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Tittys Warriors,Jose Ramirez 3B | CLE,542,107,152,73,40,7,32,100,91,81,27,5,.280,.387,.557,3
W ,Nolan Arenado 3B | COL ,574,89,163,89,35,3,36,102,62,122,2,1,.284,.354,.544,5
EVIL EMPIRE ,Alex Bregman 3B | HOU ,537,98,162,84,47,1,30,97,83,80,8,5,.302,.406,.560,9
Sofa Kings,Manny Machado SS | LAD ,492,71,144,81,28,6,29,91,56,87,9,3,.293,.364,.551,12
W ,Javier Baez 2B | CHC ,563,90,164,85,37,10,32,98,33,160,18,8,.291,.333,.563,23
EVIL EMPIRE ,Anthony Rendon 3B | WAS ,547,95,169,93,47,3,26,104,66,89,4,2,.309,.388,.548,38
Shits & Giggles,Kris Bryant 3B | CHC ,566,95,162,93,41,4,24,75,80,148,5,5,.286,.388,.500,43
Los Cerveceros,Vladimir Guerrero 3B | TOR ,494,69,139,78,34,3,24,72,47,114,6,2,.281,.349,.508,48
Tittys Warriors,Matt Carpenter 1B | STL,525,98,134,63,38,1,32,74,95,150,3,1,.255,.373,.514,52
Tittys Warriors,Eugenio Suarez 3B | CIN,536,77,154,91,26,3,34,98,57,135,2,1,.287,.360,.537,59
Shits & Giggles,Justin Turner 3B | LAD ,533,75,157,102,35,2,18,66,58,90,5,2,.295,.379,.469,68
Floaters and Sinkers,Josh Donaldson 3B | ATL ,521,85,140,79,32,1,28,88,74,139,4,1,.269,.362,.495,71
Los Cerveceros,Travis Shaw 3B | MIL ,467,69,121,68,26,1,26,84,58,104,6,1,.259,.343,.486,81
Floaters and Sinkers,Wil Myers LF | SD ,543,77,144,77,40,4,23,77,56,154,21,4,.265,.334,.481,83
Los Cerveceros,Jesus Aguilar 1B | MIL ,507,75,134,76,27,1,30,105,53,147,1,0,.264,.335,.499,84
Crime Pays,Matt Chapman 3B | OAK ,541,94,153,81,40,8,24,73,56,141,2,1,.283,.358,.519,94
Old Dirty Bugg,Max Muncy 1B | LAD,457,78,117,60,22,3,32,81,79,141,3,0,.256,.369,.527,95
Los Cerveceros,Miguel Andujar 3B | NYY ,484,72,146,83,39,2,22,80,29,89,2,1,.302,.344,.527,96
EVIL EMPIRE ,Jurickson Profar SS | OAK ,538,86,146,78,39,8,21,81,48,92,11,1,.271,.338,.491,124
W ,Mike Moustakas 3B | MIL,460,62,123,69,25,1,28,83,42,96,2,1,.267,.331,.509,139
Orange-a-Tangs,Rafael Devers 3B | BOS ,556,76,142,87,30,0,25,87,47,149,7,3,.255,.313,.444,157
W ,Carlos Santana 1B | CLE ,451,80,109,59,27,2,21,85,91,70,2,1,.242,.365,.450,162
Shits & Giggles,Jed Lowrie 2B | NYM ,554,67,144,93,33,3,15,72,65,112,0,0,.260,.339,.412,207
User Abuser,Eduardo Escobar 3B | ARI ,514,64,131,73,32,4,22,71,41,118,3,1,.255,.314,.461,217
W ,Miguel Sano 3B | MIN ,496,83,120,61,24,2,33,94,48,209,0,0,.242,.311,.498,224
Old Dirty Bugg,Yuli Gurriel 1B | HOU,533,68,157,103,37,2,15,81,26,67,4,1,.295,.333,.456,227
Disco Bush Horticulturists,Kyle Seager 3B | SEA ,579,69,134,73,36,1,24,82,50,144,2,2,.231,.297,.421,232
Old Dirty Bugg,Jake Lamb 3B | ARI ,541,73,124,75,26,2,21,76,63,153,4,3,.229,.312,.401,236
Tittys Warriors,Willians Astudillo C | MIN ,415,48,109,70,20,2,17,63,30,88,1,1,.263,.318,.443,245
User Abuser,Asdrubal Cabrera 2B | TEX ,586,87,165,101,40,1,23,90,44,130,2,1,.282,.334,.471,277
Tittys Warriors,Joey Wendle 2B | TB,534,72,157,108,34,5,10,72,39,114,16,4,.294,.343,.433,280
W ,Maikel Franco 3B | PHI ,534,68,138,87,24,1,26,87,36,81,1,0,.258,.304,.453,285
W ,Niko Goodrum 2B | DET ,457,61,117,65,31,2,19,63,48,130,14,6,.256,.333,.457,302
W ,Evan Longoria 3B | SF,587,69,147,86,33,5,23,74,36,124,4,2,.250,.302,.441,304
W ,Aledmys Diaz SS | HOU ,429,62,125,81,26,1,17,64,27,59,5,3,.291,.336,.475,308
W ,Ian Happ CF | CHC ,481,68,111,61,22,5,23,64,75,197,8,6,.231,.337,.441,318
W ,Zack Cozart 3B | LAA ,440,71,123,74,27,5,17,54,49,80,2,0,.280,.358,.479,324
Whiteness,Matt Duffy 3B | TB ,463,63,134,102,23,2,7,54,41,97,14,7,.289,.353,.393,325
W ,David Freese 3B | LAD,388,55,110,66,21,3,20,61,36,92,2,1,.283,.349,.508,326
W ,T.J. Rivera 3B | NYM,483,60,135,86,30,3,16,62,37,94,4,1,.280,.338,.453,328
W ,Johan Camargo 3B | ATL,447,62,120,75,26,2,17,71,48,111,1,0,.269,.343,.450,331
W ,Brian Anderson RF | MIA ,523,75,141,91,32,5,13,62,50,126,3,3,.270,.346,.424,332
W ,Cory Spangenberg 2B | MIL ,453,64,122,87,17,4,14,52,36,123,11,3,.269,.328,.417,333
W ,Patrick Wisdom 3B | TEX,410,63,104,63,22,2,17,66,42,105,5,2,.254,.328,.442,339
W ,Jeimer Candelario 3B | DET,503,77,120,68,29,3,20,56,68,152,3,2,.239,.339,.427,346
W ,Hernan Perez 2B | MIL ,439,52,117,82,18,4,13,47,22,85,16,5,.267,.301,.415,353
W ,Alen Hanson 2B | SF,418,56,112,68,24,6,14,53,20,89,10,4,.268,.304,.455,354
Crime Pays,Eduardo Nunez 2B | BOS,500,64,136,94,27,4,11,53,26,81,8,3,.272,.310,.408,357
W ,Colin Moran 3B | PIT,499,59,132,89,25,2,16,67,47,104,1,0,.265,.329,.419,358
W ,Daniel Robertson 2B | TB,438,67,118,77,26,2,13,52,51,116,5,4,.269,.357,.427,359
Sofa Kings,Todd Frazier 3B | NYM,407,56,91,50,20,0,21,62,54,105,7,4,.224,.324,.427,363
W ,Mark Reynolds 1B | COL ,370,49,95,55,18,1,21,60,38,106,2,0,.257,.325,.481,367
W ,Tim Beckham SS | SEA ,482,63,125,84,21,4,16,53,39,130,4,4,.259,.321,.419,369
W ,Renato Nunez 3B | BAL,491,60,127,77,32,1,17,55,43,124,3,1,.259,.324,.432,372
W ,Jedd Gyorko 3B | STL,408,54,107,68,22,3,14,59,48,102,4,1,.262,.341,.434,382
W ,David Fletcher 2B | LAA,429,60,120,84,25,3,8,46,34,65,7,1,.280,.336,.408,394
W ,Yolmer Sanchez 3B | CHW ,483,57,124,81,27,7,9,53,40,109,10,6,.257,.320,.398,399
W ,Brandon Drury 3B | TOR ,488,46,122,68,35,2,17,67,35,111,2,1,.250,.308,.434,401
W ,Scott Kingery SS | PHI ,513,70,126,84,30,4,8,50,27,124,9,3,.246,.286,.366,403
W ,J.P. Crawford SS | SEA,463,63,116,78,24,7,7,54,40,109,9,2,.251,.320,.378,405
W ,Daniel Descalso 2B | CHC ,379,57,93,55,22,4,12,59,62,109,2,1,.245,.352,.419,417
W ,Martin Prado 3B | MIA,484,50,125,84,28,2,11,57,34,114,4,1,.258,.312,.393,419
W ,Hunter Dozier 1B | KC,403,53,97,57,22,5,13,55,32,129,4,3,.241,.300,.417,422
W ,Charlie Culberson LF | ATL ,316,46,85,52,19,2,12,45,31,87,5,1,.269,.338,.456,424
W ,Jose Rondon SS | CHW,324,45,85,54,16,3,12,44,21,78,7,3,.262,.311,.441,425
W ,Enrique Hernandez CF | LAD ,320,48,80,47,15,3,15,43,35,71,4,1,.250,.324,.456,431
W ,Chad Pinder LF | OAK,312,46,83,51,14,2,16,41,26,87,1,1,.266,.334,.478,436
W ,Erik Gonzalez 2B | PIT ,465,52,116,78,26,4,8,50,30,116,8,3,.249,.298,.374,438
W ,Ehire Adrianza SS | MIN,330,47,88,58,20,2,8,45,23,81,7,1,.267,.313,.412,440
W ,Yandy Diaz 3B | TB,382,54,99,70,22,3,4,58,36,95,3,1,.259,.329,.364,450
W ,Chris Owings RF | KC ,320,42,80,49,21,1,9,41,22,85,11,2,.250,.302,.406,451
W ,Ryan Flaherty 3B | CLE ,307,43,78,49,17,1,11,45,39,68,5,3,.254,.344,.423,453
W ,Isiah Kiner-Falefa 3B | TEX ,383,52,101,75,21,1,4,45,29,76,7,5,.264,.324,.355,455
W ,Wilmer Difo 2B | WAS,320,48,82,55,14,6,7,40,27,62,8,2,.256,.315,.403,461
W ,Brock Holt 2B | BOS ,316,43,85,59,17,2,7,40,33,68,7,4,.269,.345,.402,463
W ,Pablo Sandoval 3B | SF,312,37,79,49,15,2,13,49,27,71,2,0,.253,.319,.439,465
W ,Yairo Munoz SS | STL,317,38,85,57,18,1,9,41,29,72,6,4,.268,.335,.416,467
W ,Jose Osuna 1B | PIT,312,42,78,43,20,2,13,46,26,71,1,0,.250,.311,.452,469
W ,Neil Walker 1B | MIA ,408,47,99,68,17,2,12,49,38,107,1,0,.243,.314,.382,471
W ,Miguel Rojas SS | MIA ,399,42,103,77,16,1,9,45,25,63,4,2,.258,.309,.371,474
W ,Kevin Kramer 3B | PIT,311,40,80,50,17,2,11,42,28,74,3,1,.257,.319,.431,481
W ,David Bote 3B | CHC ,323,40,78,48,16,3,11,47,32,93,4,2,.241,.317,.412,483
W ,Ryan McMahon 1B | COL,307,39,78,47,16,2,13,41,32,89,1,0,.254,.329,.446,492
W ,Ronald Torreyes 2B | MIN,337,38,96,68,22,1,5,39,13,59,3,0,.285,.311,.401,505
W ,Greg Garcia 2B | SD,376,40,96,67,19,3,7,36,33,79,7,2,.255,.322,.378,507
W ,Steve Wilkerson 2B | BAL,319,37,82,55,17,2,8,34,25,76,7,2,.257,.315,.398,511
W ,Ronny Rodriguez SS | DET ,322,35,80,53,16,2,9,37,23,70,5,2,.248,.298,.394,522
W ,Wilmer Flores 1B | ARI ,326,34,82,51,19,1,11,43,24,49,0,0,.252,.302,.417,524
W ,Ty France 3B | SD,250,31,64,39,14,1,10,33,22,60,3,1,.256,.319,.440,537
W ,Jung Ho Kang 3B | PIT ,249,31,66,41,14,2,9,32,22,55,2,1,.265,.330,.446,547
W ,Tommy La Stella 3B | LAA ,219,29,60,43,9,1,7,32,19,37,1,0,.274,.331,.420,566
W ,Ildemaro Vargas 3B | ARI,190,25,49,29,10,1,9,29,18,44,3,1,.258,.327,.463,572
W ,Rosell Herrera RF | MIA ,413,44,92,67,21,3,1,38,36,102,7,5,.223,.293,.295,594
W ,Adrian Sanchez 2B | WAS,192,27,52,34,12,1,5,26,16,42,3,1,.271,.332,.422,599
W ,Mitch Walding 3B | PHI,185,25,46,28,10,1,7,26,19,47,2,1,.249,.324,.427,619
Shits & Giggles,Taylor Ward 3B | LAA,154,21,40,24,8,1,7,23,16,35,2,1,.260,.335,.461,639
W ,J.D. Davis 3B | NYM ,191,23,47,29,10,1,7,25,19,48,2,1,.246,.318,.419,642
W ,Russell Martin C | LAD ,243,33,51,34,8,0,9,27,40,69,0,0,.210,.333,.354,647
W ,Pat Valaika 2B | COL,190,24,46,30,8,1,7,23,15,44,2,1,.242,.299,.405,651
W ,Rio Ruiz 3B | BAL,186,24,44,27,9,1,7,23,18,52,2,1,.237,.306,.409,658
W ,Alex Blandino 2B | CIN ,192,25,51,37,9,1,4,19,17,43,3,1,.266,.330,.385,663
W ,Kyle Farmer 3B | CIN,157,19,41,26,8,1,6,22,16,36,1,1,.261,.333,.440,685
W ,Brandon Dixon 1B | DET,155,19,38,21,10,1,6,21,17,43,1,0,.245,.326,.439,704
W ,Kaleb Cowart 3B | DET ,188,20,39,24,12,1,2,20,18,55,6,2,.207,.282,.314,746
W ,Nick Tanielu 3B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nelson Molina 3B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Connor Panas 3B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cliff Pennington 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Elehuris Montero 3B | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Agustin Murillo 3B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Reid Redman 3B | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Danny Diaz 3B | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jonah Arenado 3B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Mitch Nay 3B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Mitch Delfino 3B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Carlos Franco 3B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brian Hernandez 3B | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alec Bohm 3B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Mike Olt 3B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Mike Brosseau 3B | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Michael Benjamin 3B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Leandro Santana 3B | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wladimir Galindo 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Triston Casas 3B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brandon Bednar 3B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chase d'Arnaud 2B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chase Headley 3B | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ulysses Cantu 3B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chris Coghlan 3B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Taylor Sparks 3B | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Colton Welker 3B | COL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Michael Chavis 3B | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Trevor Plouffe 3B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tim Torres 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joe Sclafani 3B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Yunel Escobar 3B | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jake Burger 3B | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Yonathan Mendoza 3B | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ryan Goins 2B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Mauricio Ramos 3B | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gabriel Quintana 3B | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Kevin Cron 3B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Shane Hoelscher 3B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jean Encarnacion 3B | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
