All Outfielders   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Christian Yelich RF  MIL"	568	114	185	104	35	7	39	109	76	137	28	3	.326	.412	.618	1
"Mike Trout CF  LAA "	503	123	158	77	31	3	47	114	118	132	16	3	.314	.454	.668	2
"Ronald Acuna CF  ATL"	591	109	163	104	25	3	31	87	64	177	38	10	.276	.353	.486	3
"Cody Bellinger RF  LAD"	511	105	153	81	31	5	36	96	75	105	14	4	.299	.391	.591	4
"Mookie Betts RF  LAD "	567	132	166	90	35	6	35	83	93	109	20	4	.293	.397	.561	5
"Juan Soto LF  WAS"	555	97	153	85	31	5	32	101	97	152	11	1	.276	.384	.522	17
"J.D. Martinez DH  BOS"	549	84	158	94	30	2	32	94	58	130	2	0	.288	.358	.525	22
"Yordan Alvarez DH  HOU"	524	89	158	83	37	1	37	109	75	140	1	0	.301	.391	.588	26
"Charlie Blackmon RF  COL"	605	115	186	110	39	7	30	83	45	118	6	4	.307	.363	.544	30
"Ketel Marte CF  ARI "	561	87	176	100	38	9	29	86	53	105	9	3	.314	.376	.569	31
"George Springer CF  HOU "	591	114	168	95	29	3	41	103	73	134	8	3	.284	.368	.552	32
"Starling Marte CF  ARI "	601	101	168	95	33	8	32	89	35	126	29	9	.280	.333	.521	33
"Aaron Judge RF  NYY "	544	107	155	90	26	2	37	84	89	196	7	3	.285	.388	.544	35
"Bryce Harper RF  PHI"	524	93	136	68	33	1	34	104	98	177	13	3	.260	.379	.521	36
"Whit Merrifield 2B  KC"	600	96	180	118	37	8	17	71	39	116	16	9	.300	.346	.473	41
"Kris Bryant 3B  CHC "	580	107	166	95	39	2	30	86	68	149	4	1	.286	.371	.515	49
"Austin Meadows RF  TB "	553	87	156	85	32	8	31	91	56	143	11	6	.282	.353	.537	50
"Jorge Soler DH  KC"	531	84	143	63	30	1	49	104	62	164	3	1	.269	.353	.606	64
"Joey Gallo CF  TEX"	532	102	139	69	29	4	37	96	84	189	8	3	.261	.366	.539	65
"Giancarlo Stanton LF  NYY "	553	91	156	87	33	1	35	95	65	191	5	1	.282	.359	.535	66
"Tommy Pham LF  SD "	545	80	145	93	25	4	23	68	69	136	20	4	.266	.351	.453	76
"Victor Robles CF  WAS "	557	76	139	89	30	4	16	61	33	155	29	10	.250	.311	.404	77
"Jeff McNeil LF  NYM"	538	88	158	101	40	4	13	80	43	98	5	4	.294	.361	.455	78
"Michael Brantley LF  HOU "	553	83	172	115	35	3	19	79	47	68	6	2	.311	.368	.488	85
"Eddie Rosario LF  MIN"	568	94	155	91	31	2	31	104	36	110	5	1	.273	.315	.498	92
"Max Kepler RF  MIN "	545	102	141	72	35	1	33	94	67	117	3	2	.259	.345	.508	94
"Eloy Jimenez LF  CHW "	560	92	159	87	27	6	39	107	44	149	2	0	.284	.341	.562	107
"Trey Mancini RF  BAL "	593	98	179	104	40	2	33	92	61	140	3	0	.302	.372	.543	108
"Nick Castellanos RF  CIN "	558	102	173	91	48	3	31	86	47	130	2	2	.310	.368	.574	109
"Marcell Ozuna LF  ATL"	564	90	149	87	28	3	31	104	53	130	10	2	.264	.329	.489	110
"Luis Robert CF  CHW "	461	74	129	77	26	3	23	71	41	122	7	2	.280	.344	.499	111
"Ramon Laureano CF  OAK"	482	82	141	82	33	1	25	74	35	148	13	3	.292	.349	.521	115
"Michael Conforto RF  NYM"	529	85	137	72	30	3	32	86	70	144	7	2	.259	.351	.508	116
"Andrew Benintendi LF  BOS "	606	85	164	99	43	7	15	75	55	140	14	3	.271	.336	.439	117
"Danny Santana CF  TEX "	574	93	160	94	30	7	29	96	38	173	22	7	.279	.332	.507	126
"Tommy Edman 3B  STL"	583	97	171	108	34	8	21	73	38	127	20	4	.293	.344	.487	127
"David Dahl CF  COL"	550	94	160	96	33	5	26	88	46	151	6	5	.291	.347	.511	129
"Cavan Biggio 2B  TOR "	530	90	131	79	28	4	20	72	88	156	17	3	.247	.357	.428	130
"Kyle Tucker LF  HOU "	319	53	89	50	19	2	18	52	33	72	9	3	.279	.350	.520	134
"Willie Calhoun LF  TEX"	565	98	151	85	29	3	34	97	51	120	3	1	.267	.333	.510	144
"Kyle Schwarber LF  CHC "	528	81	135	66	31	5	33	91	65	151	3	2	.256	.338	.521	145
"J.D. Davis LF  NYM "	308	45	87	56	16	2	13	38	31	78	3	0	.282	.352	.474	163
"Lourdes Gurriel LF  TOR "	557	87	149	84	33	4	28	85	46	148	10	5	.268	.332	.492	165
"Mark Canha CF  OAK"	521	93	145	87	24	4	30	73	67	144	5	3	.278	.378	.512	166
"Oscar Mercado CF  CLE"	573	94	150	96	30	5	19	75	44	126	15	6	.262	.320	.431	167
"Avisail Garcia RF  MIL"	565	74	153	102	24	2	25	81	36	146	10	4	.271	.319	.453	168
"Scott Kingery CF  PHI "	535	79	139	76	35	6	22	72	50	166	17	4	.260	.329	.471	169
"Bryan Reynolds LF  PIT "	572	88	163	101	38	4	20	74	60	162	5	2	.285	.357	.470	170
"Franmil Reyes RF  CLE "	480	75	125	72	22	1	30	81	48	131	2	0	.260	.326	.498	171
"Mallex Smith CF  SEA "	512	67	125	85	24	10	6	42	41	136	50	12	.244	.309	.365	172
"Adam Eaton RF  WAS "	545	87	150	103	26	7	14	53	51	113	15	3	.275	.349	.426	173
"Lorenzo Cain CF  MIL "	563	74	153	108	31	1	13	54	44	115	15	8	.272	.329	.400	175
"Garrett Hampson 2B  COL"	325	46	85	59	14	3	9	38	22	78	20	6	.262	.309	.406	178
"Hunter Dozier 3B  KC"	546	81	156	84	32	8	32	92	51	146	2	2	.286	.348	.549	182
"Byron Buxton CF  MIN "	530	87	140	63	48	8	21	88	45	138	20	6	.264	.326	.504	183
"Justin Upton LF  LAA "	552	92	142	85	25	2	30	96	67	144	6	1	.257	.335	.473	189
"Jo Adell RF  LAA "	312	51	85	51	17	2	15	48	35	73	5	2	.272	.351	.484	192
"Joc Pederson LF  LAD "	485	91	124	61	23	4	36	79	46	114	1	1	.256	.333	.542	194
"Nick Senzel CF  CIN "	546	83	148	89	35	4	20	68	57	149	18	4	.271	.342	.460	195
"Alex Verdugo CF  BOS "	505	67	148	92	34	4	18	69	35	84	5	1	.293	.338	.483	200
"Aristides Aquino RF  CIN "	533	87	142	78	27	2	35	109	51	143	13	3	.266	.334	.522	207
"Brandon Lowe 2B  TB "	543	80	146	82	32	4	28	88	46	171	10	2	.269	.332	.497	208
"A.J. Pollock CF  LAD"	487	80	134	75	29	5	25	80	39	117	11	2	.275	.338	.509	209
"Brian Anderson 3B  MIA "	559	82	157	88	40	4	25	82	57	141	5	1	.281	.361	.501	211
"Hunter Renfroe RF  TB "	492	78	122	55	31	2	34	82	49	149	5	1	.248	.317	.526	212
"Shin-Soo Choo RF  TEX "	528	89	144	88	30	2	24	63	78	151	11	1	.273	.379	.473	213
"Luis Arraez 2B  MIN "	544	90	172	116	40	3	13	63	54	76	6	4	.316	.378	.472	215
"Kole Calhoun RF  ARI"	552	89	131	67	30	4	30	74	56	168	5	1	.237	.311	.469	216
"Mike Yastrzemski LF  SF"	574	82	148	86	29	5	28	71	47	166	5	4	.258	.319	.472	217
"Andrew McCutchen LF  PHI "	484	90	124	71	26	3	24	62	84	128	8	5	.256	.370	.471	220
"Sam Hilliard CF  COL "	316	49	84	50	17	3	14	47	28	84	6	2	.266	.331	.471	241
"Jon Berti SS  MIA "	316	52	86	57	19	2	8	33	25	85	15	4	.272	.333	.421	244
"Mike Tauchman LF  NYY "	522	95	144	77	35	4	28	94	68	149	10	2	.276	.362	.519	277
"Kevin Pillar CF  BOS "	569	89	161	93	40	4	24	92	20	86	15	5	.283	.316	.494	278
"Ryan Braun LF  MIL "	563	83	160	98	36	3	23	85	38	132	14	3	.284	.337	.481	279
"Nomar Mazara RF  CHW"	542	84	153	93	32	1	27	90	32	129	4	1	.282	.328	.494	280
"David Peralta LF  ARI"	573	76	170	100	40	6	24	91	44	129	2	0	.297	.353	.513	282
"Tyler O'Neill LF  STL"	572	81	147	93	25	2	27	81	49	194	6	1	.257	.317	.449	284
"Randal Grichuk RF  TOR"	560	82	139	69	33	7	30	85	37	154	3	0	.248	.301	.493	285
"Anthony Santander RF  BAL"	586	70	155	89	33	3	30	82	36	138	4	1	.265	.310	.485	286
"Gregory Polanco RF  PIT "	544	79	129	67	31	5	26	76	61	167	12	3	.237	.315	.456	292
"Brian Goodwin LF  LAA "	548	92	145	83	37	4	21	64	53	164	8	3	.265	.331	.462	293
"Teoscar Hernandez CF  TOR"	460	73	115	58	23	6	28	74	48	155	7	3	.250	.324	.509	294
"Kyle Lewis RF  SEA "	490	72	127	69	28	3	27	74	44	149	6	2	.259	.322	.494	295
"Derek Fisher LF  TOR"	521	82	124	72	25	3	24	72	58	162	12	4	.238	.317	.436	296
"Trey Amburgey RF  NYY "	406	71	112	63	23	3	23	68	45	109	6	2	.276	.353	.517	299
"Ian Desmond CF  COL"	547	79	133	77	29	6	21	76	46	147	11	4	.243	.308	.433	301
