All Relief Pitchers   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,K,BB,H,ERA,WHIP,Rank,
Orange-a-Tangs,Josh Hader RP | MIL,79,62,0,0,0,2,3,38,9,148,25,43,2.72,0.86,72
EVIL EMPIRE ,Kirby Yates RP | SD,61,62,0,0,0,2,4,31,2,94,15,44,1.77,0.97,79
Tittys Warriors,Roberto Osuna RP | HOU,56,63,0,0,0,3,2,44,7,60,12,42,2.88,0.96,106
EVIL EMPIRE ,Carlos Carrasco SP | CLE ,168,29,29,13,2,15,10,0,0,187,37,157,3.91,1.15,112
User Abuser,Aroldis Chapman RP | NYY ,58,63,0,0,0,2,2,41,4,95,30,35,2.33,1.12,113
Sofa Kings,Brad Hand RP | CLE ,59,64,0,0,0,2,2,34,6,92,22,53,3.34,1.26,114
Shits & Giggles,Kenley Jansen RP | LAD ,55,63,0,0,0,3,2,46,9,70,14,43,3.42,1.03,119
Sofa Kings,Liam Hendriks RP | OAK ,61,63,0,0,0,3,2,43,12,87,17,48,2.20,1.06,132
Los Cerveceros,Taylor Rogers RP | MIN,81,69,0,0,0,2,3,31,7,109,16,71,2.88,1.07,133
Orange-a-Tangs,Julio Urias RP | LAD ,136,29,29,9,0,9,5,0,0,144,37,116,3.16,1.12,136
Sofa Kings,Craig Kimbrel RP | CHC ,59,64,0,0,0,2,2,37,6,89,34,44,3.92,1.31,137
Los Cerveceros,Jesus Luzardo RP | OAK ,147,29,29,13,0,10,8,0,0,123,49,153,4.14,1.37,139
W ,Nick Anderson RP | TB ,51,70,0,0,0,2,2,36,11,88,13,43,3.31,1.08,143
Crime Pays,Ken Giles RP | TOR ,72,72,0,0,0,2,3,38,1,113,18,54,2.38,1.00,155
W ,Edwin Diaz RP | NYM ,59,64,0,0,0,2,2,38,6,106,18,47,3.97,1.10,158
Old Dirty Bugg,Hector Neris RP | PHI ,68,67,0,0,0,2,3,36,8,102,24,51,3.54,1.09,159
Orange-a-Tangs,Carlos Martinez RP | STL ,141,27,27,15,0,9,9,0,0,157,55,124,3.32,1.27,161
Shits & Giggles,Kenta Maeda SP | MIN ,146,29,29,10,0,11,7,0,0,152,48,147,4.11,1.33,162
EVIL EMPIRE ,Brandon Workman RP | BOS ,75,67,0,0,0,2,1,33,10,110,44,40,2.38,1.11,176
W ,Giovanny Gallegos RP | STL,60,45,0,0,0,2,2,31,9,79,15,40,2.52,0.91,177
Orange-a-Tangs,Hansel Robles RP | LAA ,77,74,0,0,0,2,2,36,6,92,21,61,2.67,1.06,201
Whiteness,Alex Colome RP | CHW ,65,65,0,0,0,2,2,30,5,65,24,51,3.02,1.14,204
