All Second Basemen   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Floaters and Sinkers,Ketel Marte CF | ARI ,561,87,176,100,38,9,29,86,53,105,9,3,.314,.376,.569,31
Los Cerveceros,Jose Altuve 2B | HOU ,617,106,189,118,35,5,31,83,49,94,12,6,.306,.360,.530,34
Sofa Kings,Gleyber Torres SS | NYY,569,101,161,91,34,1,35,98,49,133,8,2,.283,.341,.531,39
Whiteness,Whit Merrifield 2B | KC,600,96,180,118,37,8,17,71,39,116,16,9,.300,.346,.473,41
Old Dirty Bugg,Ozzie Albies 2B | ATL,573,84,158,98,35,8,17,73,44,105,13,4,.276,.329,.454,42
Disco Bush Horticulturists,Jonathan Villar 2B | MIA ,560,84,154,103,29,5,17,61,48,168,35,7,.275,.336,.436,45
Los Cerveceros,Keston Hiura 2B | MIL ,575,88,167,101,35,4,27,83,38,170,13,4,.290,.344,.506,51
W ,DJ LeMahieu 2B | NYY,568,105,179,116,37,3,23,92,46,93,5,3,.315,.367,.512,57
Old Dirty Bugg,Max Muncy 2B | LAD,493,98,126,68,25,2,31,91,78,135,6,1,.256,.361,.503,68
Orange-a-Tangs,Jeff McNeil LF | NYM,538,88,158,101,40,4,13,80,43,98,5,4,.294,.361,.455,78
User Abuser,Eduardo Escobar 3B | ARI ,573,82,157,83,34,9,31,102,44,124,4,2,.274,.325,.527,103
Whiteness,Mike Moustakas 3B | CIN ,531,78,138,73,31,2,32,94,46,101,3,0,.260,.324,.507,105
User Abuser,Danny Santana CF | TEX ,574,93,160,94,30,7,29,96,38,173,22,7,.279,.332,.507,126
W ,Tommy Edman 3B | STL,583,97,171,108,34,8,21,73,38,127,20,4,.293,.344,.487,127
Crime Pays,Cavan Biggio 2B | TOR ,530,90,131,79,28,4,20,72,88,156,17,3,.247,.357,.428,130
Los Cerveceros,Gavin Lux 2B | LAD ,467,74,126,75,26,8,17,64,45,110,11,3,.270,.339,.469,142
Orange-a-Tangs,Lourdes Gurriel LF | TOR ,557,87,149,84,33,4,28,85,46,148,10,5,.268,.332,.492,165
Old Dirty Bugg,Scott Kingery CF | PHI ,535,79,139,76,35,6,22,72,50,166,17,4,.260,.329,.471,169
Sofa Kings,Garrett Hampson 2B | COL,325,46,85,59,14,3,9,38,22,78,20,6,.262,.309,.406,178
Crime Pays,Brandon Lowe 2B | TB ,543,80,146,82,32,4,28,88,46,171,10,2,.269,.332,.497,208
Orange-a-Tangs,Tommy La Stella 2B | LAA ,553,89,157,109,22,1,25,82,45,80,3,1,.284,.341,.463,210
W ,Luis Arraez 2B | MIN ,544,90,172,116,40,3,13,63,54,76,6,4,.316,.378,.472,215
Crime Pays,Ryan McMahon 2B | COL ,550,77,140,89,25,3,23,85,55,164,7,2,.255,.325,.436,218
W ,Kevin Newman SS | PIT ,586,66,158,112,24,4,18,71,36,103,18,7,.270,.319,.416,219
W ,Kolten Wong 2B | STL,543,68,147,96,30,8,13,66,50,106,22,5,.271,.346,.427,224
W ,Nick Solak DH | TEX ,462,70,121,73,22,2,24,79,57,128,4,1,.262,.353,.474,225
Tittys Warriors,Robinson Cano 2B | NYM ,581,73,155,90,44,1,20,67,40,108,3,1,.267,.318,.449,227
Orange-a-Tangs,Rougned Odor 2B | TEX ,536,85,122,61,29,2,30,95,51,170,12,8,.228,.303,.457,281
W ,Starlin Castro 2B | WAS ,571,80,164,104,32,5,23,86,38,104,4,3,.287,.330,.482,283
Tittys Warriors,Michael Chavis 1B | BOS ,557,74,140,89,21,1,29,89,50,172,3,1,.251,.321,.449,289
Floaters and Sinkers,Asdrubal Cabrera 3B | WAS,549,74,146,93,30,1,22,94,49,123,3,0,.266,.328,.444,290
W ,Cesar Hernandez 2B | CLE,535,81,154,114,22,3,15,68,53,97,11,3,.288,.356,.424,291
W ,Jose Peraza 2B | BOS,576,75,162,105,39,6,12,59,19,74,16,7,.281,.312,.432,305
Sofa Kings,Nick Madrigal 2B | CHW ,468,71,133,85,27,4,17,64,36,106,10,4,.284,.340,.468,306
W ,Eric Sogard 2B | MIL ,574,81,158,105,34,4,15,61,50,112,11,1,.275,.341,.427,307
W ,Ian Happ LF | CHC ,413,67,109,61,23,3,22,69,49,110,7,2,.264,.345,.494,320
W ,Freddy Galvis SS | CIN ,492,64,137,85,30,3,19,70,32,120,5,3,.279,.323,.468,327
W ,Hanser Alberto 2B | BAL ,598,68,173,128,27,3,15,60,25,75,6,4,.289,.322,.420,331
W ,Niko Goodrum SS | DET ,498,70,129,78,33,4,14,62,49,143,15,6,.259,.326,.426,334
W ,Howie Kendrick 1B | WAS ,434,59,132,82,31,2,17,66,30,83,3,1,.304,.352,.502,335
W ,Joey Wendle 2B | TB,530,74,140,91,35,5,9,64,37,112,16,5,.264,.319,.400,339
W ,Shed Long 2B | SEA ,493,69,131,79,32,3,17,59,42,126,10,6,.266,.325,.446,343
W ,Aledmys Diaz 1B | HOU ,400,61,108,62,24,2,20,71,49,72,3,1,.270,.348,.490,353
W ,Dee Gordon 2B | SEA ,587,56,157,118,22,9,8,54,34,115,26,7,.268,.305,.377,355
W ,Jurickson Profar 2B | SD ,508,69,118,66,26,6,20,71,45,92,9,2,.232,.301,.425,359
Shits & Giggles,Jed Lowrie 2B | NYM ,520,64,134,86,27,2,19,74,57,119,2,0,.258,.334,.427,363
W ,Mauricio Dubon 2B | SF ,501,61,133,87,27,3,16,54,34,107,11,4,.266,.316,.427,371
W ,Sheldon Neuse 2B | OAK,461,65,122,79,25,3,15,58,39,111,8,3,.265,.325,.429,374
W ,David Fletcher 3B | LAA,430,67,130,93,24,4,9,50,41,59,6,2,.302,.363,.440,382
W ,Hernan Perez 2B | CHC,444,55,118,82,20,2,14,46,24,111,13,3,.266,.304,.414,400
W ,Chris Taylor LF | LAD ,384,57,103,55,27,8,13,57,36,122,8,2,.268,.336,.482,401
W ,Enrique Hernandez 2B | LAD ,397,60,98,56,22,3,17,60,36,88,5,0,.247,.315,.446,407
W ,Jason Kipnis 2B | CHC ,473,54,112,69,24,2,17,66,44,113,7,2,.237,.305,.404,415
W ,Thairo Estrada 2B | NYY,317,53,87,53,18,2,14,48,29,75,8,3,.274,.343,.476,417
W ,Jordy Mercer SS | DET,522,55,142,88,36,1,17,49,35,124,2,0,.272,.326,.443,422
W ,Josh VanMeter LF | CIN,309,52,84,48,19,3,14,42,35,74,10,3,.272,.348,.489,423
W ,Josh Harrison 2B | PHI,503,64,120,77,27,4,12,54,42,109,11,4,.239,.300,.380,424
W ,Brad Miller 3B | STL ,312,46,85,46,17,2,20,50,31,90,2,0,.272,.340,.532,425
W ,Nicky Lopez 2B | KC,556,69,137,92,31,5,9,59,33,91,5,3,.246,.290,.369,442
Disco Bush Horticulturists,Brian Dozier 2B | SD ,445,57,96,56,19,1,20,55,52,124,6,3,.216,.302,.398,444
Whiteness,Isan Diaz 2B | MIA,472,55,112,73,20,4,15,59,41,134,5,1,.237,.303,.392,448
W ,Ehire Adrianza SS | MIN,324,53,91,57,19,4,11,46,29,73,4,2,.281,.345,.466,451
W ,Chad Pinder LF | OAK,386,50,103,65,22,1,15,51,28,112,1,0,.267,.322,.446,455
W ,Adam Frazier 2B | PIT ,466,62,120,80,24,5,11,45,37,86,5,3,.258,.319,.401,457
W ,Brandon Drury 3B | TOR,384,51,95,55,21,2,17,53,29,95,1,0,.247,.301,.445,460
W ,Daniel Descalso 2B | CHC,406,57,100,65,20,4,11,49,39,102,6,3,.246,.315,.397,467
W ,Eduardo Nunez 2B | NYM,382,47,98,66,19,2,11,48,27,82,8,3,.257,.308,.403,471
W ,Domingo Leyba 2B | ARI,326,47,87,54,19,3,11,45,27,71,6,2,.267,.309,.445,475
W ,Colin Moran 3B | PIT ,393,43,102,67,22,1,12,59,32,109,1,0,.260,.317,.412,487
W ,Tyler Wade 2B | NYY,252,41,72,46,14,3,9,36,25,61,10,3,.286,.355,.472,488
Shits & Giggles,Jonathan Schoop 2B | DET,478,52,116,73,25,2,16,50,18,138,1,0,.243,.281,.404,492
W ,Franklin Barreto 2B | OAK ,321,45,81,48,18,2,13,43,24,84,6,2,.252,.310,.442,495
W ,David Bote 3B | CHC,305,44,78,48,16,1,13,45,35,87,4,1,.256,.340,.443,497
W ,Joe Panik 2B | TOR ,469,58,113,79,22,3,9,48,46,60,5,4,.241,.312,.358,505
W ,Greg Garcia 2B | SD ,372,57,97,64,18,7,8,41,46,85,3,2,.261,.347,.411,507
W ,Derek Dietrich 2B | CIN ,233,44,61,31,13,2,15,36,25,62,1,1,.262,.362,.528,514
W ,Dylan Moore SS | SEA ,321,41,75,43,17,4,11,38,25,93,10,6,.234,.301,.414,520
W ,Ty France 3B | SD ,311,41,75,45,14,2,14,46,25,77,1,0,.241,.309,.434,526
W ,Adeiny Hechavarria 2B | ATL ,327,45,79,52,16,2,9,46,22,78,3,2,.242,.290,.385,535
W ,Donovan Solano 2B | SF,327,41,89,60,19,2,8,36,21,75,4,1,.272,.315,.416,536
W ,Luis Guillorme SS | NYM,325,41,84,54,19,2,9,36,23,67,5,2,.259,.312,.412,541
W ,Wilmer Flores 2B | SF,329,32,95,64,21,1,9,38,17,45,1,0,.289,.326,.441,549
Floaters and Sinkers,Luis Urias SS | MIL ,322,44,80,53,16,2,9,38,33,76,3,1,.248,.335,.394,552
W ,Alex Blandino 2B | CIN,305,43,78,53,15,2,8,33,29,77,4,1,.256,.328,.397,558
W ,Yolmer Sanchez 2B | SF,458,49,112,78,24,6,4,39,45,100,7,4,.244,.317,.349,561
W ,Luis Rengifo 2B | LAA ,307,43,81,53,18,3,7,34,34,70,2,1,.264,.345,.410,570
W ,Brock Holt 2B | MIL ,307,38,83,61,14,2,6,33,28,76,4,3,.270,.343,.388,574
W ,Daniel Robertson 3B | TB,300,42,71,44,17,1,9,36,35,85,2,1,.237,.331,.390,588
W ,Tony Kemp 2B | OAK,267,40,62,38,16,3,5,32,26,62,9,5,.232,.307,.371,590
W ,Jack Mayfield SS | HOU,197,30,54,32,12,1,9,28,15,36,4,1,.274,.330,.482,593
W ,Ronny Rodriguez 2B | MIL,203,28,51,29,10,2,10,29,17,50,4,1,.251,.307,.468,609
W ,Dustin Pedroia 2B | BOS ,213,30,57,37,12,1,7,27,16,40,4,1,.268,.323,.432,624
W ,Tony Wolters C | COL,313,37,80,59,14,2,5,38,29,69,0,0,.256,.330,.361,634
W ,Andy Young 2B | ARI,197,27,53,33,11,2,7,25,16,43,4,1,.269,.329,.452,641
W ,Kyle Farmer 2B | CIN ,187,27,50,32,10,1,7,25,15,47,4,1,.267,.327,.444,644
W ,Mike Brosseau 2B | TB ,193,27,53,33,12,1,7,25,15,47,3,1,.275,.335,.456,646
W ,Austin Nola 1B | SEA,189,27,50,30,11,1,8,26,20,52,1,0,.265,.343,.460,669
W ,Mark Mathias 2B | MIL ,197,27,52,34,11,1,6,24,17,46,4,1,.264,.327,.421,672
