All Shortstops   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Sofa Kings,Trea Turner SS | WAS ,623,93,170,108,37,6,19,63,42,147,30,6,.273,.322,.443,6
W ,Alex Bregman 3B | HOU ,518,111,151,79,35,1,36,101,93,84,5,1,.291,.404,.571,8
W ,Francisco Lindor SS | CLE ,601,110,170,96,38,3,33,82,54,102,22,7,.283,.344,.521,9
Disco Bush Horticulturists,Trevor Story SS | COL,555,102,163,95,33,5,30,81,53,155,19,7,.294,.360,.533,10
EVIL EMPIRE ,Fernando Tatis SS | SD ,567,94,170,103,26,13,28,85,47,162,24,8,.300,.357,.540,21
Los Cerveceros,Xander Bogaerts SS | BOS ,602,94,180,100,50,1,29,110,61,117,6,2,.299,.364,.530,29
Floaters and Sinkers,Ketel Marte CF | ARI ,561,87,176,100,38,9,29,86,53,105,9,3,.314,.376,.569,31
Sofa Kings,Gleyber Torres SS | NYY,569,101,161,91,34,1,35,98,49,133,8,2,.283,.341,.531,39
Disco Bush Horticulturists,Jonathan Villar 2B | MIA ,560,84,154,103,29,5,17,61,48,168,35,7,.275,.336,.436,45
EVIL EMPIRE ,Adalberto Mondesi SS | KC ,582,89,151,92,29,9,21,88,28,173,65,14,.260,.292,.449,56
EVIL EMPIRE ,Javier Baez SS | CHC ,622,103,180,90,46,9,35,106,31,177,16,9,.289,.324,.561,63
Sofa Kings,Marcus Semien SS | OAK,561,98,166,100,35,7,24,77,64,104,10,6,.296,.368,.512,67
W ,Carlos Correa SS | HOU,561,75,146,81,30,2,33,100,51,151,6,1,.260,.324,.497,69
Orange-a-Tangs,Bo Bichette SS | TOR ,506,80,145,86,35,2,22,66,40,115,10,6,.287,.340,.494,73
Sofa Kings,Manny Machado 3B | SD,570,81,158,99,26,4,29,90,60,114,7,3,.277,.348,.489,82
Crime Pays,Tim Anderson SS | CHW ,567,94,172,113,35,1,23,71,25,122,17,6,.303,.337,.490,93
User Abuser,Danny Santana CF | TEX ,574,93,160,94,30,7,29,96,38,173,22,7,.279,.332,.507,126
Tittys Warriors,Corey Seager SS | LAD,523,84,141,76,43,2,20,89,43,107,3,0,.270,.329,.474,131
Los Cerveceros,Jorge Polanco SS | MIN ,577,98,174,105,38,10,21,81,61,113,6,5,.302,.369,.511,140
Old Dirty Bugg,Scott Kingery CF | PHI ,535,79,139,76,35,6,22,72,50,166,17,4,.260,.329,.471,169
Sofa Kings,Garrett Hampson 2B | COL,325,46,85,59,14,3,9,38,22,78,20,6,.262,.309,.406,178
Old Dirty Bugg,Amed Rosario SS | NYM ,553,66,158,107,28,8,15,64,31,116,17,8,.286,.325,.447,190
Whiteness,Elvis Andrus SS | TEX ,571,81,154,111,27,4,12,69,35,96,24,7,.270,.314,.394,196
Crime Pays,Paul DeJong SS | STL ,561,89,136,74,32,2,28,78,50,159,6,4,.242,.315,.456,197
Orange-a-Tangs,Didi Gregorius SS | PHI,543,76,137,85,25,7,20,88,39,88,7,4,.252,.305,.435,199
Whiteness,Jean Segura SS | PHI ,597,90,170,118,34,5,13,70,35,82,14,5,.285,.329,.424,214
W ,Luis Arraez 2B | MIN ,544,90,172,116,40,3,13,63,54,76,6,4,.316,.378,.472,215
W ,Kevin Newman SS | PIT ,586,66,158,112,24,4,18,71,36,103,18,7,.270,.319,.416,219
Disco Bush Horticulturists,Dansby Swanson SS | ATL ,523,78,128,79,29,3,17,67,46,133,9,4,.245,.310,.409,228
W ,Jon Berti SS | MIA ,316,52,86,57,19,2,8,33,25,85,15,4,.272,.333,.421,244
W ,Andrelton Simmons SS | LAA ,562,77,166,121,30,3,12,76,35,55,12,3,.295,.339,.423,288
W ,Jose Peraza 2B | BOS,576,75,162,105,39,6,12,59,19,74,16,7,.281,.312,.432,305
W ,Willy Adames SS | TB ,519,76,138,88,25,1,24,60,48,153,6,4,.266,.330,.457,309
User Abuser,Nick Ahmed SS | ARI ,539,73,136,77,32,7,20,80,43,112,7,2,.252,.308,.449,316
W ,Alex De Goti SS | HOU,425,66,121,75,25,3,18,62,36,76,9,3,.285,.344,.485,322
W ,Freddy Galvis SS | CIN ,492,64,137,85,30,3,19,70,32,120,5,3,.279,.323,.468,327
W ,Niko Goodrum SS | DET ,498,70,129,78,33,4,14,62,49,143,15,6,.259,.326,.426,334
W ,Joey Wendle 2B | TB,530,74,140,91,35,5,9,64,37,112,16,5,.264,.319,.400,339
W ,Zach McKinstry SS | LAD ,410,66,110,66,24,3,17,62,36,87,9,3,.268,.333,.466,346
W ,Jose Iglesias SS | BAL,509,61,149,106,29,3,11,62,21,68,10,7,.293,.326,.426,352
W ,Aledmys Diaz 1B | HOU ,400,61,108,62,24,2,20,71,49,72,3,1,.270,.348,.490,353
W ,Nico Hoerner SS | CHC,480,67,125,82,23,4,16,66,34,101,8,3,.260,.311,.425,358
W ,Mauricio Dubon 2B | SF ,501,61,133,87,27,3,16,54,34,107,11,4,.266,.316,.427,371
W ,Miguel Rojas SS | MIA,533,63,146,106,28,1,11,62,34,82,9,5,.274,.322,.392,375
W ,JT Riddle CF | PIT,531,65,126,74,24,6,22,69,39,134,3,1,.237,.291,.429,381
W ,David Fletcher 3B | LAA,430,67,130,93,24,4,9,50,41,59,6,2,.302,.363,.440,382
W ,Tyler Freeman SS | CLE,407,61,108,69,22,3,14,57,34,85,8,3,.265,.324,.437,388
Disco Bush Horticulturists,Carter Kieboom SS | WAS ,472,65,119,79,23,3,14,57,37,109,9,3,.252,.310,.403,395
W ,Hernan Perez 2B | CHC,444,55,118,82,20,2,14,46,24,111,13,3,.266,.304,.414,400
W ,Chris Taylor LF | LAD ,384,57,103,55,27,8,13,57,36,122,8,2,.268,.336,.482,401
W ,J.P. Crawford SS | SEA ,506,72,124,77,34,6,7,72,54,127,8,4,.245,.322,.378,406
W ,Enrique Hernandez 2B | LAD ,397,60,98,56,22,3,17,60,36,88,5,0,.247,.315,.446,407
W ,Thairo Estrada 2B | NYY,317,53,87,53,18,2,14,48,29,75,8,3,.274,.343,.476,417
W ,Jordy Mercer SS | DET,522,55,142,88,36,1,17,49,35,124,2,0,.272,.326,.443,422
W ,Danny Mendick SS | CHW,320,48,91,59,17,2,13,45,20,73,6,2,.284,.330,.472,440
W ,Nicky Lopez 2B | KC,556,69,137,92,31,5,9,59,33,91,5,3,.246,.290,.369,442
W ,Leury Garcia CF | CHW ,328,57,91,67,15,4,5,33,15,78,15,4,.277,.313,.393,450
W ,Ehire Adrianza SS | MIN,324,53,91,57,19,4,11,46,29,73,4,2,.281,.345,.466,451
W ,Brandon Crawford SS | SF ,502,58,123,84,24,3,12,56,46,117,5,3,.245,.311,.377,458
W ,Richie Martin SS | BAL,445,50,108,72,19,5,12,44,27,110,13,3,.243,.293,.389,459
W ,Brandon Drury 3B | TOR,384,51,95,55,21,2,17,53,29,95,1,0,.247,.301,.445,460
Orange-a-Tangs,Jorge Mateo SS | OAK ,321,47,85,53,18,2,12,44,25,71,7,2,.265,.324,.446,465
W ,Eduardo Nunez 2B | NYM,382,47,98,66,19,2,11,48,27,82,8,3,.257,.308,.403,471
W ,Yu Chang 3B | CLE,304,46,79,47,16,2,14,48,34,72,2,1,.260,.338,.464,483
W ,Yairo Munoz RF | STL ,322,38,89,60,17,3,9,41,25,79,10,5,.276,.334,.432,493
W ,Franklin Barreto 2B | OAK ,321,45,81,48,18,2,13,43,24,84,6,2,.252,.310,.442,495
W ,David Bote 3B | CHC,305,44,78,48,16,1,13,45,35,87,4,1,.256,.340,.443,497
W ,Greg Garcia 2B | SD ,372,57,97,64,18,7,8,41,46,85,3,2,.261,.347,.411,507
W ,Johan Camargo SS | ATL ,415,51,96,65,18,2,11,57,35,90,3,1,.231,.295,.364,508
W ,Dylan Moore SS | SEA ,321,41,75,43,17,4,11,38,25,93,10,6,.234,.301,.414,520
W ,Adeiny Hechavarria 2B | ATL ,327,45,79,52,16,2,9,46,22,78,3,2,.242,.290,.385,535
W ,Donovan Solano 2B | SF,327,41,89,60,19,2,8,36,21,75,4,1,.272,.315,.416,536
W ,Luis Guillorme SS | NYM,325,41,84,54,19,2,9,36,23,67,5,2,.259,.312,.412,541
Floaters and Sinkers,Luis Urias SS | MIL ,322,44,80,53,16,2,9,38,33,76,3,1,.248,.335,.394,552
W ,Luis Rengifo 2B | LAA ,307,43,81,53,18,3,7,34,34,70,2,1,.264,.345,.410,570
W ,Wilmer Difo SS | WAS,323,42,81,58,12,4,7,34,25,68,5,2,.251,.307,.378,571
W ,Brock Holt 2B | MIL ,307,38,83,61,14,2,6,33,28,76,4,3,.270,.343,.388,574
W ,Daniel Robertson 3B | TB,300,42,71,44,17,1,9,36,35,85,2,1,.237,.331,.390,588
W ,Myles Straw SS | HOU ,193,31,54,35,11,1,7,24,19,36,7,2,.280,.346,.456,589
W ,Jack Mayfield SS | HOU,197,30,54,32,12,1,9,28,15,36,4,1,.274,.330,.482,593
W ,C.J. Chatham SS | BOS ,206,30,58,36,13,2,7,28,15,41,4,2,.282,.335,.466,603
W ,Jonathan Arauz SS | BOS ,206,30,58,36,13,2,7,28,15,41,4,2,.282,.335,.466,603
W ,Ronny Rodriguez 2B | MIL,203,28,51,29,10,2,10,29,17,50,4,1,.251,.307,.468,609
W ,Willi Castro SS | DET,258,31,67,42,16,2,7,27,18,65,4,1,.260,.312,.419,632
W ,Orlando Arcia SS | MIL ,265,29,64,45,11,1,7,33,18,57,5,3,.241,.289,.370,636
W ,Vimael Machin SS | OAK ,193,28,51,32,11,1,7,26,15,42,4,1,.264,.322,.440,638
W ,Erik Gonzalez SS | PIT ,239,28,63,43,12,2,6,24,17,57,5,2,.264,.310,.406,654
W ,Santiago Espinal SS | TOR,189,27,49,30,11,1,7,25,15,43,4,1,.259,.319,.439,659
W ,Jake Cronenworth SS | SD,189,25,49,31,10,2,6,23,14,44,4,1,.259,.316,.429,698
Orange-a-Tangs,Andres Gimenez SS | NYM ,161,22,43,27,9,1,6,21,12,35,3,1,.267,.324,.447,730
W ,Donnie Walton SS | SEA,193,25,48,31,9,2,6,23,16,47,3,1,.249,.311,.409,731
Orange-a-Tangs,Brendan Rodgers 2B | COL ,174,25,45,30,9,1,5,22,13,42,3,1,.259,.316,.408,735
W ,Charlie Culberson LF | ATL ,158,22,41,26,8,1,6,21,13,52,2,1,.260,.322,.437,759
W ,Gordon Beckham 2B | SD,197,25,48,30,11,1,6,17,12,53,3,1,.244,.296,.401,780
W ,Sergio Alcantara SS | DET ,161,19,43,28,9,1,5,18,11,37,3,1,.267,.316,.429,788
W ,Esteban Quiroz SS | SD,158,21,40,26,8,1,5,19,12,37,3,1,.253,.308,.411,789
W ,Pat Valaika 2B | BAL,164,20,43,28,9,1,5,18,11,39,3,1,.262,.315,.421,790
W ,Cole Tucker SS | PIT ,197,23,47,30,10,2,5,21,14,45,3,1,.239,.291,.386,794
W ,Chris Owings 2B | COL,194,22,42,27,10,1,4,21,14,61,6,2,.216,.275,.340,811
W ,Humberto Arteaga SS | KC,160,21,40,27,8,1,4,16,11,35,3,1,.250,.305,.388,831
W ,Sean Rodriguez 3B | MIA,120,16,31,20,6,0,5,15,10,34,1,0,.258,.323,.433,869
W ,Logan Forsythe 1B | PHI,118,14,28,18,6,1,3,15,15,32,1,0,.237,.328,.381,933
W ,Matthew Lugo SS | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ivan Castillo SS | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Yosmany Guerra SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Marte SS | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Livan Soto SS | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nelson Ward SS | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Bobby Honeyman SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Garcia SS | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nicholas Shumpert SS | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Logan Ratledge SS | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Michael Russell SS | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cody Bohanek SS | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Arol Vera SS | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brett Pope SS | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tim Smalling SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wilfredo Tovar SS | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alan Trejo SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Eddy Alvarez SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Michael De Leon SS | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Webb SS | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Stephen Perez SS | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Anderson Tejeda SS | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gustavo Pierre SS | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Zack Cozart 3B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Marten Gasparini SS | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Robelys Reyes SS | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Trace Loehr SS | OAK,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
