Team Totals 2021  Season MLB Standard Categories
Team	AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	
Crime Pays	7563	1165	1952	1200	363	25	364	1119	727	2101	154	31	.258	.330	.457
Disco Bush Horticulturists	7049	1040	1800	1100	368	28	304	1006	700	1890	137	47	.255	.330	.445
EVIL EMPIRE 	6878	1134	1910	1083	404	25	398	1189	791	1607	105	26	.278	.355	.517
Floaters and Sinkers	6498	1002	1717	1040	341	21	315	1033	739	1626	65	25	.264	.344	.469
Los Cerveceros	6890	1156	1841	1109	371	33	328	1019	844	1522	140	26	.267	.353	.473
Old Dirty Bugg	6562	943	1689	1063	340	31	255	899	695	1531	70	34	.257	.335	.435
Orange-a-Tangs	6855	1028	1808	1134	357	23	294	1016	684	1592	108	38	.264	.338	.451
Shits & Giggles	6065	823	1565	1024	292	38	211	798	588	1478	94	29	.258	.328	.423
Sofa Kings	6870	1105	1855	1069	379	23	384	1081	752	1780	142	36	.270	.346	.500
Tittys Warriors	6647	1014	1720	1009	376	17	318	992	640	1522	83	26	.259	.329	.464
User Abuser	6711	1054	1841	1142	382	36	281	992	722	1486	76	24	.274	.351	.468
Whiteness	6062	902	1531	893	313	26	299	875	604	1480	78	27	.253	.327	.461
Team Totals 2021  Season MLB Standard Categories
Team	INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	
Crime Pays	1357.1	460	194	90	4	88	78	44	23	72	1435	431	1136	3.55	1.15
Disco Bush Horticulturists	1304.2	352	214	74	4	70	72	40	8	18	1355	496	1172	4.23	1.28
EVIL EMPIRE 	1077.2	357	144	73	3	72	47	51	11	24	1255	324	859	3.01	1.10
Floaters and Sinkers	1013.2	414	150	54	4	59	69	41	16	38	1005	325	923	4.11	1.23
Los Cerveceros	1535.0	535	217	112	3	107	68	87	19	47	1829	441	1237	3.17	1.09
Old Dirty Bugg	1503.2	511	211	100	1	103	64	83	23	48	1645	410	1270	3.39	1.12
Orange-a-Tangs	1658.0	490	254	100	4	111	72	67	10	32	1736	525	1395	3.69	1.16
Shits & Giggles	1157.1	404	170	70	5	91	62	61	19	27	1212	321	992	3.42	1.13
Sofa Kings	1686.0	474	263	125	1	109	99	105	16	3	1771	555	1441	3.52	1.18
Tittys Warriors	1495.0	460	233	99	8	109	82	61	10	29	1464	515	1334	3.68	1.24
User Abuser	1391.1	446	206	94	1	91	66	100	18	19	1555	443	1153	3.38	1.15
Whiteness	1077.0	408	161	68	2	70	65	36	17	41	1071	341	1006	4.40	1.25
