All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Josh Hader RP  MIL"	62	65	0	0	0	3	2	43	2	3	94	23	24	1.45	0.76	67
"Liam Hendriks RP  CHW"	73	70	0	0	0	2	1	33	5	4	111	8	45	2.47	0.73	70
"Raisel Iglesias RP  LAA "	71	69	0	0	0	2	3	32	5	4	110	14	56	2.92	0.99	90
"Emmanuel Clase RP  CLE"	62	68	0	0	0	2	3	33	7	3	61	13	42	1.16	0.89	91
"Ryan Pressly RP  HOU"	66	66	0	0	0	2	1	40	5	3	78	13	48	2.05	0.92	105
"Kenley Jansen RP  ATL "	66	74	0	0	0	2	3	37	5	3	80	28	34	2.05	0.94	107
"Jordan Romano RP  TOR"	63	67	0	0	0	2	1	36	2	3	81	23	38	2.00	0.97	108
"Edwin Diaz RP  NYM"	66	69	0	0	0	2	3	37	8	3	94	25	43	3.00	1.03	109
"Aroldis Chapman RP  NYY"	67	73	0	0	0	2	3	33	5	3	110	40	39	3.09	1.18	113
"Blake Treinen RP  LAD "	65	64	0	0	0	2	2	38	11	3	66	19	41	2.21	0.92	127
"Giovanny Gallegos RP  STL "	71	74	0	0	0	2	3	31	9	4	82	17	44	2.92	0.86	129
"Ranger Suarez RP  PHI "	162	30	30	14	2	8	6	0	0	0	149	53	145	2.61	1.22	133
"Camilo Doval RP  SF "	63	73	0	0	0	1	2	21	6	3	76	18	41	2.71	0.94	149
"Corey Knebel RP  PHI "	48	77	0	0	0	2	2	29	9	2	64	18	37	3.38	1.15	150
"Craig Kimbrel RP  CHW "	58	68	0	0	0	3	5	11	2	13	91	25	31	2.33	0.97	151
"Luis Severino RP  NYY "	148	29	29	10	0	8	9	0	0	0	143	50	144	4.20	1.31	153
"Scott Barlow RP  KC"	84	75	0	0	0	2	1	26	8	4	109	32	74	2.89	1.26	159
"Mark Melancon RP  ARI "	66	69	0	0	0	1	3	24	4	3	61	25	58	2.32	1.26	160
"Cal Quantrill SP  CLE"	162	29	29	16	0	12	3	0	0	0	136	45	125	2.83	1.05	176
"Michael Kopech RP  CHW "	129	26	26	7	0	8	6	0	0	0	140	41	110	3.56	1.17	212
"Andrew Kittredge RP  TB"	79	76	0	0	0	1	3	23	4	4	77	15	58	1.82	0.92	237
"Joe Barlow RP  TEX"	50	63	0	0	0	2	3	30	4	2	48	21	21	1.62	0.84	239
"Devin Williams RP  MIL "	74	74	0	0	0	5	2	2	0	34	112	32	39	1.82	0.96	246
"Taylor Rogers RP  MIN"	63	72	0	0	0	2	2	30	9	3	90	13	64	3.43	1.22	248
"Paul Sewald RP  SEA"	75	70	0	0	0	5	3	8	2	23	112	28	51	3.36	1.05	251
"Lou Trivino RP  OAK"	67	68	0	0	0	2	2	29	6	3	61	30	50	3.22	1.19	255
"Dylan Floro RP  MIA"	53	75	0	0	0	2	2	28	8	3	47	17	42	2.72	1.11	257
"Lucas Sims RP  CIN "	60	74	0	0	0	1	3	24	7	3	98	25	42	4.05	1.12	261
"Gregory Soto RP  DET "	80	79	0	0	0	1	1	25	2	4	99	51	57	3.49	1.35	263
"Tanner Houck SP  BOS "	147	29	29	2	0	3	8	0	0	0	159	38	134	3.55	1.17	264
"Alex Colome RP  COL "	68	67	0	0	0	2	3	26	8	3	64	26	71	3.97	1.43	270
"Nestor Cortes SP  NYY"	150	29	29	9	0	3	9	0	0	0	142	35	142	4.08	1.18	272
"Ken Giles RP  SEA "	54	60	0	0	0	2	2	1	0	10	58	26	48	5.00	1.37	276
"Andrew Heaney SP  LAD"	142	26	26	10	0	14	4	0	0	0	154	39	111	3.11	1.06	287
"Drew Steckenrider RP  SEA"	82	72	0	0	0	2	3	29	6	4	70	20	63	1.98	1.01	314
"Drew Rasmussen RP  TB"	116	26	26	4	0	9	3	0	0	0	97	29	92	2.87	1.04	350
"David Bednar RP  PIT"	74	74	0	0	0	1	3	22	5	4	99	25	57	2.68	1.11	363
"Matt Barnes RP  BOS "	67	75	0	0	0	2	3	29	8	3	105	30	53	4.03	1.24	366
"Art Warren RP  CIN"	57	81	0	0	0	5	2	1	0	6	100	24	32	1.42	0.98	390
"Chad Green RP  NYY"	76	64	0	0	0	5	5	2	0	20	90	17	50	3.08	0.88	406
"Emilio Pagan RP  SD"	54	59	0	0	0	2	1	31	6	17	58	16	45	4.67	1.13	408
"Will Smith RP  ATL "	60	68	0	0	0	5	5	9	2	6	63	20	36	2.85	0.93	413
"Drew Pomeranz RP  SD "	67	74	0	0	0	2	1	6	1	37	82	29	44	1.48	1.09	437
"Cole Sulser RP  BAL"	80	71	0	0	0	1	3	23	7	4	106	40	72	3.71	1.40	443
"Jake McGee RP  SF"	52	64	0	0	0	4	3	9	2	18	50	8	35	2.60	0.83	444
"Rowan Wick RP  CHC "	66	65	0	0	0	2	3	26	8	3	85	37	57	4.23	1.42	455
"Zach Thompson SP  PIT"	129	26	26	7	0	7	9	0	0	0	105	50	108	3.56	1.22	465
"Peter Fairbanks RP  TB"	67	71	0	0	0	5	5	10	2	24	81	30	56	3.36	1.28	472
"Taylor Hearn RP  TEX"	146	30	30	10	0	10	10	0	0	0	112	42	143	4.38	1.27	479
"Luis Cessa RP  CIN"	79	67	0	0	0	6	2	1	0	8	67	25	67	2.51	1.16	480
"Diego Castillo RP  SEA"	52	57	0	0	0	3	3	8	2	16	64	18	34	2.60	1.00	485
"James Karinchak RP  CLE"	59	66	0	0	0	4	4	8	2	20	84	33	34	3.66	1.14	486
"Daniel Hudson RP  LAD"	54	62	0	0	0	3	2	11	2	19	72	17	39	3.67	1.04	487
"Josh Staumont RP  KC"	67	71	0	0	0	3	2	7	1	20	79	31	46	2.82	1.15	490
"Collin McHugh RP  ATL "	55	25	13	2	0	4	3	0	0	1	56	10	38	1.80	0.87	492
"Tyler Rogers RP  SF"	62	63	0	0	0	3	1	9	2	29	39	10	52	2.18	1.00	494
"Cristian Javier RP  HOU"	65	28	15	5	0	6	3	0	0	1	78	30	40	3.32	1.08	498
"Daulton Jefferies RP  OAK "	162	32	32	10	0	9	11	0	0	0	135	53	169	4.17	1.37	506
"Brad Boxberger RP  MIL "	65	73	0	0	0	4	2	1	0	24	73	24	41	2.91	1.00	509
"JT Chargois RP  TB"	62	73	0	0	0	5	1	1	0	20	59	23	44	2.32	1.08	512
"Andrew Chafin RP  DET "	77	92	0	0	0	2	3	1	0	31	80	24	57	2.34	1.05	513
"Ian Kennedy RP  ARI "	77	79	0	0	0	2	1	6	1	8	97	23	63	3.62	1.12	522
"Anthony Bender RP  MIA"	67	72	0	0	0	3	2	1	0	16	76	21	47	2.69	1.01	523
"Jarlin Garcia RP  SF"	65	64	0	0	0	3	2	1	0	13	60	18	44	2.35	0.95	530
"Tyler Matzek RP  ATL"	61	61	0	0	0	3	3	1	0	20	75	28	38	2.21	1.08	531
"Brent Suter RP  MIL "	67	57	0	0	0	7	2	1	0	9	61	20	62	3.09	1.22	535
"Heath Hembree RP  PIT "	73	86	0	0	0	5	6	9	2	12	111	29	60	5.79	1.22	539
"Casey Sadler RP  SEA"	60	66	0	0	0	1	2	1	0	25	60	20	33	1.65	0.88	543
"Justin Steele RP  CHC "	134	26	26	6	0	7	8	0	0	0	110	51	126	3.90	1.32	544
"Austin Warren RP  LAA"	63	59	0	0	0	3	1	1	0	8	69	17	55	2.00	1.14	545
"Hector Neris RP  HOU"	68	75	0	0	0	3	4	7	1	15	87	30	53	3.71	1.22	546
"Carlos Hernandez RP  KC"	147	29	29	12	0	8	10	0	0	0	114	62	136	4.10	1.35	550
"Trevor May RP  NYM"	58	63	0	0	0	4	1	4	1	19	74	20	47	3.41	1.16	551
"Caleb Thielbar RP  MIN"	64	64	0	0	0	5	1	1	0	12	78	22	56	3.23	1.22	552
"Jorge Alcala RP  MIN"	79	76	0	0	0	3	3	1	0	14	84	19	62	3.76	1.03	555
"Pierce Johnson RP  SD"	50	58	0	0	0	3	1	8	2	9	64	22	38	3.06	1.20	556
"Ryan Tepera RP  LAA "	70	78	0	0	0	1	2	1	0	25	95	26	46	3.21	1.03	559
"Yimi Garcia RP  TOR "	52	60	0	0	0	5	5	7	1	6	53	16	43	4.15	1.13	565
"Aaron Loup RP  LAA"	50	66	0	0	0	3	1	1	0	18	58	16	40	1.62	1.12	569
"Deolis Guerra RP  OAK"	77	73	0	0	0	6	3	1	0	8	73	23	64	4.33	1.13	570
"Robert Suarez RP  SD"	65	65	0	0	0	1	2	18	4	3	62	24	58	4.15	1.26	571
"Matt Wisler RP  TB"	62	65	0	0	0	3	3	1	0	15	78	18	49	3.34	1.08	577
"Juan Minaya RP  MIN "	68	51	0	0	0	2	4	1	0	12	70	33	44	2.38	1.13	585
"Danny Coulombe RP  MIN"	67	63	0	0	0	7	3	1	0	7	69	17	72	3.76	1.33	586
"Adam Conley RP  TB "	65	68	0	0	0	1	1	5	1	8	55	21	48	2.35	1.06	587
"Craig Stammen RP  SD"	70	63	0	0	0	4	3	0	0	8	63	11	63	3.34	1.06	591
"Alec Mills SP  CHC "	158	29	29	8	1	9	9	0	0	0	111	49	161	4.56	1.33	592
"Jose Suarez SP  LAA"	133	26	26	2	2	11	11	0	0	0	117	47	139	5.14	1.40	593
"Tommy Hunter RP  NYM"	62	54	0	0	0	1	1	1	0	15	50	16	40	2.18	0.90	595
"Garrett Whitlock RP  BOS "	49	22	10	3	0	4	4	0	0	1	55	12	44	2.20	1.14	599
"Jake Diekman RP  BOS "	67	77	0	0	0	3	2	4	1	25	100	41	52	3.63	1.39	602
"Clay Holmes RP  NYY"	59	65	0	0	0	5	3	1	0	10	65	24	45	3.81	1.17	611
"Tim Mayza RP  TOR"	46	64	0	0	0	5	2	1	0	21	54	11	38	3.72	1.07	613
"Nick Martinez RP  SD "	133	26	26	9	0	6	8	0	0	0	120	46	133	4.33	1.35	614
"Jake Cousins RP  MIL"	58	64	0	0	0	1	1	1	0	14	80	36	30	2.48	1.14	616
"Kervin Castro RP  SF"	54	51	0	0	0	3	3	1	0	5	48	20	46	1.50	1.22	618
"Colin Poche RP  TB "	74	74	0	0	0	5	3	1	0	12	67	25	63	3.89	1.19	621
"Brad Hand RP  PHI "	50	57	0	0	0	6	5	2	0	5	50	19	42	3.78	1.22	622
"Trevor Rosenthal RP  OAK"	51	51	0	0	0	1	1	2	0	5	72	21	28	3.18	0.96	623
"Ryne Stanek RP  HOU"	63	72	0	0	0	3	3	1	0	19	73	32	41	3.43	1.16	626
"Paolo Espino SP  WAS"	78	25	17	1	0	6	3	0	0	0	66	20	76	4.04	1.23	629
"Yohan Ramirez RP  SEA"	51	43	0	0	0	4	3	1	0	5	63	29	30	3.53	1.16	633
"Trevor Richards RP  TOR"	50	25	12	3	0	5	3	0	0	0	55	17	38	3.78	1.10	635
