All Second Basemen   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Sofa Kings,Trea Turner SS | LAD,633,129,211,133,41,6,31,95,48,109,40,8,.333,.384,.564,1
Los Cerveceros,Mookie Betts RF | LAD ,605,123,181,102,44,5,30,87,73,98,23,6,.299,.380,.537,12
EVIL EMPIRE ,Ozzie Albies 2B | ATL,604,103,163,87,40,8,28,93,45,120,20,4,.270,.322,.502,24
Sofa Kings,Marcus Semien 2B | TEX ,585,87,145,79,32,3,31,77,59,146,12,1,.248,.319,.472,36
Los Cerveceros,Whit Merrifield 2B | KC ,617,94,173,118,38,3,14,76,39,101,35,5,.280,.325,.420,39
EVIL EMPIRE ,Jose Altuve 2B | HOU,605,118,163,99,33,1,30,81,63,102,6,3,.269,.341,.476,41
Crime Pays,Brandon Lowe 2B | TB,550,92,137,72,31,1,33,92,61,155,6,1,.249,.332,.489,58
Floaters and Sinkers,Ketel Marte CF | ARI ,577,84,179,110,45,4,20,77,57,108,6,1,.310,.374,.506,59
Floaters and Sinkers,Javier Baez SS | DET ,619,89,164,104,25,4,31,98,28,217,18,5,.265,.303,.469,73
Tittys Warriors,Jorge Polanco 2B | MIN,608,96,159,95,32,2,30,98,45,128,11,6,.262,.316,.469,78
Tittys Warriors,Jonathan India 2B | CIN ,476,76,127,80,27,3,17,56,61,122,9,3,.267,.364,.443,89
Old Dirty Bugg,Max Muncy 1B | LAD ,553,109,153,77,35,3,38,110,80,120,3,1,.277,.375,.557,94
Disco Bush Horticulturists,Jazz Chisholm 2B | MIA ,512,83,140,85,26,4,25,68,43,135,24,9,.273,.336,.486,97
User Abuser,Jake Cronenworth 2B | SD ,563,88,156,89,34,8,25,74,52,105,4,2,.277,.347,.499,100
Tittys Warriors,Tommy Edman 2B | STL,589,86,165,110,38,4,13,59,39,95,25,6,.280,.329,.424,121
User Abuser,Chris Taylor CF | LAD,436,83,125,74,29,5,17,71,51,122,10,2,.287,.367,.493,124
Orange-a-Tangs,Brendan Rodgers 2B | COL ,513,66,144,93,29,5,17,63,31,112,2,0,.281,.329,.456,147
Crime Pays,Ty France 1B | SEA,493,74,148,100,30,1,17,67,43,92,1,0,.300,.377,.469,165
User Abuser,Eduardo Escobar 3B | NYM,501,72,133,81,22,5,25,82,45,110,2,0,.266,.329,.479,188
W ,Ian Happ LF | CHC ,458,62,114,67,23,2,22,62,57,128,8,3,.249,.336,.452,191
Floaters and Sinkers,DJ LeMahieu 2B | NYY ,516,77,150,112,24,3,11,55,57,74,4,0,.291,.364,.413,192
Tittys Warriors,Jean Segura 2B | PHI,598,92,174,117,33,4,20,76,48,106,10,4,.291,.353,.460,219
Disco Bush Horticulturists,Kolten Wong 2B | MIL,592,93,164,97,43,5,19,72,47,113,13,7,.277,.342,.463,220
Whiteness,Ryan McMahon 3B | COL ,546,82,145,88,34,2,21,82,56,138,7,1,.266,.338,.451,222
Sofa Kings,Gleyber Torres SS | NYY ,565,70,155,110,30,1,14,69,61,117,15,6,.274,.347,.405,225
Sofa Kings,Jonathan Schoop 1B | DET,526,74,147,101,25,2,19,68,30,112,2,0,.280,.326,.443,228
Floaters and Sinkers,Luis Urias 3B | MIL ,472,73,123,74,27,2,20,68,58,104,5,2,.261,.351,.453,230
Old Dirty Bugg,Enrique Hernandez CF | BOS ,490,73,129,74,33,3,19,60,49,103,2,1,.263,.337,.459,231
Orange-a-Tangs,Jeff McNeil 2B | NYM ,496,68,133,92,28,2,11,54,43,76,3,0,.268,.338,.399,242
W ,Josh Rojas 2B | ARI ,442,66,126,80,31,2,13,49,51,109,8,3,.285,.359,.453,313
W ,Cavan Biggio 3B | TOR,451,66,112,69,23,3,17,61,73,131,7,2,.248,.356,.426,317
W ,Wilmer Flores 3B | SF,399,61,107,64,20,2,21,57,41,67,1,0,.268,.340,.486,318
W ,Josh Harrison 2B | CHW ,445,57,129,89,28,2,10,56,31,74,8,5,.290,.352,.429,321
Shits & Giggles,Adam Frazier 2B | SEA,432,72,125,89,25,3,8,44,38,66,7,4,.289,.359,.417,325
W ,Robinson Cano 2B | NYM ,395,55,111,74,21,2,14,56,32,72,3,1,.281,.342,.451,337
W ,Gavin Lux SS | LAD ,412,64,109,75,19,4,11,56,45,87,6,2,.265,.341,.410,338
W ,Garrett Hampson CF | COL,392,57,98,65,20,3,10,36,32,93,21,9,.250,.311,.393,342
W ,Andres Gimenez SS | CLE,406,56,100,67,19,2,12,43,28,101,17,3,.246,.310,.392,345
Floaters and Sinkers,Nick Madrigal 2B | CHC ,487,62,131,89,25,6,11,54,34,83,4,1,.269,.323,.413,352
W ,Tommy La Stella 2B | SF ,420,59,110,72,19,4,15,54,42,64,2,1,.262,.333,.433,356
W ,Christian Arroyo 2B | BOS ,408,55,107,67,23,3,14,53,26,92,4,1,.262,.320,.436,358
W ,Luis Arraez 3B | MIN ,481,65,133,98,23,5,7,52,44,77,3,2,.277,.336,.389,359
W ,Nick Solak 2B | TEX ,390,55,102,69,20,2,11,49,33,86,8,3,.262,.334,.408,362
W ,Nick Senzel CF | CIN ,432,58,114,79,21,3,11,46,47,86,7,6,.264,.338,.403,367
W ,Cesar Hernandez 2B | WAS ,484,71,120,81,24,2,13,52,55,111,1,1,.248,.330,.386,368
W ,Leury Garcia RF | CHW,392,56,106,74,22,3,7,54,35,87,7,4,.270,.335,.395,369
W ,Abraham Toro-Hernandez 2B | SEA ,381,53,95,64,17,1,13,53,32,71,6,3,.249,.318,.402,374
W ,Kyle Farmer SS | CIN ,421,46,114,77,20,4,13,54,28,91,2,2,.271,.331,.430,383
Whiteness,Willi Castro 2B | DET,397,55,99,70,14,3,12,46,27,105,7,2,.249,.310,.390,384
W ,Tony Kemp 2B | OAK,482,61,120,85,23,5,7,52,56,87,8,4,.249,.332,.361,386
W ,Nico Hoerner 2B | CHC ,383,46,106,74,22,2,8,44,38,79,9,3,.277,.348,.407,389
Shits & Giggles,David Fletcher 2B | LAA,499,61,133,106,22,2,3,38,29,56,12,3,.267,.306,.337,393
Whiteness,Rougned Odor 2B | BAL,397,48,91,52,19,1,19,55,25,115,1,0,.229,.294,.426,396
W ,Alcides Escobar SS | WAS ,393,60,102,71,20,3,8,42,27,82,6,1,.260,.317,.387,397
Old Dirty Bugg,Joey Wendle 3B | MIA,388,51,105,69,24,2,10,39,23,91,6,4,.271,.322,.420,400
W ,Jurickson Profar LF | SD,377,52,97,68,19,2,8,42,39,70,9,4,.257,.336,.382,401
W ,Jonathan Villar 3B | CHC ,328,44,84,56,14,2,12,32,33,92,12,5,.256,.328,.421,402
W ,Ramon Urias SS | BAL ,383,48,101,68,21,1,11,47,36,101,3,1,.264,.337,.410,407
W ,Ha-seong Kim SS | SD,372,43,91,55,19,4,13,45,29,83,7,2,.245,.309,.422,411
W ,Hanser Alberto 3B | KC ,331,55,92,60,25,1,6,38,15,44,5,1,.278,.322,.414,412
W ,Jonathan Arauz SS | BOS,336,46,88,56,19,1,12,43,30,73,3,1,.262,.328,.431,416
W ,Niko Goodrum SS | HOU ,262,43,66,41,15,1,9,37,24,63,11,5,.252,.322,.420,421
W ,Zach McKinstry RF | LAD,263,40,71,45,15,1,10,45,21,58,5,1,.270,.327,.449,423
W ,Chad Pinder RF | OAK ,510,57,118,73,31,2,12,49,37,134,4,1,.231,.286,.371,430
Orange-a-Tangs,Jorge Mateo CF | BAL,329,40,85,57,17,1,10,36,24,79,10,4,.258,.315,.407,432
W ,Aledmys Diaz 3B | HOU,329,40,86,54,20,1,11,47,21,68,2,0,.261,.319,.429,439
W ,Keston Hiura 1B | MIL ,319,42,71,40,16,1,14,49,32,103,4,0,.223,.307,.411,441
W ,Andy Ibanez 2B | TEX ,329,45,86,55,18,2,11,38,28,63,3,1,.261,.324,.429,445
Orange-a-Tangs,Jed Lowrie 2B | OAK,393,44,94,60,21,1,12,53,40,96,1,0,.239,.311,.389,449
W ,Yonny Hernandez 3B | TEX ,319,43,80,55,16,1,8,32,35,72,11,4,.251,.335,.382,452
W ,Brad Miller 1B | TEX ,255,37,63,36,10,2,15,40,30,75,2,0,.247,.330,.478,457
W ,Kevin Newman SS | PIT,442,51,107,75,21,3,8,42,28,55,6,1,.242,.290,.357,459
W ,Cole Tucker SS | PIT,326,42,82,54,16,3,9,38,27,78,7,1,.252,.311,.402,460
W ,Jose Iglesias SS | COL ,330,43,92,62,21,2,7,38,18,56,3,1,.279,.324,.418,464
W ,Donovan Solano 2B | SF ,378,38,108,80,20,1,7,38,30,76,3,0,.286,.348,.400,468
W ,Danny Mendick 2B | CHW,330,42,90,64,16,2,8,40,30,70,2,0,.273,.342,.406,469
W ,Luis Guillorme 3B | NYM,324,42,92,68,16,1,7,32,41,62,4,3,.284,.368,.404,473
W ,Jack Mayfield 3B | LAA,264,34,67,39,16,1,11,42,21,64,4,1,.254,.316,.447,475
W ,Michael Chavis 2B | PIT,324,40,76,47,16,1,12,42,26,99,4,1,.235,.299,.401,477
W ,Edmundo Sosa SS | STL,257,39,74,53,11,2,8,29,19,51,4,3,.288,.353,.440,483
W ,Dylan Moore 2B | SEA,250,32,55,33,11,2,9,32,24,74,15,4,.220,.305,.388,484
W ,Shed Long LF | BAL ,326,40,81,52,17,2,10,38,27,83,4,1,.248,.312,.405,489
W ,Hoy Jun Park 2B | PIT ,319,41,78,50,16,3,9,37,32,78,4,2,.244,.318,.398,507
W ,Tyler Wade SS | LAA,257,35,66,47,13,1,5,20,25,59,15,6,.257,.328,.373,510
W ,Sergio Alcantara SS | CHC ,319,41,77,51,14,3,9,31,38,88,6,1,.241,.322,.389,519
W ,Jahmai Jones 2B | BAL,330,40,80,54,16,1,9,34,24,83,5,2,.242,.302,.379,525
W ,Nick Gordon CF | MIN,268,31,67,44,13,2,8,32,20,68,8,2,.250,.309,.403,533
W ,Josh VanMeter 2B | ARI,328,36,81,51,20,2,8,39,32,82,4,2,.247,.317,.393,534
W ,Johan Camargo 2B | PHI,261,37,63,37,14,1,11,34,25,64,2,0,.241,.313,.429,538
W ,Jose Peraza 2B | NYY,264,35,64,41,13,1,9,32,23,50,3,1,.242,.311,.402,560
W ,Dee Gordon 2B | WAS,263,34,66,46,13,1,6,29,24,52,5,2,.251,.323,.376,584
W ,Jon Berti 3B | MIA ,187,31,48,31,10,1,6,21,23,47,8,3,.257,.347,.417,590
W ,Luis Garcia 2B | WAS ,273,34,68,43,16,2,7,31,16,55,2,1,.249,.293,.399,600
Old Dirty Bugg,Nolan Gorman 2B | STL ,192,27,51,32,10,1,8,28,18,43,2,1,.266,.336,.453,604
W ,Ehire Adrianza RF | WAS ,260,33,68,45,14,3,6,28,27,55,2,1,.262,.337,.408,609
W ,Austin Barnes C | LAD,251,34,58,39,12,0,7,34,29,62,2,1,.231,.319,.362,620
W ,Matt Duffy 3B | LAA ,191,26,51,36,9,0,6,25,18,42,4,1,.267,.338,.408,628
W ,Donovan Walton 2B | SEA,198,26,50,32,9,2,7,26,15,45,4,1,.253,.310,.424,632
W ,Yu Chang 1B | CLE,196,28,48,29,10,1,8,30,15,53,1,0,.245,.307,.429,636
W ,Jose Devers 2B | MIA ,195,26,52,34,11,1,6,23,16,47,4,1,.267,.330,.426,642
W ,Jace Peterson 2B | MIL,190,26,46,30,9,1,6,26,25,51,5,1,.242,.333,.395,651
W ,Isaac Paredes 2B | DET,267,31,64,43,12,2,7,26,21,61,3,1,.240,.297,.378,653
W ,Sheldon Neuse 2B | OAK ,202,27,50,30,11,1,8,22,16,47,3,1,.247,.311,.431,657
W ,Max Schrock LF | CIN ,194,27,52,35,10,1,6,22,18,41,2,1,.268,.336,.423,670
W ,Nick Maton 2B | PHI,167,25,46,29,11,1,5,22,14,40,3,1,.275,.335,.443,674
W ,Jose Rojas RF | LAA,195,27,49,28,13,1,7,21,19,47,3,1,.251,.326,.436,675
W ,Trent Giambrone 2B | CHC,197,25,50,33,10,1,6,22,15,48,4,1,.254,.312,.406,680
W ,Harold Castro SS | DET,201,24,57,42,10,1,4,24,11,45,1,1,.284,.320,.403,695
W ,Alan Trejo 2B | COL,164,23,43,28,9,1,5,20,13,38,3,1,.262,.315,.421,713
W ,Diego Castillo 2B | PIT,162,21,42,28,8,1,5,19,14,39,4,1,.259,.324,.414,724
W ,Daniel Robertson 3B | MIN ,162,22,40,24,8,1,7,21,17,42,1,0,.247,.328,.438,738
W ,Owen Miller 2B | CLE ,167,23,41,27,8,1,5,20,10,41,3,1,.245,.294,.395,746
W ,Isan Diaz 3B | MIA,188,25,45,30,9,1,5,19,24,47,2,1,.239,.327,.378,768
W ,Ildemaro Vargas 3B | CHC ,133,18,34,22,8,1,3,15,12,28,2,1,.256,.315,.399,839
W ,David Bote 2B | CHC ,174,20,37,24,7,1,5,21,17,39,1,0,.213,.292,.351,844
W ,Eddy Diaz 2B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nate Mondou 2B | OAK,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Callihan 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Carlos Sepulveda 2B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alfredo Angarita 2B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Viandel Pena 2B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jake Palomaki 2B | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Edouard Julien 2B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wilmer Difo 2B | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Andrew Daniel 2B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Manny Jefferson 2B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Delvis Morales 2B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Marwin Gonzalez 2B | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Juan Perez 2B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Santana 2B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Keithron Moss 2B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jose Fernandez 2B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Yairo Munoz 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Raul Rivas 2B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Blake Barber 2B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wilfredo Tovar 2B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Michael Helman 2B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brian Burgamy 2B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Carlos Garcia 2B | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alex Blandino 1B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Yonathan Perlaza 2B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jonathan Piron 2B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Henry Castillo 2B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Rafael P Valera 2B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jayce Easley 2B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joe Panik 3B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
