All Starting Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Shohei Ohtani DH  LAA "	170	27	27	20	0	11	2	0	0	0	173	43	101	2.49	0.85	8
"Gerrit Cole SP  NYY"	207	33	33	22	3	20	8	0	0	0	245	55	165	2.87	1.06	10
"Max Scherzer SP  NYM "	190	31	31	20	1	12	7	0	0	0	197	52	164	3.36	1.14	15
"Corbin Burnes SP  MIL"	141	24	24	17	0	10	4	0	0	0	170	41	113	2.75	1.09	16
"Walker Buehler SP  LAD"	183	31	31	24	0	14	4	0	0	0	183	50	152	3.00	1.10	17
"Brandon Woodruff SP  MIL"	152	26	26	18	0	9	7	0	0	0	163	38	117	2.84	1.02	19
"Jacob deGrom SP  NYM "	187	30	30	24	1	11	6	0	0	0	210	37	128	2.41	0.88	21
"Shane Bieber SP  CLE "	181	30	30	24	0	13	9	0	0	0	198	61	172	4.42	1.29	22
"Zack Wheeler SP  PHI "	195	29	29	20	2	13	8	0	0	0	194	50	172	3.23	1.14	29
"Julio Urias SP  LAD "	170	30	30	12	0	17	3	0	0	0	172	41	145	2.96	1.09	33
"Sandy Alcantara SP  MIA "	189	30	30	23	1	10	11	0	0	0	161	56	164	3.86	1.16	34
"Robbie Ray SP  SEA "	182	30	30	20	0	12	7	0	0	0	172	54	159	3.31	1.17	42
"Lucas Giolito SP  CHW"	177	30	30	17	1	12	7	0	0	0	193	54	143	3.41	1.11	45
"Charlie Morton SP  ATL "	161	30	30	15	0	14	4	0	0	0	165	52	126	3.30	1.11	46
"Aaron Nola SP  PHI "	189	31	31	13	2	11	8	0	0	0	203	50	159	3.76	1.11	47
"Kevin Gausman SP  TOR"	172	30	30	19	0	13	6	0	0	0	186	55	141	3.09	1.14	48
"Lance Lynn SP  CHW"	177	30	30	17	1	14	6	0	0	0	184	53	144	3.20	1.11	55
"Max Fried SP  ATL"	173	30	30	21	1	14	8	0	0	0	161	53	155	3.12	1.20	56
"Logan Webb SP  SF"	169	30	30	16	0	10	6	0	0	0	165	45	149	3.14	1.15	57
"Jose Berrios SP  TOR"	184	30	30	16	1	14	7	0	0	0	186	54	159	3.57	1.16	60
"Frankie Montas SP  OAK"	172	30	30	19	0	12	9	0	0	0	172	50	151	3.30	1.17	61
"Freddy Peralta SP  MIL"	126	24	24	13	1	9	5	0	0	0	150	44	94	3.00	1.10	72
"Joe Musgrove SP  SD"	170	30	30	15	2	11	9	0	0	0	178	53	147	3.49	1.18	77
"Justin Verlander SP  HOU "	153	30	30	11	0	10	7	0	0	0	144	57	149	4.12	1.35	80
"Carlos Rodon SP  SF "	147	27	27	10	1	14	7	0	0	0	147	44	120	2.69	1.12	85
"Yu Darvish SP  SD "	183	31	31	18	0	10	12	0	0	0	199	49	164	3.84	1.16	86
"Luis Castillo SP  CIN "	182	30	30	18	0	10	12	0	0	0	165	63	158	3.21	1.21	92
"Blake Snell SP  SD"	125	26	26	6	0	9	5	0	0	0	142	53	105	4.03	1.26	93
"Dylan Cease SP  CHW"	150	29	29	10	1	13	6	0	0	0	170	59	126	3.66	1.23	111
"Alek Manoah SP  TOR"	164	29	29	18	0	11	5	0	0	0	168	58	143	3.62	1.23	114
"Shane McClanahan SP  TB"	133	27	27	7	0	13	5	0	0	0	132	40	132	3.86	1.29	115
"Pablo Lopez SP  MIA "	136	26	26	14	0	7	8	0	0	0	130	36	121	3.18	1.15	117
"Clayton Kershaw SP  LAD "	152	26	26	15	0	15	7	0	0	0	161	30	127	3.14	1.03	123
"Chris Bassitt SP  NYM "	153	26	26	16	1	11	4	0	0	0	154	43	132	3.23	1.14	128
"Trevor Rogers SP  MIA"	161	30	30	11	0	10	7	0	0	0	155	55	137	3.02	1.19	132
"Ranger Suarez RP  PHI "	162	30	30	14	2	8	6	0	0	0	149	53	145	2.61	1.22	133
"Jack Flaherty SP  STL "	123	23	23	14	0	12	6	0	0	0	114	45	97	3.66	1.15	135
"Shane Baz SP  TB"	129	27	27	7	0	10	6	0	0	0	127	40	120	3.56	1.24	136
"Adam Wainwright SP  STL"	195	30	30	22	3	14	7	0	0	0	158	58	165	3.32	1.14	138
"Framber Valdez SP  HOU"	175	30	30	18	1	14	8	0	0	0	159	64	160	3.81	1.28	141
"Tyler Mahle SP  CIN "	164	30	30	12	0	9	7	0	0	0	165	54	144	3.29	1.21	142
"Sean Manaea SP  OAK "	168	30	30	14	2	9	10	0	0	0	164	39	165	3.38	1.21	143
"Nathan Eovaldi SP  BOS "	172	30	30	12	0	9	9	0	0	0	165	42	162	3.71	1.19	144
"Marcus Stroman SP  CHC "	172	30	30	16	0	9	12	0	0	0	138	54	162	3.82	1.26	145
"Luis Garcia SP  HOU"	148	29	29	8	0	12	7	0	0	0	153	51	124	3.34	1.18	148
"Mike Clevinger SP  SD "	131	26	26	11	1	9	6	0	0	0	128	43	119	3.78	1.24	152
"Noah Syndergaard SP  LAA "	127	27	27	8	0	5	10	0	0	0	113	45	133	4.61	1.40	154
"Ian Anderson SP  ATL"	152	29	29	12	0	12	5	0	0	0	138	58	124	3.14	1.20	158
"Patrick Sandoval SP  LAA "	148	26	26	8	0	5	11	0	0	0	134	55	132	3.71	1.26	161
"Logan Gilbert SP  SEA"	140	29	29	8	0	6	8	0	0	0	137	47	135	4.44	1.30	162
"Anthony DeSclafani SP  SF"	152	29	29	14	2	10	8	0	0	0	139	43	136	3.43	1.18	167
"Zac Gallen SP  ARI "	171	30	30	14	1	7	9	0	0	0	157	57	144	3.47	1.18	168
"Sonny Gray SP  MIN "	159	30	30	12	0	9	9	0	0	0	147	44	147	3.68	1.20	169
"Chris Sale SP  BOS "	128	27	27	5	0	9	7	0	0	0	133	43	137	4.36	1.41	172
"Cal Quantrill SP  CLE"	162	29	29	16	0	12	3	0	0	0	136	45	125	2.83	1.05	176
"Aaron Civale SP  CLE"	183	30	30	15	1	15	10	0	0	0	153	52	165	3.98	1.19	177
"Kyle Hendricks SP  CHC "	183	30	30	21	1	11	9	0	0	0	130	45	175	3.79	1.20	178
"Trevor Bauer SP  LAD "	45	24	12	10	1	8	2	0	0	1	51	12	24	2.00	0.80	180
"Zack Greinke SP  KC "	165	29	29	15	1	8	6	0	0	0	119	44	159	4.04	1.23	181
"Eduardo Rodriguez SP  DET "	154	30	30	10	0	9	10	0	0	0	133	47	158	4.27	1.33	182
"Carlos Carrasco SP  NYM "	141	29	29	11	0	5	9	0	0	0	132	43	135	4.02	1.26	183
"Alex Cobb SP  SF"	158	29	29	7	0	12	7	0	0	0	139	45	139	3.02	1.16	206
"Hyun-Jin Ryu SP  TOR "	163	29	29	14	1	13	9	0	0	0	143	37	159	3.81	1.20	207
"John Means SP  BAL"	170	30	30	14	1	10	8	0	0	0	133	37	149	3.60	1.09	208
"Lance McCullers SP  HOU "	144	25	25	15	0	12	4	0	0	0	147	59	126	3.56	1.28	209
"Joe Ryan SP  MIN"	173	33	33	11	0	11	9	0	0	0	153	49	157	3.95	1.19	210
"Triston McKenzie SP  CLE"	131	26	26	11	0	8	7	0	0	0	136	49	100	4.26	1.14	214
"Jordan Montgomery SP  NYY"	155	30	30	9	0	6	6	0	0	0	156	48	149	3.89	1.27	215
"Josiah Gray SP  WAS "	157	30	30	12	0	6	6	0	0	0	141	54	142	4.13	1.25	216
"Tony Gonsolin SP  LAD"	50	25	12	1	0	4	2	0	0	0	50	22	34	3.24	1.12	217
"Jose Urquidy SP  HOU"	156	29	29	14	0	10	6	0	0	0	136	34	131	3.17	1.06	232
"Yusei Kikuchi SP  TOR "	141	26	26	13	0	9	6	0	0	0	135	51	123	3.64	1.23	254
"Jon Gray SP  TEX"	159	30	30	13	0	10	10	0	0	0	131	49	143	3.96	1.21	256
"Alex Wood SP  SF"	153	29	29	10	0	9	6	0	0	0	154	51	148	3.77	1.30	258
"Tanner Houck SP  BOS "	147	29	29	2	0	3	8	0	0	0	159	38	134	3.55	1.17	264
"Tarik Skubal SP  DET "	147	30	30	9	0	8	11	0	0	0	139	41	142	4.04	1.24	265
"German Marquez SP  COL"	186	31	31	20	2	9	15	0	0	0	160	65	183	4.40	1.33	269
"Nestor Cortes SP  NYY"	150	29	29	9	0	3	9	0	0	0	142	35	142	4.08	1.18	272
"Luis Patino SP  TB"	116	26	26	4	0	6	4	0	0	0	116	39	116	4.50	1.34	273
