All Players   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
Disco Bush Horticulturists,Shohei Ohtani DH | LAA ,159,24,24,17,0,12,6,0,0,0,210,42,110,2.49,0.96,10
W ,Gerrit Cole SP | NYY ,191,31,31,22,1,15,8,0,0,0,237,51,154,3.06,1.07,24
User Abuser,Corbin Burnes SP | MIL,177,30,30,21,0,10,7,0,0,0,213,48,143,3.25,1.08,26
W ,Max Scherzer SP | NYM ,185,30,30,21,0,14,6,0,0,0,220,37,150,2.82,1.01,30
Sofa Kings,Justin Verlander SP | NYM ,182,30,30,23,0,17,5,0,0,0,189,44,161,2.67,1.13,31
Sofa Kings,Sandy Alcantara SP | MIA,215,30,30,25,4,13,9,0,0,0,200,49,166,2.89,1.00,34
Los Cerveceros,Brandon Woodruff SP | MIL ,173,30,30,20,0,11,8,0,0,0,203,47,137,3.02,1.06,35
Old Dirty Bugg,Aaron Nola SP | PHI,196,31,31,17,1,13,9,0,0,0,220,40,170,3.40,1.07,38
Shits & Giggles,Shane McClanahan SP | TB,172,30,30,17,0,14,7,0,0,0,186,42,143,3.09,1.08,39
EVIL EMPIRE ,Edwin Diaz RP | NYM,66,68,0,0,0,2,3,39,5,3,114,21,40,2.05,0.92,40
W ,Jacob deGrom SP | TEX ,186,30,30,23,1,12,10,0,0,0,261,40,147,3.10,1.01,41
Los Cerveceros,Spencer Strider SP | ATL ,155,30,30,16,0,15,7,0,0,0,229,50,124,3.31,1.12,43
Shits & Giggles,Emmanuel Clase RP | CLE ,61,66,0,0,0,2,2,34,4,3,61,10,35,1.18,0.74,44
W ,Zack Wheeler SP | PHI,191,30,30,21,1,14,8,0,0,0,199,42,165,2.97,1.08,48
EVIL EMPIRE ,Shane Bieber SP | CLE,190,30,30,24,1,12,9,0,0,0,196,45,179,3.65,1.18,50
Los Cerveceros,Dylan Cease SP | CHW ,165,30,30,14,1,12,8,0,0,0,203,60,127,2.78,1.13,53
W ,Josh Hader RP | SD,63,68,0,0,0,2,3,35,3,3,102,24,41,3.43,1.03,54
Orange-a-Tangs,Julio Urias SP | LAD,173,30,30,17,0,17,6,0,0,0,167,42,140,2.76,1.05,56
Old Dirty Bugg,Alek Manoah SP | TOR,186,30,30,24,0,16,6,0,0,0,175,50,164,3.10,1.15,61
Old Dirty Bugg,Kevin Gausman SP | TOR ,171,30,30,18,0,12,8,0,0,0,193,38,156,3.00,1.13,62
Floaters and Sinkers,Max Fried SP | ATL ,179,30,30,22,1,14,8,0,0,0,165,46,164,2.97,1.17,63
EVIL EMPIRE ,Carlos Rodon SP | NYY ,143,24,24,13,1,14,5,0,0,0,182,44,107,2.64,1.06,68
Tittys Warriors,Luis Castillo SP | SEA ,181,30,30,21,0,13,8,0,0,0,184,49,157,2.88,1.14,69
Orange-a-Tangs,Devin Williams RP | MIL,58,64,0,0,0,2,3,37,8,3,90,28,32,2.02,1.03,70
Tittys Warriors,Jordan Romano RP | TOR,66,67,0,0,0,2,2,36,6,3,81,23,46,2.18,1.05,71
Old Dirty Bugg,Raisel Iglesias RP | ATL,62,66,0,0,0,2,2,34,7,3,81,13,48,2.47,0.98,72
Orange-a-Tangs,Cristian Javier SP | HOU,163,30,30,14,0,15,7,0,0,0,208,52,110,2.87,0.99,74
Old Dirty Bugg,Yu Darvish SP | SD ,196,31,31,24,0,15,8,0,0,0,203,47,166,3.21,1.09,76
Whiteness,Framber Valdez SP | HOU,186,30,30,24,2,16,6,0,0,0,180,63,163,3.10,1.22,78
W ,Ryan Pressly RP | HOU,61,64,0,0,0,3,2,42,4,3,74,14,36,2.07,0.82,79
Floaters and Sinkers,Zac Gallen SP | ARI ,177,30,30,18,0,10,6,0,0,0,182,52,145,3.15,1.11,80
EVIL EMPIRE ,Felix Bautista RP | BAL ,73,73,0,0,0,2,3,29,4,4,117,31,52,2.84,1.14,82
Los Cerveceros,Robbie Ray SP | SEA,180,30,30,20,0,12,9,0,0,0,204,53,163,3.15,1.20,93
User Abuser,Ryan Helsley RP | STL,76,70,0,0,0,2,3,33,7,4,106,31,43,2.60,0.97,94
User Abuser,Triston McKenzie SP | CLE ,175,30,30,18,0,10,9,0,0,0,175,50,142,3.39,1.10,95
Sofa Kings,Kenley Jansen RP | BOS ,70,74,0,0,0,2,3,28,4,3,98,29,46,2.96,1.07,97
Shits & Giggles,Camilo Doval RP | SF,65,69,0,0,0,2,2,31,5,3,78,27,51,2.63,1.20,100
Whiteness,Clayton Kershaw SP | LAD ,154,27,27,15,0,15,5,0,0,0,165,32,130,2.81,1.05,107
EVIL EMPIRE ,Nestor Cortes SP | NYY ,164,29,29,13,1,11,4,0,0,0,163,46,127,2.80,1.05,110
Tittys Warriors,Blake Snell SP | SD,153,30,30,12,0,15,6,0,0,0,196,59,132,3.47,1.25,112
Dirty Pujols,Logan Webb SP | SF ,180,30,30,19,0,13,8,0,0,0,163,47,163,3.20,1.17,114
EVIL EMPIRE ,Luis Severino SP | NYY ,157,29,29,12,0,10,5,0,0,0,168,42,134,3.38,1.12,115
User Abuser,Lance Lynn SP | CHW,173,30,30,16,0,11,9,0,0,0,177,46,160,3.75,1.19,116
W ,Joe Musgrove SP | SD ,145,24,24,17,1,8,6,0,0,0,147,40,128,2.98,1.16,117
