All Players 3 Year Averages MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Shohei Ohtani DH  LAA "	99.1	18	18	10	0	8	4	0	0	0	126	32	75	2.90	1.08	9
"Gerrit Cole SP  NYY "	151.2	25	25	16	1	12	6	0	0	0	198	36	119	3.26	1.02	16
"Corbin Burnes SP  MIL"	143.0	24	23	14	0	9	5	0	0	0	188	36	101	2.64	0.96	17
"Max Scherzer SP  NYM "	130.2	22	22	13	1	10	4	0	0	0	167	28	99	2.62	0.97	25
"Julio Urias SP  LAD"	138.2	25	24	12	0	13	3	0	0	0	135	32	108	2.66	1.01	26
"Yu Darvish SP  SD "	145.2	24	24	16	0	11	7	0	0	0	163	32	115	3.34	1.01	33
"Zack Wheeler SP  PHI"	145.2	23	23	14	1	10	6	0	0	0	154	32	120	2.84	1.04	37
"Sandy Alcantara SP  MIA"	158.2	24	24	18	2	9	9	0	0	0	149	38	127	2.72	1.04	39
"Max Fried SP  ATL "	135.2	23	23	15	1	12	5	0	0	0	126	31	112	2.65	1.05	40
"Brandon Woodruff SP  MIL "	135.1	23	23	14	0	8	6	0	0	0	164	34	102	2.86	1.00	44
"Liam Hendriks RP  CHW "	51.1	50	0	0	0	5	3	30	4	0	78	9	34	2.45	0.84	46
"Shane Bieber SP  CLE"	124.2	20	20	15	0	9	4	0	0	0	151	30	101	2.67	1.05	49
"Kevin Gausman SP  TOR "	142.0	25	25	14	0	10	6	0	0	0	170	31	129	3.17	1.13	50
"Carlos Rodon SP  NYY "	106.0	20	19	8	1	9	5	0	0	0	143	30	77	2.80	1.01	55
"Aaron Nola SP  PHI"	152.1	25	25	12	2	8	9	0	0	0	185	30	129	3.78	1.04	56
"Dylan Cease SP  CHW "	136.0	25	25	10	1	11	6	0	0	0	166	60	105	3.18	1.21	58
"Chris Bassitt SP  TOR"	134.0	23	23	13	0	11	5	0	0	0	127	35	114	3.16	1.11	63
"Clayton Kershaw SP  LAD "	102.0	18	18	10	0	9	4	0	0	0	114	17	80	2.73	0.95	65
"Framber Valdez SP  HOU"	135.2	21	21	15	1	11	5	0	0	0	132	47	113	3.05	1.18	70
"Adam Wainwright SP  STL "	154.2	25	25	15	2	11	7	0	0	0	124	40	138	3.32	1.15	79
"Kenley Jansen RP  BOS "	52.1	54	0	0	0	4	2	30	5	0	68	22	33	2.92	1.05	81
"Jacob deGrom SP  TEX "	74.2	13	13	9	0	5	3	0	0	0	117	12	42	2.05	0.72	82
"Alexis Diaz RP  CIN"	63.2	59	0	0	0	7	3	10	4	13	83	33	28	1.84	0.96	86
"Robbie Ray SP  SEA"	144.2	25	25	14	0	9	8	0	0	0	176	53	122	3.67	1.21	89
"Joe Musgrove SP  SD "	134.0	23	23	13	1	7	7	0	0	0	147	37	110	3.16	1.10	93
"Felix Bautista RP  BAL "	65.2	65	0	0	0	4	4	15	2	13	88	23	38	2.19	0.93	97
"Edwin Diaz RP  NYM"	50.0	50	0	0	0	3	3	23	4	2	86	18	32	2.34	1.00	98
"Alek Manoah SP  TOR"	102.2	17	17	12	0	8	3	0	0	0	102	30	74	2.63	1.01	105
"Cristian Javier SP  HOU"	101.1	26	15	6	0	7	4	1	1	2	126	41	64	3.02	1.04	107
"Lance Lynn SP  CHW"	121.0	21	21	11	1	8	5	0	0	0	130	30	102	3.27	1.09	110
"Zac Gallen SP  ARI "	125.2	22	22	12	0	6	5	0	0	0	138	40	95	3.15	1.07	114
"Logan Webb SP  SF "	131.2	24	23	11	0	10	5	0	0	0	122	36	121	3.28	1.19	118
"Raisel Iglesias RP  ATL"	51.2	51	0	0	0	4	5	20	4	6	71	10	38	2.61	0.93	120
"Walker Buehler SP  LAD "	103.0	18	18	10	0	8	2	0	0	0	104	27	80	2.88	1.04	121
"Jordan Romano RP  TOR"	47.1	47	0	0	0	5	2	20	3	4	60	17	31	2.09	1.01	123
"Josh Hader RP  SD"	42.2	46	0	0	0	2	3	28	2	0	71	18	25	3.16	1.01	129
"Charlie Morton SP  ATL "	132.0	24	24	9	0	8	5	0	0	0	154	44	109	3.89	1.16	130
"Emmanuel Clase RP  CLE "	47.1	49	0	0	0	2	3	22	3	2	50	9	31	1.33	0.85	131
"Shane McClanahan SP  TB"	96.2	18	18	8	0	7	5	0	0	0	112	25	79	2.89	1.08	137
"Lucas Giolito SP  CHW "	137.2	24	24	11	1	9	7	0	0	0	158	47	121	4.05	1.22	138
"Ryan Pressly RP  HOU"	44.1	46	0	0	0	3	3	24	3	0	58	11	33	2.64	0.99	141
"Luis Garcia SP  HOU"	108.1	21	19	6	0	9	6	0	0	0	111	34	90	3.49	1.14	147
"Luis Castillo SP  SEA "	136.0	23	23	14	0	7	9	0	0	0	149	48	120	3.51	1.24	150
"Triston McKenzie SP  CLE "	115.0	21	20	10	0	6	7	0	0	0	123	37	81	3.68	1.03	151
"Scott Barlow RP  KC"	59.2	57	0	0	0	5	3	14	3	9	69	20	47	2.56	1.12	157
"Devin Williams RP  MIL"	47.1	48	0	0	0	6	2	6	2	19	79	22	25	1.90	0.99	158
"Tony Gonsolin SP  LAD "	77.2	16	15	5	0	7	1	0	0	0	77	25	51	2.43	0.98	159
"Chris Flexen SP  SEA "	158.2	32	26	12	0	11	8	1	0	0	110	46	158	3.63	1.29	160
"Freddy Peralta SP  MIL"	84.0	20	15	6	0	6	3	0	1	1	109	32	53	3.21	1.01	162
"Tyler Anderson SP  LAA"	135.0	25	23	11	0	9	6	0	0	0	104	32	124	3.67	1.16	163
"Jose Berrios SP  TOR"	142.1	25	25	13	0	10	7	0	0	0	140	39	138	4.30	1.24	169
"Garrett Whitlock RP  BOS "	76.0	38	4	1	0	6	3	4	2	9	82	16	64	2.72	1.05	170
"Justin Verlander SP  NYM "	60.1	10	10	7	0	6	1	0	0	0	64	10	40	1.79	0.83	172
"Pablo Lopez SP  MIN"	113.1	21	21	9	0	7	6	0	0	0	116	32	99	3.49	1.16	176
"Daniel Bard RP  COL "	50.1	49	0	0	0	6	5	20	4	2	59	24	42	3.58	1.31	177
"Cal Quantrill SP  CLE"	122.2	30	19	10	0	8	3	0	0	1	93	34	113	3.08	1.20	179
"Merrill Kelly SP  ARI "	130.0	22	22	11	0	8	7	0	0	0	112	36	119	3.74	1.19	191
"Sonny Gray SP  MIN "	103.2	20	20	8	0	7	6	0	0	0	115	37	85	3.65	1.18	197
"Taijuan Walker SP  PHI"	123.1	23	23	9	0	8	6	0	0	0	109	40	106	3.79	1.18	201
"Tyler Mahle SP  MIN "	116.0	22	22	9	0	7	5	0	0	0	132	43	99	3.96	1.22	206
"Nestor Cortes SP  NYY "	86.1	18	14	6	0	5	3	0	0	0	91	23	65	3.02	1.02	208
"Giovanny Gallegos RP  STL"	51.1	49	0	0	0	4	4	11	5	12	63	14	34	3.16	0.94	209
"Frankie Montas SP  NYY "	128.0	23	23	11	0	7	9	0	0	0	136	41	119	3.94	1.25	211
"Blake Snell SP  SD"	102.1	21	21	6	0	6	6	0	0	0	135	46	82	3.69	1.25	214
"Lance McCullers SP  HOU "	88.1	16	16	8	0	7	3	0	0	0	97	39	68	3.16	1.21	216
"Nathan Eovaldi SP  TEX "	113.1	20	20	8	1	7	5	0	0	0	117	21	116	3.81	1.21	217
"Craig Kimbrel RP  PHI"	45.0	48	0	0	0	3	4	16	4	4	67	21	31	3.20	1.16	226
"Trevor Bauer SP  LAD "	60.1	9	9	8	1	4	3	0	0	0	79	18	37	2.24	0.91	227
