All Catchers 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"J.T. Realmuto C  PHI"	504	75	139	86	26	5	22	84	41	119	21	1	.276	.342	.478	39
"Daulton Varsho RF  TOR"	531	79	125	72	23	3	27	74	46	145	16	6	.235	.302	.443	69
"Will Smith C  LAD "	508	68	132	79	26	3	24	87	56	96	1	0	.260	.343	.465	95
"Salvador Perez C  KC"	445	48	113	66	23	1	23	76	18	109	0	0	.254	.292	.465	156
"Willson Contreras C  STL "	416	65	101	54	23	2	22	55	45	103	4	2	.243	.349	.466	163
"Alejandro Kirk C  TOR "	470	59	134	101	19	0	14	63	63	58	0	0	.285	.371	.415	169
"Sean Murphy C  ATL"	537	67	134	77	37	2	18	66	56	124	1	0	.249	.332	.426	170
"Travis d'Arnaud C  ATL"	396	61	106	62	25	1	18	60	19	90	0	0	.268	.319	.472	171
"William Contreras C  MIL "	334	51	93	58	14	1	20	45	39	104	2	0	.278	.354	.506	191
"Cal Raleigh C  SEA"	370	46	78	30	20	1	27	63	38	122	1	0	.211	.284	.489	199
"Adley Rutschman C  BAL "	398	70	101	52	35	1	13	42	65	86	4	0	.254	.362	.445	208
"MJ Melendez C  KC "	460	57	100	58	21	3	18	62	66	131	2	3	.217	.313	.394	230
"Jonah Heim C  TEX"	406	51	92	55	20	1	16	48	41	87	2	0	.227	.298	.399	271
"Christian Vazquez C  MIN"	398	41	109	77	23	0	9	52	22	69	1	4	.274	.315	.400	275
"Danny Jansen C  TOR"	215	34	56	31	10	0	15	44	25	44	1	0	.261	.339	.516	287
"Eric Haase C  DET "	323	41	82	50	17	1	14	44	24	97	0	0	.254	.305	.443	295
"Gary Sanchez C  MIN"	419	42	86	46	24	0	16	61	40	136	2	0	.205	.282	.377	309
"Christian Bethancourt C  TB"	318	39	80	52	17	0	11	34	12	80	5	1	.252	.283	.409	338
"Jose Trevino C  NYY"	335	39	83	59	12	1	11	43	15	62	2	1	.248	.283	.388	345
"Keibert Ruiz C  WAS "	394	33	99	70	22	0	7	36	30	50	6	1	.251	.312	.360	412
"Nick Fortes C  MIA"	217	41	50	34	6	1	9	24	18	45	5	3	.230	.304	.392	423
"Tyler Stephenson C  CIN"	166	24	53	38	9	0	6	35	12	47	1	0	.319	.372	.482	426
"Austin Nola C  SD "	347	40	87	68	15	0	4	40	34	60	2	1	.251	.321	.329	432
"Martin Maldonado C  HOU"	344	40	64	37	12	0	15	45	22	116	0	0	.186	.248	.352	443
"Elias Diaz C  COL "	351	29	80	51	18	2	9	51	25	82	0	1	.228	.281	.367	457
"Jorge Alfaro C  BOS"	256	25	63	42	14	0	7	40	11	98	1	0	.246	.285	.383	484
"Joey Bart C  SF"	261	34	56	39	6	0	11	25	26	112	2	1	.215	.295	.364	504
"Carson Kelly C  ARI"	317	40	67	42	18	0	7	35	29	71	2	0	.211	.282	.334	505
"Kyle Higashioka C  NYY"	229	27	52	35	7	0	10	31	12	52	0	1	.227	.264	.389	518
"Austin Barnes C  LAD"	179	31	38	24	6	0	8	26	27	37	2	1	.212	.324	.380	525
"Francisco Mejia C  TB"	289	32	70	42	22	0	6	31	7	65	0	0	.242	.264	.381	529
"Yan Gomes C  CHC"	277	23	65	45	12	0	8	31	8	47	2	0	.235	.260	.365	541
"Mitch Garver DH  TEX"	188	23	39	22	7	0	10	24	23	53	1	1	.207	.298	.404	580
"Reese McGuire C  BOS"	249	25	67	49	14	1	3	22	12	56	1	0	.269	.307	.369	590
"P.J. Higgins 1B  ARI"	201	23	46	28	11	1	6	30	22	58	0	0	.229	.310	.383	595
"Victor Caratini C  MIL"	272	26	54	33	12	0	9	34	31	67	0	0	.199	.300	.342	600
"Tomas Nido C  NYM"	284	31	68	50	15	0	3	28	14	76	0	0	.239	.276	.324	608
"Garrett Stubbs C  PHI "	106	19	28	18	4	1	5	16	14	30	2	0	.264	.350	.462	631
"Ryan Jeffers C  MIN"	212	25	44	26	10	1	7	27	23	62	0	0	.207	.285	.363	635
"Seby Zavala C  CHW "	178	22	48	32	14	0	2	21	19	64	0	0	.270	.346	.382	657
"Jacob Stallings C  MIA"	346	25	77	61	12	0	4	34	29	83	0	1	.223	.292	.292	668
"Max Stassi C  LAA"	333	32	60	38	12	1	9	30	38	112	0	0	.180	.267	.303	689
"Andrew Knizner C  STL "	260	28	56	42	10	0	4	25	26	62	0	1	.215	.301	.300	691
"Shea Langeliers DH  OAK "	142	14	31	14	10	1	6	22	9	53	0	0	.218	.261	.430	710
"Austin Wynns C  SF"	162	14	42	32	7	0	3	21	10	38	0	0	.259	.312	.358	720
"Yadier Molina C  STL"	262	19	56	43	8	0	5	24	5	40	2	0	.214	.233	.301	721
"Curt Casali C  CIN "	148	20	30	21	4	0	5	17	24	50	0	0	.203	.318	.331	758
"Stephen Vogt DH  OAK"	168	18	27	15	4	1	7	23	17	46	1	0	.161	.241	.321	763
"Austin Hedges C  PIT"	294	26	48	37	4	0	7	30	25	78	2	0	.163	.241	.248	766
"James McCann C  BAL"	174	19	34	25	6	0	3	18	11	46	3	0	.195	.257	.282	780
"Brian Serven C  COL"	187	19	38	27	4	1	6	16	13	44	0	0	.203	.261	.332	786
"Luke Maile C  CIN "	181	19	40	27	10	0	3	17	19	54	0	0	.221	.301	.326	800
"Omar Narvaez C  NYM"	262	21	54	37	12	1	4	23	29	57	0	0	.206	.291	.305	804
"Cooper Hummel LF  SEA "	176	20	31	17	8	3	3	17	23	64	4	1	.176	.274	.307	808
"Sam Huff C  TEX "	121	9	29	21	4	0	4	10	11	42	1	0	.240	.303	.372	851
"Yasmani Grandal C  CHW"	327	15	66	54	7	0	5	27	45	79	1	0	.202	.300	.269	854
"Luis Torrens C  CHC "	151	13	34	29	2	0	3	15	12	50	0	0	.225	.283	.298	855
"Gabriel Moreno C  ARI"	69	10	22	20	1	0	1	7	4	8	0	0	.319	.356	.377	870
"Michael Perez C  NYM"	121	10	18	12	0	0	6	14	10	32	1	0	.149	.214	.297	907
"Robinson Chirinos C  BAL"	195	10	35	22	9	0	4	22	19	67	1	0	.179	.265	.287	920
"Matt Thaiss C  LAA"	69	9	15	12	1	0	2	8	11	24	1	0	.217	.321	.319	922
"Kevin Plawecki C  PIT"	168	15	37	28	8	0	1	13	14	32	0	0	.220	.286	.286	926
