All Outfielders 2022  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Sofa Kings,Aaron Judge CF | NYY ,570,133,177,87,28,0,62,131,111,175,16,3,.310,.425,.686,1
Los Cerveceros,Mookie Betts RF | LAD ,572,117,154,76,40,3,35,82,55,104,12,2,.269,.340,.533,9
Old Dirty Bugg,Yordan Alvarez DH | HOU ,470,95,144,76,29,2,37,97,78,106,1,1,.306,.406,.613,10
EVIL EMPIRE ,Kyle Tucker RF | HOU,544,71,140,81,28,1,30,107,59,95,25,4,.257,.330,.478,14
User Abuser,Adolis Garcia RF | TEX ,605,88,151,85,34,5,27,101,40,183,25,6,.250,.300,.456,16
EVIL EMPIRE ,Julio Rodriguez CF | SEA,511,84,145,89,25,3,28,75,40,145,25,7,.284,.345,.509,17
Disco Bush Horticulturists,Kyle Schwarber LF | PHI,577,100,126,56,21,3,46,94,86,200,10,1,.218,.323,.504,20
Disco Bush Horticulturists,Randy Arozarena LF | TB,586,72,154,90,41,3,20,89,46,156,32,12,.263,.327,.445,32
W ,Mike Trout CF | LAA,438,85,124,54,28,2,40,80,54,139,1,0,.283,.369,.630,33
Whiteness,Cedric Mullins CF | BAL,608,89,157,105,32,4,16,64,47,126,34,10,.258,.318,.403,41
W ,George Springer CF | TOR ,513,89,137,86,22,4,25,76,54,100,14,2,.267,.342,.472,45
Los Cerveceros,Michael Harris CF | ATL ,414,75,123,74,27,3,19,64,21,107,20,2,.297,.339,.514,56
User Abuser,Amed Rosario SS | CLE,637,86,180,134,26,9,11,71,25,111,18,4,.283,.312,.404,67
Dirty Pujols,Starling Marte RF | NYM ,466,76,136,91,24,5,16,63,26,97,18,9,.292,.346,.468,68
Old Dirty Bugg,Daulton Varsho RF | TOR,531,79,125,72,23,3,27,74,46,145,16,6,.235,.302,.443,69
Orange-a-Tangs,Anthony Santander RF | BAL ,574,78,138,81,24,0,33,89,55,122,0,2,.240,.318,.455,71
Orange-a-Tangs,Ronald Acuna RF | ATL,467,71,124,85,24,0,15,50,53,126,29,11,.266,.351,.413,76
Sofa Kings,Christian Yelich LF | MIL,575,99,145,102,25,4,14,57,88,162,19,3,.252,.355,.383,79
Disco Bush Horticulturists,Teoscar Hernandez RF | SEA,499,71,133,72,35,1,25,77,34,152,6,3,.267,.316,.491,80
Shits & Giggles,Steven Kwan LF | CLE ,563,89,168,130,25,7,6,52,62,60,19,5,.298,.373,.400,82
EVIL EMPIRE ,Juan Soto RF | SD ,524,93,127,73,25,2,27,62,135,96,6,2,.242,.401,.452,84
User Abuser,Brandon Nimmo CF | NYM ,580,102,159,106,30,7,16,64,71,116,3,2,.274,.367,.433,86
Los Cerveceros,Bryan Reynolds CF | PIT ,542,74,142,92,19,4,27,62,56,141,7,3,.262,.345,.461,89
Dirty Pujols,Taylor Ward RF | LAA,495,73,139,92,22,2,23,65,60,120,5,3,.281,.360,.473,90
Tittys Warriors,Thairo Estrada 2B | SF,488,71,127,88,23,2,14,62,33,89,21,6,.260,.322,.402,94
Orange-a-Tangs,Ian Happ LF | CHC ,573,72,155,94,42,2,17,72,58,149,9,4,.271,.342,.440,97
EVIL EMPIRE ,Jeff McNeil 2B | NYM,533,73,174,125,39,1,9,62,40,61,4,0,.327,.382,.454,98
W ,Bryce Harper DH | PHI ,370,63,106,59,28,1,18,65,46,87,11,4,.286,.364,.513,99
Sofa Kings,Hunter Renfroe RF | LAA,474,62,121,68,23,1,29,72,39,121,1,1,.255,.315,.492,112
W ,Joc Pederson LF | SF,380,57,104,59,19,3,23,70,42,100,3,2,.274,.353,.521,119
Old Dirty Bugg,Tommy Pham LF | NYM,554,89,131,90,23,1,17,63,56,167,8,3,.236,.312,.374,127
W ,Seth Brown LF | OAK ,500,55,115,61,26,3,25,73,51,146,11,2,.230,.304,.444,129
W ,Alex Verdugo LF | BOS,593,75,166,115,39,1,11,74,42,86,1,3,.280,.328,.405,130
Floaters and Sinkers,Charlie Blackmon DH | COL ,530,60,140,96,22,6,16,78,32,109,4,1,.264,.314,.419,135
Tittys Warriors,Randal Grichuk RF | COL ,506,60,131,88,21,3,19,73,24,127,4,0,.259,.299,.425,136
Shits & Giggles,Josh Naylor 1B | CLE,449,47,115,67,28,0,20,79,38,80,6,1,.256,.319,.452,139
Shits & Giggles,Whit Merrifield 2B | TOR ,504,70,126,86,28,1,11,58,38,85,16,5,.250,.298,.375,140
Orange-a-Tangs,Andrew Vaughn RF | CHW ,510,60,138,92,28,1,17,76,31,96,0,0,.271,.321,.429,142
Floaters and Sinkers,Cody Bellinger CF | CHC,504,70,106,57,27,3,19,68,38,150,14,3,.210,.266,.389,143
W ,Giancarlo Stanton DH | NYY ,398,53,84,46,7,0,31,78,50,137,0,0,.211,.297,.462,144
Floaters and Sinkers,Byron Buxton CF | MIN ,340,61,76,32,13,3,28,51,34,116,6,0,.224,.306,.526,146
Dirty Pujols,Jake McCarthy RF | ARI,321,53,91,64,16,3,8,43,23,76,23,3,.283,.342,.427,147
User Abuser,Patrick Wisdom 3B | CHC ,469,67,97,44,28,0,25,66,53,183,8,4,.207,.298,.426,148
W ,Andrew McCutchen DH | PIT ,515,66,122,80,25,0,17,69,57,124,8,6,.237,.316,.385,152
EVIL EMPIRE ,Luis Robert CF | CHW,380,54,108,78,18,0,12,56,17,77,11,3,.284,.319,.426,154
Floaters and Sinkers,Jurickson Profar LF | SD ,575,82,140,87,36,2,15,58,73,103,5,1,.243,.331,.391,162
W ,Mark Canha LF | NYM,462,71,123,86,24,0,13,61,48,97,3,1,.266,.367,.403,164
W ,Jon Berti 2B | MIA,358,47,86,62,17,3,4,28,42,89,41,5,.240,.324,.338,172
Orange-a-Tangs,Nick Castellanos RF | PHI,524,56,138,98,27,0,13,62,29,130,7,1,.263,.305,.389,177
Floaters and Sinkers,Tyler O'Neill LF | STL,334,56,76,50,11,1,14,58,38,103,14,4,.228,.308,.392,178
