All Second Basemen 2022  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Los Cerveceros,Mookie Betts RF | LAD ,572,117,154,76,40,3,35,82,55,104,12,2,.269,.340,.533,9
Whiteness,Jose Altuve 2B | HOU,527,103,158,91,39,0,28,57,66,87,18,1,.300,.387,.533,19
Sofa Kings,Marcus Semien 2B | TEX ,657,101,163,101,31,5,26,83,53,120,25,8,.248,.304,.429,25
Tittys Warriors,Tommy Edman 2B | STL,577,95,153,105,31,4,13,57,46,111,32,3,.265,.324,.400,47
Sofa Kings,Brandon Drury 3B | LAA,518,87,136,75,31,2,28,87,38,126,2,3,.263,.320,.492,60
EVIL EMPIRE ,Andres Gimenez 2B | CLE,491,66,146,100,26,3,17,69,34,112,20,3,.297,.371,.466,63
Sofa Kings,Gleyber Torres 2B | NYY,526,73,135,82,28,1,24,76,39,129,10,5,.257,.310,.451,77
Tittys Warriors,Thairo Estrada 2B | SF,488,71,127,88,23,2,14,62,33,89,21,6,.260,.322,.402,94
EVIL EMPIRE ,Jeff McNeil 2B | NYM,533,73,174,125,39,1,9,62,40,61,4,0,.327,.382,.454,98
Dirty Pujols,Luis Arraez 1B | MIA,547,88,173,133,31,1,8,49,50,43,4,4,.316,.375,.420,108
User Abuser,Jake Cronenworth 2B | SD,587,88,140,89,30,4,17,88,70,131,3,0,.238,.332,.390,109
Orange-a-Tangs,Josh Rojas 3B | ARI ,443,66,119,84,25,1,9,56,55,98,23,3,.269,.348,.391,114
Whiteness,Ryan McMahon 3B | COL,529,67,130,84,23,3,20,67,60,158,7,3,.246,.327,.414,134
Shits & Giggles,Whit Merrifield 2B | TOR ,504,70,126,86,28,1,11,58,38,85,16,5,.250,.298,.375,140
W ,Kolten Wong 2B | SEA ,430,65,108,65,24,4,15,47,46,88,17,6,.251,.339,.430,141
Disco Bush Horticulturists,Trevor Story 2B | BOS ,357,53,85,47,22,0,16,66,32,122,13,0,.238,.303,.434,153
W ,Jon Berti 2B | MIA,358,47,86,62,17,3,4,28,42,89,41,5,.240,.324,.338,172
Orange-a-Tangs,Brendan Rodgers 2B | COL ,527,72,140,94,30,3,13,63,46,101,0,0,.266,.325,.408,173
Old Dirty Bugg,Wilmer Flores 2B | SF,525,72,120,72,28,1,19,71,59,103,0,0,.229,.316,.394,176
Floaters and Sinkers,DJ LeMahieu 3B | NYY,467,74,122,92,18,0,12,46,67,71,4,3,.261,.357,.377,192
Orange-a-Tangs,Luis Rengifo 2B | LAA ,489,45,129,86,22,4,17,52,17,79,6,2,.264,.294,.429,197
Old Dirty Bugg,Max Muncy 3B | LAD,464,69,91,47,22,1,21,69,90,141,2,0,.196,.329,.384,198
W ,Christopher Morel CF | CHC,379,55,89,50,19,4,16,47,38,137,10,7,.235,.308,.433,203
W ,Gavin Lux 2B | LAD ,421,66,116,83,20,7,6,42,47,95,7,2,.276,.346,.399,215
Floaters and Sinkers,Ketel Marte 2B | ARI,492,68,118,62,42,2,12,52,55,101,5,1,.240,.321,.406,217
Disco Bush Horticulturists,Jazz Chisholm 2B | MIA,213,39,54,26,10,4,14,45,21,66,12,5,.254,.325,.535,220
W ,Bryson Stott SS | PHI,427,58,100,69,19,2,10,49,36,89,12,4,.234,.295,.358,224
W ,Jorge Polanco 2B | MIN ,375,54,88,56,16,0,16,56,64,95,3,3,.235,.346,.405,225
Tittys Warriors,Jean Segura 2B | MIA,354,45,98,79,9,0,10,33,25,58,13,6,.277,.336,.387,229
W ,Brendan Donovan RF | STL,391,64,110,83,21,1,5,45,60,70,2,3,.281,.394,.379,238
W ,Nick Gordon LF | MIN ,405,45,110,69,28,4,9,50,19,105,6,4,.272,.316,.427,241
W ,Ramon Urias 3B | BAL,403,50,100,66,17,1,16,51,30,98,1,0,.248,.305,.414,244
W ,Santiago Espinal 2B | TOR ,449,51,120,88,25,0,7,51,36,68,6,6,.267,.322,.370,245
W ,Tony Kemp 2B | OAK,497,61,117,84,24,2,7,46,45,69,11,1,.235,.307,.334,253
Floaters and Sinkers,Luis Urias 3B | MIL,406,54,97,63,17,1,16,47,50,99,1,2,.239,.335,.404,254
W ,Dylan Moore RF | SEA ,205,41,46,27,11,2,6,24,34,75,21,8,.224,.368,.385,285
W ,Isaac Paredes 3B | TB,331,48,68,32,16,0,20,45,44,67,0,1,.205,.304,.435,290
W ,Adam Frazier 2B | BAL ,541,61,129,100,22,4,3,42,46,73,11,6,.238,.301,.310,294
W ,Rougned Odor 2B | SD,426,49,88,53,19,3,13,53,32,109,6,1,.207,.275,.357,300
Tittys Warriors,Jonathan India 2B | CIN ,386,48,96,68,16,2,10,41,31,94,3,4,.249,.327,.378,312
User Abuser,Chris Taylor LF | LAD,402,45,89,51,25,3,10,43,44,160,10,1,.221,.304,.373,316
W ,Cesar Hernandez 2B | DET,560,64,139,106,28,4,1,34,45,114,10,4,.248,.311,.318,326
W ,Owen Miller 1B | MIL ,424,53,103,70,26,1,6,51,32,93,2,0,.243,.301,.351,329
W ,Willi Castro RF | MIN,365,47,88,60,18,2,8,31,15,82,9,4,.241,.284,.367,335
W ,Michael Chavis 1B | WAS,401,39,92,59,16,3,14,49,19,126,1,1,.229,.265,.389,347
W ,Harold Castro 1B | COL,420,37,114,84,21,2,7,47,17,79,0,1,.271,.300,.381,354
W ,Christian Arroyo 2B | BOS,280,32,80,57,16,1,6,36,13,49,5,1,.286,.322,.414,364
W ,Luis Garcia SS | WAS,360,29,99,67,23,2,7,45,11,84,3,4,.275,.295,.408,365
Old Dirty Bugg,Nolan Gorman 2B | STL,283,44,64,37,13,0,14,35,28,103,1,0,.226,.300,.420,367
W ,Keston Hiura 1B | MIL,234,34,53,30,8,1,14,32,23,111,5,2,.227,.316,.449,371
W ,Aledmys Diaz LF | OAK,305,35,74,49,13,0,12,38,18,53,1,1,.243,.287,.403,395
W ,Josh Harrison 2B | PHI,386,50,99,71,19,2,7,27,21,71,2,1,.257,.317,.370,401
Shits & Giggles,Ozzie Albies 2B | ATL ,247,36,61,37,16,0,8,35,16,47,3,5,.247,.294,.409,413
W ,Joey Wendle 3B | MIA,347,27,90,62,24,1,3,32,15,50,12,3,.259,.297,.360,418
W ,Enrique Hernandez CF | BOS,361,48,80,50,24,0,6,45,34,71,0,2,.222,.291,.338,438
W ,Jonathan Schoop 2B | DET,481,48,97,62,23,1,11,38,19,107,5,0,.202,.239,.322,453
W ,Kevin Newman 2B | CIN,288,31,79,57,18,2,2,24,16,48,8,2,.274,.316,.371,464
W ,Rodolfo Castro 2B | PIT,253,25,59,36,8,4,11,27,22,74,5,3,.233,.299,.427,469
Whiteness,Nicky Lopez 2B | KC,436,51,99,83,12,4,0,20,29,63,13,3,.227,.281,.273,478
W ,Taylor Walls SS | TB ,407,53,70,42,18,2,8,33,52,120,10,3,.172,.268,.285,482
User Abuser,Vaughn Grissom 2B | ATL,141,24,41,30,6,0,5,18,11,34,5,2,.291,.353,.440,511
W ,Orlando Arcia 2B | ATL,209,25,51,33,9,0,9,30,21,51,0,0,.244,.316,.416,513
Los Cerveceros,C.J. Abrams SS | WAS,284,33,70,54,12,2,2,21,5,50,7,4,.246,.280,.324,531
W ,Matt Reynolds 2B | CIN,244,31,60,46,10,1,3,23,26,78,5,0,.246,.320,.332,540
W ,Diego Castillo SS | ARI,262,28,54,30,13,0,11,29,14,75,1,1,.206,.251,.382,545
W ,Cavan Biggio 2B | TOR ,257,43,52,27,18,1,6,24,38,85,2,0,.202,.318,.350,549
W ,Abraham Toro-Hernandez 2B | MIL,324,36,60,36,13,1,10,35,22,65,2,0,.185,.239,.324,551
Dirty Pujols,Brandon Lowe 2B | TB ,235,31,52,32,10,2,8,25,27,61,1,0,.221,.308,.383,555
W ,Ezequiel Duran 3B | TEX,208,25,49,33,10,1,5,25,12,54,4,1,.236,.277,.365,560
W ,Donovan Solano 1B | MIN,278,22,79,59,16,0,4,24,19,61,0,0,.284,.339,.385,563
W ,Garrett Hampson CF | MIA,199,29,42,30,7,3,2,15,21,63,12,2,.211,.287,.306,571
W ,Luis Guillorme 2B | NYM,297,33,81,66,12,1,2,17,34,46,1,0,.273,.351,.340,576
W ,David Villar 3B | SF ,156,21,36,20,6,1,9,24,18,58,0,1,.231,.332,.455,577
W ,Sergio Alcantara 3B | CHC ,205,26,45,30,8,1,6,29,12,57,1,2,.220,.261,.356,583
W ,Sheldon Neuse 3B | OAK,271,25,58,48,4,2,4,26,20,80,6,1,.214,.273,.288,616
W ,Mauricio Dubon CF | HOU,243,31,52,38,9,0,5,24,13,30,2,3,.214,.252,.313,618
W ,Mark Mathias DH | TEX ,81,13,20,11,3,0,6,20,9,30,3,0,.247,.319,.506,625
W ,Danny Mendick SS | NYM ,97,22,28,20,4,1,3,15,7,23,1,0,.289,.343,.443,643
W ,Jonathan Villar 2B | LAA,202,25,42,31,6,2,3,18,15,59,7,0,.208,.260,.302,645
W ,Luke Williams 3B | LAD,127,21,30,23,5,1,1,6,9,44,11,4,.236,.287,.315,647
W ,Zach McKinstry 3B | CHC ,166,21,33,19,6,3,5,14,16,52,7,0,.199,.273,.361,658
W ,Charles Leblanc 2B | MIA,156,18,41,27,10,0,4,11,12,53,4,2,.263,.320,.404,661
W ,Leury Garcia 2B | CHW,300,38,63,52,8,0,3,20,7,65,2,0,.210,.233,.267,670
W ,Alan Trejo SS | COL,118,15,32,22,6,0,4,17,5,31,1,2,.271,.312,.424,682
W ,Michael Massey 2B | KC ,173,16,42,28,9,1,4,17,9,46,3,0,.243,.307,.376,693
W ,Nick Allen SS | OAK ,299,31,62,45,13,0,4,19,19,64,3,2,.207,.256,.291,701
W ,Tyler Wade 2B | OAK,147,22,32,26,5,0,1,8,10,33,8,5,.218,.272,.272,709
W ,Nick Maton RF | DET ,72,13,18,10,2,1,5,17,10,29,0,0,.250,.341,.514,711
W ,David Fletcher 2B | LAA,216,20,55,43,9,1,2,17,7,16,1,0,.255,.288,.333,719
W ,Charlie Culberson 3B | TB,115,19,29,21,6,0,2,12,5,31,2,3,.252,.283,.356,733
W ,David Bote 2B | CHC,116,15,30,18,8,0,4,12,6,45,1,0,.259,.315,.431,737
W ,Alejo Lopez 2B | CIN,145,15,38,31,5,1,1,10,9,21,3,1,.262,.314,.331,783
W ,Yu Chang 2B | BOS,168,19,35,25,6,0,4,15,16,59,0,1,.208,.289,.316,820
W ,Matt Duffy 3B | KC,228,14,57,47,8,0,2,16,17,50,0,0,.250,.308,.311,829
W ,Nick Madrigal 2B | CHC,209,19,52,45,7,0,0,7,14,27,3,1,.249,.305,.282,839
W ,Hanser Alberto 2B | CHW,156,13,38,25,9,2,2,15,3,25,0,1,.244,.258,.365,840
W ,Terrin Vavra 2B | BAL ,89,14,23,19,2,1,1,12,12,19,0,1,.258,.340,.337,844
W ,Tucupita Marcano LF | PIT,160,18,33,23,6,2,2,13,10,44,2,1,.206,.256,.306,847
W ,Romy Gonzalez 2B | CHW,105,15,25,18,4,1,2,11,2,39,0,1,.238,.257,.352,849
W ,Josh VanMeter 2B | MIL ,171,15,32,22,5,2,3,14,19,45,4,0,.187,.266,.292,856
W ,Vidal Brujan 2B | TB,147,13,24,16,5,0,3,16,12,37,5,5,.163,.228,.259,858
W ,Kody Clemens 3B | PHI,117,13,17,8,4,0,5,17,8,33,1,0,.145,.197,.308,873
W ,Johan Camargo SS | KC,152,8,36,30,3,0,3,15,13,37,0,0,.237,.297,.316,886
W ,Yairo Munoz 2B | ARI,57,7,12,7,2,0,3,7,3,10,1,0,.210,.250,.404,924
W ,Buddy Kennedy 2B | ARI,83,10,18,13,2,2,1,12,8,23,0,0,.217,.287,.325,941
W ,David Hensley 2B | HOU,29,7,10,6,2,1,1,5,5,6,0,0,.345,.441,.586,950
W ,Spencer Steer 3B | CIN,95,12,20,13,5,0,2,8,11,26,0,1,.210,.306,.326,956
W ,Hoy Jun Park 2B | ATL,51,7,11,7,2,0,2,6,4,15,1,0,.216,.276,.372,964
W ,Andrelton Simmons SS | CHC,75,8,13,12,1,0,0,7,7,13,4,0,.173,.244,.187,1005
W ,Jonah Bride 2B | OAK ,162,17,33,28,4,0,1,6,19,32,1,0,.204,.301,.247,1028
W ,Jonathan Aranda 2B | TB,78,10,15,9,4,0,2,6,8,23,0,0,.192,.276,.321,1038
W ,Willians Astudillo 3B | MIA,54,5,13,12,0,0,1,4,1,3,1,0,.241,.255,.296,1055
W ,Jack Mayfield 2B | LAA,70,8,13,10,1,1,1,6,3,17,1,0,.186,.230,.271,1080
W ,Richie Martin 2B | CIN,30,4,5,3,0,2,0,3,3,10,3,1,.167,.242,.300,1106
W ,Esteban Quiroz 2B | CHC,40,3,11,11,0,0,0,3,4,9,1,1,.275,.370,.275,1125
W ,Otto Lopez 2B | TOR ,9,0,6,6,0,0,0,3,1,1,0,1,.667,.700,.667,1138
W ,Donovan Walton 2B | SF,76,9,12,3,8,0,1,8,1,16,0,0,.158,.179,.303,1147
W ,Ford Proctor 2B | SF,18,3,2,1,0,0,1,6,2,3,0,0,.111,.182,.278,1151
W ,Jermaine Palacios SS | DET,70,8,10,8,0,0,2,6,4,27,0,0,.143,.184,.229,1161
W ,Joe Dunand 2B | ATL,10,2,3,1,1,0,1,1,0,3,0,0,.300,.364,.700,1169
W ,Ernie Clement 3B | OAK ,163,19,30,26,4,0,0,6,11,26,0,1,.184,.243,.209,1176
W ,Jake Hager 2B | ARI,50,4,12,10,2,0,0,3,8,17,0,0,.240,.345,.280,1197
W ,Ehire Adrianza 3B | ATL,97,8,17,14,3,0,0,7,11,25,1,0,.175,.264,.206,1210
W ,Jeter Downs 2B | WAS,39,4,6,4,1,0,1,4,1,21,0,0,.154,.171,.256,1218
W ,Jordan Diaz 2B | OAK ,49,3,13,10,3,0,0,1,2,7,0,0,.265,.294,.327,1223
W ,Miles Mastrobuoni 2B | CHC,16,1,3,3,0,0,0,0,1,6,1,0,.188,.235,.188,1387
W ,Jose Devers 2B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1425
W ,Stefen Romero 2B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1425
W ,Jahmai Jones 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1425
W ,Jorbit Vivas 2B | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1425
W ,Scott Kingery 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1425
W ,Nate Mondou 2B | CHW,2,0,0,0,0,0,0,0,1,1,0,0,.000,.333,.000,1499
W ,Michael Stefanic 2B | LAA ,61,5,12,10,2,0,0,0,5,12,0,0,.197,.279,.230,1504
W ,Lenyn Sosa 2B | CHW ,35,3,4,2,1,0,1,1,1,12,0,0,.114,.139,.229,1505
W ,Cole Tucker RF | COL,63,3,11,9,1,1,0,2,0,25,1,0,.175,.175,.222,1512
W ,Christian Lopes 2B | OAK,9,0,0,0,0,0,0,0,1,5,0,0,.000,.100,.000,1568
W ,Matthew Batten 3B | SD ,19,0,2,1,1,0,0,1,2,6,0,0,.105,.227,.158,1569
W ,Niko Goodrum 2B | BOS,43,2,5,3,2,0,0,1,2,23,1,0,.116,.156,.163,1578
W ,Chris Owings 2B | PIT,56,6,6,4,2,0,0,0,10,24,1,0,.107,.254,.143,1583
W ,Phil Gosselin 3B | LAA,74,6,11,10,0,1,0,2,2,24,0,0,.149,.182,.176,1584
W ,Robinson Cano 2B | ATL,100,5,15,13,1,0,1,4,4,25,0,0,.150,.183,.190,1590
W ,Yolmer Sanchez 2B | ATL,37,1,4,4,0,0,0,2,5,13,0,2,.108,.214,.108,1593
W ,Diosbel Arias 2B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Mac Seibert 2B | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joe Sever 2B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Angelys Nina 2B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
