All Shortstops 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Trea Turner SS  PHI"	652	101	194	130	39	4	21	100	45	131	27	3	.297	.343	.466	6
"Francisco Lindor SS  NYM"	630	98	170	114	25	5	26	107	59	133	16	6	.270	.339	.449	12
"Dansby Swanson SS  CHC"	640	99	177	119	32	1	25	96	49	182	18	7	.277	.329	.447	13
"Bo Bichette SS  TOR"	652	91	189	121	43	1	24	93	41	155	13	8	.290	.333	.469	23
"Marcus Semien 2B  TEX "	657	101	163	101	31	5	26	83	53	120	25	8	.248	.304	.429	25
"Bobby Witt SS  KC"	591	82	150	93	31	6	20	80	30	135	30	7	.254	.294	.428	36
"Tommy Edman 2B  STL"	577	95	153	105	31	4	13	57	46	111	32	3	.265	.324	.400	47
"Willy Adames SS  MIL"	563	83	134	72	31	0	31	98	49	166	8	3	.238	.298	.458	48
"Corey Seager SS  TEX "	593	91	145	87	24	1	33	83	58	103	3	0	.244	.317	.455	59
"Andres Gimenez 2B  CLE"	491	66	146	100	26	3	17	69	34	112	20	3	.297	.371	.466	63
"Xander Bogaerts SS  SD"	557	84	171	118	38	0	15	73	57	118	8	2	.307	.377	.456	64
"Amed Rosario SS  CLE"	637	86	180	134	26	9	11	71	25	111	18	4	.283	.312	.404	67
"Gleyber Torres 2B  NYY"	526	73	135	82	28	1	24	76	39	129	10	5	.257	.310	.451	77
"Thairo Estrada 2B  SF"	488	71	127	88	23	2	14	62	33	89	21	6	.260	.322	.402	94
"Jeremy Pena SS  HOU "	521	72	132	88	20	2	22	63	22	135	11	2	.253	.289	.426	103
"Carlos Correa SS  MIN "	522	70	152	105	24	1	22	64	61	121	0	1	.291	.366	.467	104
"Jake Cronenworth 2B  SD"	587	88	140	89	30	4	17	88	70	131	3	0	.238	.332	.390	109
"Jorge Mateo SS  BAL"	494	63	109	64	25	7	13	50	27	147	35	9	.221	.267	.379	117
"Elvis Andrus SS  CHW"	535	66	133	84	32	0	17	58	39	92	18	4	.249	.303	.404	120
