All Starting Pitchers 2022  Season MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Justin Verlander SP  NYM "	175.0	28	28	21	0	18	4	0	0	0	185	29	116	1.75	0.83	4
"Sandy Alcantara SP  MIA"	228.2	32	32	24	6	14	9	0	0	0	207	50	174	2.28	0.98	11
"Shohei Ohtani DH  LAA "	166.0	28	28	16	0	15	9	0	0	0	219	44	124	2.33	1.01	15
"Alek Manoah SP  TOR"	196.2	31	31	25	0	16	7	0	0	0	180	51	144	2.24	0.99	18
"Julio Urias SP  LAD"	175.0	31	31	19	0	17	7	0	0	0	166	41	127	2.16	0.96	21
"Corbin Burnes SP  MIL"	202.0	33	33	21	0	12	8	0	0	0	243	51	144	2.94	0.97	26
"Dylan Cease SP  CHW "	184.0	32	32	16	1	14	8	0	0	0	227	78	126	2.20	1.11	28
"Yu Darvish SP  SD "	194.2	30	30	25	0	16	8	0	0	0	197	37	148	3.10	0.95	29
"Carlos Rodon SP  NYY "	178.0	31	31	16	1	14	8	0	0	0	237	52	131	2.88	1.03	30
"Zac Gallen SP  ARI "	184.0	31	31	19	0	12	4	0	0	0	192	47	121	2.54	0.91	34
"Gerrit Cole SP  NYY "	200.2	33	33	21	0	13	8	0	0	0	257	50	154	3.50	1.02	35
"Aaron Nola SP  PHI"	205.0	32	32	18	2	11	13	0	0	0	235	29	168	3.25	0.96	37
"Shane McClanahan SP  TB"	166.1	28	28	18	0	12	8	0	0	0	194	38	116	2.54	0.93	38
"Max Fried SP  ATL "	185.1	30	30	21	0	14	7	0	0	0	170	32	156	2.48	1.01	42
"Framber Valdez SP  HOU"	201.1	31	31	26	3	17	6	0	0	0	194	67	166	2.82	1.16	43
"Kyle Wright SP  ATL "	180.1	30	30	19	0	21	5	0	0	0	174	53	156	3.19	1.16	44
"Shane Bieber SP  CLE"	200.0	31	31	23	1	13	8	0	0	0	198	36	172	2.88	1.04	46
"Tony Gonsolin SP  LAD "	130.1	24	24	11	0	16	1	0	0	0	119	35	79	2.14	0.87	49
"Triston McKenzie SP  CLE "	191.1	31	30	18	0	11	11	0	0	0	190	44	138	2.96	0.95	52
"Nestor Cortes SP  NYY "	158.1	28	28	13	1	12	4	0	0	0	163	38	108	2.44	0.92	53
"Cristian Javier SP  HOU"	148.2	30	25	11	0	11	9	0	0	1	194	52	89	2.54	0.95	54
"Max Scherzer SP  NYM "	145.1	23	23	16	0	11	5	0	0	0	173	24	108	2.29	0.91	55
"Tyler Anderson SP  LAA"	178.2	30	28	18	0	15	5	0	0	0	138	34	145	2.57	1.00	58
"Spencer Strider SP  ATL "	131.2	31	20	10	0	11	5	0	1	2	202	45	86	2.67	0.99	65
"Brandon Woodruff SP  MIL "	153.1	27	27	15	0	13	4	0	0	0	190	42	122	3.05	1.07	70
"Logan Webb SP  SF "	192.1	32	32	19	0	15	9	0	0	0	163	49	174	2.90	1.16	72
"Clayton Kershaw SP  LAD "	126.1	22	22	12	0	12	3	0	0	0	137	23	96	2.28	0.94	78
"Zack Wheeler SP  PHI"	153.0	26	26	16	0	12	7	0	0	0	163	34	125	2.82	1.04	83
"Joe Musgrove SP  SD "	181.0	30	30	21	0	10	7	0	0	0	184	42	154	2.93	1.08	88
"Miles Mikolas SP  STL "	202.1	33	32	22	1	12	13	0	0	0	153	39	170	3.29	1.03	91
"Chris Bassitt SP  TOR"	181.2	30	30	19	0	15	9	0	0	0	167	49	159	3.42	1.15	93
"Merrill Kelly SP  ARI "	200.1	33	33	18	0	13	8	0	0	0	177	61	167	3.37	1.14	96
"Logan Gilbert SP  SEA "	185.2	32	32	16	0	13	6	0	0	0	174	49	170	3.20	1.18	101
"Robbie Ray SP  SEA"	189.0	32	32	18	0	12	12	0	0	0	212	62	163	3.71	1.19	110
"Kevin Gausman SP  TOR "	174.2	31	31	17	0	12	10	0	0	0	205	28	188	3.35	1.24	111
"Luis Garcia SP  HOU"	157.1	28	28	10	0	15	8	0	0	0	157	47	131	3.72	1.13	113
"Martin Perez SP  TEX "	196.1	32	32	23	1	12	8	0	0	0	169	69	178	2.89	1.26	121
"Drew Rasmussen SP  TB"	146.0	28	28	9	0	11	7	0	0	0	125	31	121	2.84	1.04	124
"Jeffrey Springs SP  TB"	135.1	33	25	6	0	9	5	0	0	0	144	31	114	2.46	1.07	125
"Joe Ryan SP  MIN"	147.0	27	27	11	0	13	8	0	0	0	151	47	115	3.55	1.10	126
"Luis Castillo SP  SEA "	150.1	25	25	17	0	8	6	0	0	0	167	45	118	2.99	1.08	132
"Jameson Taillon SP  CHC"	177.1	32	32	12	0	14	5	0	0	0	151	32	168	3.91	1.13	133
"Cal Quantrill SP  CLE"	186.1	32	32	17	0	15	5	0	0	0	128	47	178	3.38	1.21	137
"Jordan Montgomery SP  STL"	178.1	32	32	14	1	9	6	0	0	0	158	36	159	3.48	1.09	145
"Brady Singer SP  KC"	153.1	27	24	14	0	10	5	0	0	0	150	35	140	3.23	1.14	149
"Ross Stripling SP  SF "	134.1	32	24	10	0	10	4	1	0	0	111	20	117	3.02	1.02	150
"Pablo Lopez SP  MIN"	180.0	32	32	14	0	10	10	0	0	0	174	53	157	3.75	1.17	160
"Taijuan Walker SP  PHI"	157.1	29	29	13	0	12	5	0	0	0	132	45	143	3.49	1.19	175
"Jose Urquidy SP  HOU"	164.1	29	28	15	0	13	8	0	0	0	134	38	154	3.94	1.17	179
"Eric Lauer SP  MIL"	158.2	29	29	13	0	11	7	0	0	0	157	59	135	3.69	1.22	181
"Carlos Carrasco SP  NYM "	152.0	29	29	11	0	15	7	0	0	0	152	41	161	3.97	1.33	182
"Blake Snell SP  SD"	128.0	24	24	11	0	8	10	0	0	0	171	51	103	3.38	1.20	184
"Michael Wacha SP  SD "	127.1	23	23	9	1	11	2	0	0	0	104	31	111	3.32	1.12	193
"Charlie Morton SP  ATL "	172.0	31	31	9	0	9	6	0	0	0	205	63	149	4.34	1.23	194
"Sonny Gray SP  MIN "	119.2	24	24	9	0	8	5	0	0	0	117	36	99	3.08	1.13	211
"Luis Severino SP  NYY "	102.0	19	19	8	0	7	3	0	0	0	112	30	72	3.18	1.00	214
"Jose Quintana SP  NYM "	165.2	32	32	9	0	6	7	0	0	0	137	47	154	2.93	1.21	221
"Adam Wainwright SP  STL "	191.2	32	32	16	1	11	12	0	0	0	143	54	192	3.71	1.28	222
"George Kirby SP  SEA "	130.0	25	25	11	0	8	5	0	0	0	133	22	135	3.39	1.21	228
"Cole Irvin SP  BAL"	181.0	30	30	15	0	9	13	0	0	0	128	36	174	3.98	1.16	237
"Jacob deGrom SP  TEX "	64.1	11	11	7	0	5	4	0	0	0	102	8	40	3.08	0.75	240
"Patrick Sandoval SP  LAA"	148.2	27	27	11	1	6	9	0	0	0	151	60	139	2.91	1.34	248
"Jon Gray SP  TEX "	127.1	24	24	8	0	7	7	0	0	0	134	39	105	3.96	1.13	250
"Lance Lynn SP  CHW"	121.2	21	21	11	0	8	7	0	0	0	124	19	119	3.99	1.13	252
"Corey Kluber SP  BOS "	164.0	31	31	15	0	10	10	0	0	0	139	21	178	4.33	1.21	255
"Tarik Skubal SP  DET "	117.2	21	21	10	0	7	8	0	0	0	117	32	104	3.52	1.16	259
"Keegan Thompson SP  CHC "	115.0	29	17	4	0	10	5	1	1	0	108	43	103	3.76	1.27	265
"Ranger Suarez SP  PHI "	155.1	29	29	11	0	10	7	0	0	0	129	58	149	3.65	1.33	266
"Marcus Stroman SP  CHC"	138.2	25	25	12	0	6	7	0	0	0	119	36	123	3.50	1.15	267
"Jesus Luzardo SP  MIA "	100.1	18	18	11	0	4	7	0	0	0	120	35	69	3.32	1.04	268
"Johnny Cueto SP  MIA"	158.1	25	24	18	1	8	10	0	1	0	102	33	161	3.35	1.23	273
"Alex Cobb SP  SF "	149.2	28	28	10	0	7	8	0	0	0	151	43	152	3.73	1.30	277
"Reid Detmers SP  LAA"	129.0	25	25	7	1	7	6	0	0	0	122	46	110	3.77	1.21	283
"Garrett Whitlock RP  BOS "	78.1	31	9	2	0	4	2	6	2	4	82	15	65	3.45	1.02	305
"Hunter Greene SP  CIN "	125.2	24	24	9	1	5	13	0	0	0	164	48	104	4.44	1.21	307
"Dean Kremer SP  BAL"	125.1	22	21	8	1	8	7	0	0	0	87	34	123	3.23	1.25	314
"Noah Syndergaard SP  LAD "	134.2	25	24	9	1	10	10	0	0	0	95	31	138	3.94	1.25	315
"Andrew Heaney SP  TEX "	72.2	16	14	2	0	4	4	0	0	0	110	19	60	3.10	1.09	318
"Nick Pivetta SP  BOS "	179.2	33	33	12	1	10	12	0	0	0	175	73	175	4.56	1.38	320
"Jordan Lyles SP  KC "	179.0	32	32	13	1	12	11	0	0	0	144	52	196	4.42	1.39	324
"Drew Smyly SP  CHC "	106.1	22	22	5	0	7	8	0	0	0	91	26	101	3.47	1.19	332
"Edward Cabrera SP  MIA"	71.2	14	14	3	0	6	4	0	0	0	75	33	44	3.01	1.07	336
"Jose Suarez SP  LAA"	109.0	22	20	4	0	8	8	0	0	0	103	33	103	3.96	1.25	339
"David Peterson SP  NYM "	105.2	28	19	4	0	7	5	0	1	1	126	48	93	3.83	1.33	344
"Lucas Giolito SP  CHW "	161.2	30	30	11	0	11	9	0	0	0	177	61	171	4.90	1.44	346
"Frankie Montas SP  NYY "	144.1	27	27	10	0	5	12	0	0	0	142	43	137	4.05	1.25	356
"Michael Kopech SP  CHW "	119.1	25	25	8	0	5	9	0	0	0	105	57	85	3.54	1.19	358
"Nick Martinez RP  SD"	106.1	47	10	2	0	4	4	8	1	8	95	41	96	3.47	1.29	362
"Nick Lodolo SP  CIN "	103.1	19	19	8	0	4	7	0	0	0	131	39	90	3.66	1.25	366
"Chris Flexen SP  SEA "	137.2	33	22	9	0	8	9	2	0	0	95	51	132	3.73	1.33	380
"Tyler Mahle SP  MIN "	120.2	23	23	10	0	6	8	0	0	0	126	43	104	4.40	1.22	385
"Justin Steele SP  CHC"	119.0	24	24	8	0	4	7	0	0	0	126	50	111	3.18	1.35	389
"Nathan Eovaldi SP  TEX "	109.1	20	20	8	2	6	3	0	0	0	103	20	115	3.87	1.23	391
"Freddy Peralta SP  MIL"	78.0	18	17	4	0	4	4	0	1	0	86	27	54	3.58	1.04	392
"Sean Manaea SP  SF"	158.0	30	28	16	0	8	9	0	0	0	156	50	155	4.96	1.30	397
"Rich Hill SP  PIT "	124.1	26	26	6	0	8	7	0	0	0	109	37	125	4.27	1.30	403
"Alex Wood SP  SF"	130.2	26	26	6	0	8	12	0	0	0	131	30	132	5.10	1.24	405
"Marco Gonzales SP  SEA"	183.0	32	32	18	0	10	15	0	0	0	103	50	194	4.13	1.33	408
"Tyler Wells SP  BAL"	103.2	23	23	5	0	7	7	0	0	0	76	28	90	4.25	1.14	415
"Mike Clevinger SP  CHW "	114.1	23	22	6	0	7	7	0	0	0	91	35	102	4.33	1.20	417
"Kyle Gibson SP  BAL"	167.2	31	31	15	0	10	8	0	0	0	144	48	176	5.05	1.34	419
"Michael Lorenzen SP  DET"	97.2	18	18	8	0	8	6	0	0	0	85	44	81	4.24	1.28	427
"Jose Berrios SP  TOR"	172.0	32	32	17	0	12	7	0	0	0	149	45	199	5.23	1.42	441
"Paul Blackburn SP  OAK "	111.1	21	21	4	0	7	6	0	0	0	89	30	110	4.28	1.26	446
"Bailey Falter SP  PHI "	84.0	20	16	6	0	6	4	0	0	0	74	17	85	3.86	1.21	448
"Matt Bush RP  MIL "	59.2	65	6	0	0	2	3	3	7	18	74	18	43	3.47	1.02	454
"Adrian Sampson SP  CHC "	104.1	21	19	7	0	4	5	0	0	0	73	27	101	3.10	1.23	458
"Trevor Williams RP  WAS"	89.2	30	9	1	0	3	5	1	1	1	84	23	87	3.21	1.23	461
"Mitch Keller SP  PIT"	159.0	31	29	13	0	5	12	0	0	0	138	60	162	3.91	1.40	466
"Josiah Gray SP  WAS "	148.2	28	28	9	0	7	10	0	0	0	154	66	136	5.03	1.36	470
"Roansy Contreras SP  PIT"	95.0	21	18	3	0	5	5	0	0	0	86	39	82	3.79	1.27	472
"German Marquez SP  COL"	181.2	31	31	17	0	9	13	0	0	0	150	63	185	5.00	1.37	475
"Kyle Freeland SP  COL"	174.2	31	31	13	0	9	11	0	0	0	131	53	193	4.53	1.41	479
"Jalen Beeks RP  TB"	61.0	42	7	0	0	2	3	2	4	5	70	22	49	2.80	1.16	480
"John Brebbia RP  SF"	68.0	76	11	0	0	6	2	0	4	18	54	18	71	3.18	1.31	493
"Braxton Garrett SP  MIA"	88.0	17	17	5	0	3	7	0	0	0	90	24	86	3.58	1.25	497
"Andre Pallante RP  STL "	108.0	47	10	3	0	6	5	0	1	9	73	40	113	3.17	1.42	500
"Aaron Civale SP  CLE"	97.0	20	20	5	0	5	6	0	0	0	98	22	93	4.92	1.19	501
"Lance McCullers SP  HOU "	47.2	8	8	5	0	4	2	0	0	0	50	22	37	2.27	1.24	508
"Glenn Otto SP  TEX"	135.2	27	27	8	0	7	10	0	0	0	107	62	119	4.64	1.33	514
"Matt Wisler RP  DET"	44.0	39	5	0	0	3	3	1	3	7	35	14	30	2.25	1.00	517
"Dylan Bundy SP  MIN"	140.0	29	29	2	0	8	8	0	0	0	94	28	151	4.89	1.28	519
"Jake Junis SP  SF"	112.0	23	17	4	0	5	7	0	0	0	98	25	120	4.42	1.29	524
"Walker Buehler SP  LAD "	65.0	12	12	3	1	6	3	0	0	0	58	17	67	4.01	1.29	527
"Jake Odorizzi SP  TEX "	106.1	22	22	5	0	6	6	0	0	0	86	35	106	4.40	1.33	535
"Zach Eflin SP  TB"	75.2	20	13	4	0	3	5	1	0	2	65	15	70	4.04	1.12	536
"JP Sears SP  OAK "	70.0	17	11	2	0	6	3	0	0	0	51	23	67	3.86	1.29	538
"Hayden Wesneski SP  CHC "	33.0	6	4	3	0	3	2	0	0	0	33	7	24	2.18	0.94	553
"Ian Anderson SP  ATL "	111.2	22	22	6	0	10	6	0	0	0	97	54	115	5.00	1.51	554
"Johan Oviedo RP  PIT "	56.0	21	8	2	0	4	3	0	1	0	54	23	49	3.21	1.29	556
"Bailey Ober SP  MIN "	56.0	11	11	2	0	2	3	0	0	0	51	11	48	3.21	1.05	561
"James Kaprielian SP  OAK "	134.0	26	26	7	0	5	9	0	0	0	98	59	121	4.23	1.34	564
"Eduardo Rodriguez SP  DET"	91.0	17	17	10	0	5	5	0	0	0	72	34	87	4.05	1.33	570
"Devin Smeltzer SP  MIA"	70.1	15	12	6	0	5	2	0	1	0	40	19	67	3.71	1.22	575
"Yusei Kikuchi SP  TOR "	100.2	32	20	3	0	6	7	1	1	0	124	58	93	5.18	1.50	579
"Austin Voth RP  BAL"	101.2	41	17	2	0	5	4	0	0	1	90	31	111	4.34	1.40	591
"Domingo German SP  NYY "	72.1	15	14	5	0	2	5	0	0	0	58	19	65	3.61	1.16	596
"Zack Greinke SP  KC"	137.0	26	26	9	0	4	9	0	0	0	73	27	157	3.68	1.34	609
"Zach Davies SP  ARI "	134.1	27	27	4	0	2	5	0	0	0	102	52	122	4.09	1.30	611
"Rony Garcia SP  DET "	51.0	16	8	1	0	3	3	0	0	0	48	13	40	4.41	1.04	612
"Aaron Ashby SP  MIL "	107.1	27	19	3	0	2	10	1	0	1	126	47	106	4.44	1.43	620
"Dane Dunning SP  TEX "	153.1	29	29	10	0	4	8	0	0	0	137	62	158	4.46	1.43	622
"Drey Jameson SP  ARI "	24.1	4	4	3	0	3	0	0	0	0	24	7	20	1.48	1.11	623
"Steven Matz SP  STL "	48.0	15	10	2	0	5	3	0	0	2	54	10	50	5.25	1.25	627
"Zach Plesac SP  CLE"	131.2	25	24	11	0	3	12	0	0	0	100	38	136	4.31	1.32	630
"Matt Manning SP  DET "	63.0	12	12	6	0	2	3	0	0	0	48	19	55	3.43	1.17	633
"Dakota Hudson SP  STL "	139.2	27	26	8	0	8	7	0	0	0	78	61	141	4.45	1.45	649
