All Third Basemen 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Jose Ramirez 3B  CLE"	601	90	168	90	44	5	29	126	69	82	20	7	.280	.355	.514	5
"Manny Machado 3B  SD"	578	100	172	102	37	1	32	102	63	133	9	1	.298	.366	.531	8
"Austin Riley 3B  ATL"	615	90	168	89	39	2	38	93	57	168	2	0	.273	.349	.528	27
"Nolan Arenado 3B  STL"	557	73	163	90	42	1	30	103	52	72	5	3	.293	.358	.533	31
"Bobby Witt SS  KC"	591	82	150	93	31	6	20	80	30	135	30	7	.254	.294	.428	36
"Rafael Devers 3B  BOS"	555	84	164	94	42	1	27	88	50	114	3	1	.295	.358	.521	40
"Tommy Edman 2B  STL"	577	95	153	105	31	4	13	57	46	111	32	3	.265	.324	.400	47
"Brandon Drury 3B  LAA"	518	87	136	75	31	2	28	87	38	126	2	3	.263	.320	.492	60
"Alex Bregman 3B  HOU"	548	93	142	81	38	0	23	93	87	77	1	2	.259	.366	.454	66
"Eugenio Suarez 3B  SEA "	543	76	128	71	24	2	31	87	73	196	0	0	.236	.332	.459	87
"Ty France 1B  SEA "	551	65	152	104	27	1	20	84	35	94	0	0	.276	.340	.437	105
"Matt Chapman 3B  TOR"	538	83	123	68	27	1	27	76	68	170	2	2	.229	.324	.433	107
"Luis Arraez 1B  MIA"	547	88	173	133	31	1	8	49	50	43	4	4	.316	.375	.420	108
"Josh Rojas 3B  ARI "	443	66	119	84	25	1	9	56	55	98	23	3	.269	.348	.391	114
"Alec Bohm 3B  PHI"	586	79	164	124	24	3	13	72	31	110	2	3	.280	.315	.398	116
"Justin Turner 3B  BOS "	468	61	130	81	36	0	13	81	50	89	3	0	.278	.350	.438	131
"Ryan McMahon 3B  COL"	529	67	130	84	23	3	20	67	60	158	7	3	.246	.327	.414	134
"Patrick Wisdom 3B  CHC "	469	67	97	44	28	0	25	66	53	183	8	4	.207	.298	.426	148
"Yandy Diaz 3B  TB "	473	71	140	98	33	0	9	57	78	60	3	3	.296	.401	.423	151
"Gio Urshela 3B  LAA"	501	61	143	100	27	3	13	64	41	96	1	0	.285	.338	.429	161
"Isiah Kiner-Falefa SS  NYY"	483	66	126	102	20	0	4	48	35	72	22	4	.261	.314	.327	165
"Kyle Farmer SS  MIN"	526	58	134	94	25	1	14	78	33	99	4	3	.255	.315	.386	168
"Jon Berti 2B  MIA"	358	47	86	62	17	3	4	28	42	89	41	5	.240	.324	.338	172
"Wilmer Flores 2B  SF"	525	72	120	72	28	1	19	71	59	103	0	0	.229	.316	.394	176
"Ha-seong Kim SS  SD"	517	58	130	87	29	3	11	59	51	100	12	2	.252	.325	.383	183
"Eduardo Escobar 3B  NYM"	495	58	119	69	26	4	20	69	40	129	0	2	.240	.295	.430	186
"DJ LeMahieu 3B  NYY"	467	74	122	92	18	0	12	46	67	71	4	3	.261	.357	.377	192
"Luis Rengifo 2B  LAA "	489	45	129	86	22	4	17	52	17	79	6	2	.264	.294	.429	197
"Max Muncy 3B  LAD"	464	69	91	47	22	1	21	69	90	141	2	0	.196	.329	.384	198
"Jose Miranda 1B  MIN "	444	45	119	79	25	0	15	66	28	91	1	1	.268	.325	.426	200
"Christopher Morel CF  CHC"	379	55	89	50	19	4	16	47	38	137	10	7	.235	.308	.433	203
"Ke'Bryan Hayes 3B  PIT "	505	55	123	89	24	3	7	41	48	122	20	5	.244	.314	.345	218
"Brendan Donovan RF  STL"	391	64	110	83	21	1	5	45	60	70	2	3	.281	.394	.379	238
"Josh Donaldson 3B  NYY"	478	59	106	63	28	0	15	62	54	148	2	2	.222	.308	.374	239
"Ramon Urias 3B  BAL"	403	50	100	66	17	1	16	51	30	98	1	0	.248	.305	.414	244
"Santiago Espinal 2B  TOR "	449	51	120	88	25	0	7	51	36	68	6	6	.267	.322	.370	245
"Luis Urias 3B  MIL"	406	54	97	63	17	1	16	47	50	99	1	2	.239	.335	.404	254
"Isaac Paredes 3B  TB"	331	48	68	32	16	0	20	45	44	67	0	1	.205	.304	.435	290
"Jace Peterson 3B  OAK"	288	44	68	44	14	2	8	34	33	85	12	1	.236	.316	.382	297
"Hunter Dozier RF  KC"	462	51	109	67	26	4	12	41	34	125	4	3	.236	.292	.387	306
"Cesar Hernandez 2B  DET"	560	64	139	106	28	4	1	34	45	114	10	4	.248	.311	.318	326
"Willi Castro RF  MIN"	365	47	88	60	18	2	8	31	15	82	9	4	.241	.284	.367	335
"J.D. Davis DH  SF"	318	46	79	50	16	1	12	35	39	122	1	1	.248	.340	.418	337
"Michael Chavis 1B  WAS"	401	39	92	59	16	3	14	49	19	126	1	1	.229	.265	.389	347
"Emmanuel Rivera 3B  ARI"	330	46	77	46	16	3	12	40	23	83	1	2	.233	.292	.409	353
"Harold Castro 1B  COL"	420	37	114	84	21	2	7	47	17	79	0	1	.271	.300	.381	354
"Jeimer Candelario 3B  WAS "	429	49	93	59	19	2	13	50	28	109	0	1	.217	.272	.361	361
"Christian Arroyo 2B  BOS"	280	32	80	57	16	1	6	36	13	49	5	1	.286	.322	.414	364
"Evan Longoria 3B  ARI"	266	31	65	38	13	0	14	42	27	83	0	0	.244	.315	.451	374
"Chad Pinder LF  CIN"	361	38	85	55	18	0	12	42	14	118	2	0	.235	.263	.385	375
"Yoan Moncada 3B  CHW"	397	41	84	53	18	1	12	51	32	114	2	0	.212	.273	.353	390
"Aledmys Diaz LF  OAK"	305	35	74	49	13	0	12	38	18	53	1	1	.243	.287	.403	395
"Matt Vierling CF  DET "	325	41	80	60	12	2	6	32	23	70	7	4	.246	.297	.351	398
"Josh Harrison 2B  PHI"	386	50	99	71	19	2	7	27	21	71	2	1	.257	.317	.370	401
"Bobby Dalbec 1B  BOS"	317	40	68	45	9	2	12	39	29	118	3	0	.214	.283	.369	404
"Joey Wendle 3B  MIA"	347	27	90	62	24	1	3	32	15	50	12	3	.259	.297	.360	418
"Geraldo Perdomo SS  ARI"	431	58	84	67	10	2	5	40	50	103	9	2	.195	.285	.262	422
"Juan Yepez LF  STL"	253	27	64	39	13	0	12	30	16	61	0	0	.253	.296	.447	459
"Rodolfo Castro 2B  PIT"	253	25	59	36	8	4	11	27	22	74	5	3	.233	.299	.427	469
"Nicky Lopez 2B  KC"	436	51	99	83	12	4	0	20	29	63	13	3	.227	.281	.273	478
"Taylor Walls SS  TB "	407	53	70	42	18	2	8	33	52	120	10	3	.172	.268	.285	482
"Maikel Franco 3B  WAS"	371	31	85	61	15	0	9	39	12	75	1	0	.229	.255	.342	494
"Brian Anderson 3B  MIL"	338	43	75	50	16	1	8	28	37	101	1	0	.222	.311	.346	503
"Matt Reynolds 2B  CIN"	244	31	60	46	10	1	3	23	26	78	5	0	.246	.320	.332	540
"Abraham Toro-Hernandez 2B  MIL"	324	36	60	36	13	1	10	35	22	65	2	0	.185	.239	.324	551
"Ezequiel Duran 3B  TEX"	208	25	49	33	10	1	5	25	12	54	4	1	.236	.277	.365	560
"Donovan Solano 1B  MIN"	278	22	79	59	16	0	4	24	19	61	0	0	.284	.339	.385	563
"Jake Burger 3B  CHW"	168	20	42	24	9	1	8	26	10	56	0	0	.250	.302	.458	566
"Garrett Hampson CF  MIA"	199	29	42	30	7	3	2	15	21	63	12	2	.211	.287	.306	571
"Brad Miller LF  TEX"	222	20	47	37	3	0	7	32	18	70	4	2	.212	.270	.320	572
"Luis Guillorme 2B  NYM"	297	33	81	66	12	1	2	17	34	46	1	0	.273	.351	.340	576
"David Villar 3B  SF "	156	21	36	20	6	1	9	24	18	58	0	1	.231	.332	.455	577
"Mike Moustakas DH  COL "	252	30	54	35	12	0	7	25	24	75	2	0	.214	.295	.345	581
"Sergio Alcantara 3B  CHC "	205	26	45	30	8	1	6	29	12	57	1	2	.220	.261	.356	583
"Ildemaro Vargas 3B  WAS"	209	19	55	37	13	1	4	23	8	23	3	1	.263	.299	.392	589
"Edmundo Sosa SS  PHI "	176	26	40	23	11	4	2	21	5	50	6	1	.227	.275	.369	604
"Nathan Eaton RF  KC"	106	16	28	20	4	3	1	12	10	30	11	1	.264	.331	.387	605
"Mike Brosseau 3B  MIL "	141	15	36	25	5	0	6	23	14	48	2	0	.255	.344	.418	610
"Sheldon Neuse 3B  OAK"	271	25	58	48	4	2	4	26	20	80	6	1	.214	.273	.288	616
"Jonathan Villar 2B  LAA"	202	25	42	31	6	2	3	18	15	59	7	0	.208	.260	.302	645
"Luke Williams 3B  LAD"	127	21	30	23	5	1	1	6	9	44	11	4	.236	.287	.315	647
"Zach McKinstry 3B  CHC "	166	21	33	19	6	3	5	14	16	52	7	0	.199	.273	.361	658
"Elehuris Montero 3B  COL "	176	21	41	19	15	1	6	20	8	60	0	0	.233	.270	.432	660
"Charles Leblanc 2B  MIA"	156	18	41	27	10	0	4	11	12	53	4	2	.263	.320	.404	661
"Anthony Rendon 3B  LAA"	166	15	38	23	10	0	5	24	23	35	2	0	.229	.326	.380	669
"Leury Garcia 2B  CHW"	300	38	63	52	8	0	3	20	7	65	2	0	.210	.233	.267	670
