All Players   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Spencer Strider SP  ATL "	170	30	30	18	0	16	7	0	0	0	247	54	144	3.81	1.16	10
"Shohei Ohtani DH  LAD "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	13
"Gerrit Cole SP  NYY "	196	31	31	24	1	13	6	0	0	0	215	49	151	2.85	1.02	18
"Corbin Burnes SP  BAL "	179	30	30	20	0	10	7	0	0	0	186	46	158	3.17	1.14	26
"Kevin Gausman SP  TOR"	177	30	30	20	0	12	8	0	0	0	213	44	157	3.10	1.14	29
"Zack Wheeler SP  PHI "	182	30	30	22	0	14	6	0	0	0	194	39	162	3.56	1.10	30
"Luis Castillo SP  SEA"	182	30	30	20	0	16	7	0	0	0	194	49	160	3.46	1.15	34
"Zac Gallen SP  ARI "	181	29	29	18	1	13	7	0	0	0	177	46	158	3.33	1.13	36
"Pablo Lopez SP  MIN "	176	30	30	19	1	11	8	0	0	0	190	43	160	3.27	1.15	37
"Yoshinobu Yamamoto SP  LAD "	175	30	30	18	0	13	6	0	0	0	203	60	152	3.55	1.21	40
"Tarik Skubal SP  DET "	167	30	30	13	0	13	7	0	0	0	183	42	144	3.18	1.11	44
"Tyler Glasnow SP  LAD "	164	30	30	13	0	18	6	0	0	0	210	54	159	4.06	1.30	47
"Framber Valdez SP  HOU"	181	29	29	21	2	15	7	0	0	0	178	58	155	3.18	1.18	49
"Freddy Peralta SP  MIL"	164	30	30	15	0	11	9	0	0	0	194	53	127	3.35	1.10	50
"Logan Webb SP  SF"	194	30	30	22	1	13	9	0	0	0	171	43	179	3.39	1.14	51
"George Kirby SP  SEA"	174	30	30	19	1	12	8	0	0	0	160	28	172	3.47	1.15	53
"Edwin Diaz RP  NYM "	70	69	0	0	0	2	3	30	3	3	137	22	41	1.29	0.90	57
"Josh Hader RP  HOU "	56	64	0	0	0	3	1	43	6	3	83	26	34	2.25	1.07	59
"Devin Williams RP  MIL"	58	67	0	0	0	2	3	35	4	3	92	31	29	2.02	1.03	60
"Max Fried SP  ATL"	173	30	30	19	1	14	5	0	0	0	165	45	164	3.12	1.21	63
"Aaron Nola SP  PHI"	179	29	29	16	1	12	9	0	0	0	186	41	164	3.92	1.15	64
"Emmanuel Clase RP  CLE"	60	65	0	0	0	2	2	35	7	3	54	11	47	2.40	0.97	65
"Blake Snell SP  SD"	173	31	31	18	0	14	9	0	0	2	217	85	115	2.50	1.16	69
"Jhoan Duran RP  MIN"	66	66	0	0	0	2	2	35	5	3	88	22	48	2.18	1.06	70
"Logan Gilbert SP  SEA"	171	29	29	17	1	12	6	0	0	0	162	39	155	3.68	1.13	71
"Raisel Iglesias RP  ATL"	65	72	0	0	0	2	2	37	5	3	82	17	57	2.91	1.14	72
"Camilo Doval RP  SF"	49	53	0	0	0	1	2	24	4	2	66	21	41	3.12	1.27	73
"Cole Ragans RP  KC"	178	30	30	14	0	9	6	0	0	0	189	57	146	3.13	1.14	78
"Jesus Luzardo SP  MIA"	166	29	29	17	0	8	10	0	0	0	187	49	140	3.47	1.14	80
"David Bednar RP  PIT "	58	53	0	0	0	2	2	31	3	3	78	20	50	2.48	1.21	81
"Zach Eflin SP  TB"	168	30	30	16	0	13	10	0	0	0	165	32	151	3.75	1.09	84
"Bobby Miller SP  LAD"	154	29	29	12	0	15	6	0	0	0	151	41	139	3.80	1.17	86
"Eury Perez SP  MIA "	150	30	30	10	0	9	8	0	0	0	172	45	128	3.66	1.15	87
"Jordan Romano RP  TOR"	65	66	0	0	0	2	2	32	5	3	79	25	51	2.63	1.17	88
"Grayson Rodriguez SP  BAL"	156	29	29	9	0	8	6	0	0	0	161	44	149	3.58	1.24	89
"Alexis Diaz RP  CIN"	62	71	0	0	0	2	2	28	3	3	94	39	43	3.19	1.32	94
"Joe Musgrove SP  SD "	177	30	30	22	0	13	7	0	0	0	174	48	162	3.15	1.19	98
"Tanner Bibee SP  CLE"	167	29	29	14	0	12	5	0	0	0	163	51	159	3.50	1.26	99
"Kodai Senga SP  NYM "	175	30	30	18	0	12	7	0	0	0	204	67	147	3.45	1.22	102
"Andres Munoz RP  SEA"	63	67	0	0	0	2	3	28	8	3	89	23	48	2.86	1.13	105
"Dylan Cease SP  CHW "	167	30	30	13	0	7	9	0	0	0	195	65	144	3.72	1.25	106
"Paul Sewald RP  ARI"	58	65	0	0	0	2	2	29	5	3	79	21	43	3.57	1.10	107
"Pete Fairbanks RP  TB"	62	70	0	0	0	2	2	35	5	3	94	24	35	2.32	0.95	114
"Ryan Helsley RP  STL"	68	66	0	0	0	2	3	29	9	3	114	32	40	1.98	1.06	116
"Sonny Gray SP  STL "	167	30	30	15	0	9	7	0	0	0	159	50	154	3.07	1.22	117
"Justin Verlander SP  HOU "	179	30	30	19	0	18	6	0	0	0	171	50	152	2.11	1.13	118
"Merrill Kelly SP  ARI "	177	29	29	18	0	13	7	0	0	0	171	55	155	3.31	1.19	124
"Justin Steele SP  CHC"	168	30	30	17	0	13	6	0	0	0	166	41	163	3.32	1.21	125
"Joe Ryan SP  MIN"	161	29	29	14	1	13	8	0	0	0	180	39	151	3.86	1.18	126
"Craig Kimbrel RP  BAL"	60	66	0	0	0	2	2	31	7	3	74	26	41	3.30	1.12	127
"Carlos Rodon SP  NYY "	161	30	30	12	1	16	8	0	0	0	185	50	133	3.47	1.14	128
"Evan Phillips RP  LAD "	60	67	0	0	0	2	2	37	5	3	68	13	35	1.80	0.80	131
"Chris Bassitt SP  TOR"	180	30	30	21	1	13	9	0	0	0	164	53	163	3.60	1.20	132
"Chris Sale SP  ATL "	143	29	29	9	0	10	6	0	0	0	172	37	124	3.46	1.13	133
"Jordan Montgomery SP  TEX"	173	31	31	17	0	12	7	0	0	2	151	42	169	3.33	1.22	134
"Tanner Scott RP  MIA "	73	75	0	0	0	2	3	28	8	4	108	34	58	3.08	1.26	135
"Hunter Greene SP  CIN "	157	29	29	11	0	9	8	0	0	0	204	56	153	4.24	1.33	136
"Michael King RP  SD"	145	29	29	9	0	8	8	0	0	0	181	39	128	2.98	1.15	143
"Adbert Alzolay RP  CHC "	68	69	0	0	0	2	3	31	4	3	83	15	61	3.04	1.12	145
"Gavin Williams SP  CLE"	154	29	29	8	0	6	8	0	0	0	148	58	119	3.16	1.15	147
"Mitch Keller SP  PIT "	179	30	30	17	1	10	9	0	0	0	174	59	171	3.82	1.28	148
"Jose Berrios SP  TOR"	146	25	25	13	0	9	8	0	0	0	138	40	141	4.01	1.24	149
"Kenley Jansen RP  BOS "	62	69	0	0	0	2	3	27	4	3	85	25	56	3.92	1.31	150
"Clay Holmes RP  NYY"	65	69	0	0	0	2	3	30	5	3	70	22	48	2.49	1.08	157
"Yu Darvish SP  SD "	184	30	30	19	0	15	8	0	0	0	183	51	163	3.42	1.16	162
"Cristian Javier SP  HOU "	150	29	29	11	0	11	7	0	0	0	159	51	116	3.42	1.11	167
"Bailey Ober SP  MIN"	156	29	29	13	0	9	7	0	0	0	150	32	140	3.69	1.10	169
"Jose Alvarado RP  PHI"	64	66	0	0	0	2	1	35	6	3	97	29	51	2.67	1.25	179
"Walker Buehler SP  LAD "	111	21	21	7	1	11	4	0	0	0	103	29	101	3.41	1.17	182
"Nathan Eovaldi SP  TEX"	177	30	30	16	2	14	5	0	0	0	165	54	154	3.20	1.18	187
"Shane Bieber SP  CLE "	189	30	30	21	1	11	7	0	0	0	169	47	174	3.29	1.17	189
"Eduardo Rodriguez SP  ARI "	170	29	29	18	0	14	9	0	0	0	149	54	152	3.55	1.21	190
"Hunter Brown SP  HOU "	151	29	29	13	0	14	9	0	0	0	167	49	149	4.17	1.31	193
"Bryan Woo SP  SEA "	146	29	29	7	0	7	7	0	0	0	151	41	130	3.51	1.17	195
"Bryce Miller SP  SEA "	155	29	29	11	0	11	7	0	0	0	145	33	131	3.25	1.06	201
"Ryan Pepiot RP  TB"	152	29	29	9	0	11	6	0	0	0	143	44	123	3.38	1.10	202
"Aaron Civale SP  TB"	154	30	30	9	0	9	7	0	0	0	147	35	137	3.16	1.12	203
"Jose Leclerc RP  TEX "	60	70	0	0	0	2	3	34	10	3	77	32	45	3.15	1.28	204
"Braxton Garrett SP  MIA "	155	29	29	10	0	6	11	0	0	0	150	33	139	3.48	1.11	205
"Shota Imanaga SP  CHC"	168	30	30	11	1	10	6	0	0	0	164	56	161	4.12	1.29	206
"Nick Pivetta RP  BOS "	139	25	25	9	0	8	8	0	0	0	157	48	139	4.27	1.35	208
"Charlie Morton SP  ATL"	160	29	29	11	0	14	8	0	0	0	179	63	140	3.71	1.27	217
"Kenta Maeda SP  DET"	154	30	30	10	0	10	9	0	0	0	163	45	147	3.74	1.25	221
"Cristopher Sanchez SP  PHI"	135	26	26	10	0	7	5	0	0	0	123	25	124	3.33	1.10	224
"Alex Lange RP  DET"	69	73	0	0	0	2	2	28	7	3	91	46	51	4.04	1.41	226
"Brandon Pfaadt SP  ARI "	150	29	29	4	0	4	12	0	0	0	151	41	160	4.74	1.34	227
"Emmet Sheehan SP  LAD "	49	24	12	4	0	5	2	0	0	1	48	19	38	4.59	1.16	228
"Max Scherzer SP  TEX "	33	16	8	4	0	3	3	0	0	0	38	9	27	3.55	1.09	229
"Nestor Cortes SP  NYY "	144	26	26	10	0	10	4	0	0	0	142	41	116	3.25	1.09	243
"Lucas Giolito SP  BOS"	171	30	30	13	0	12	9	0	0	0	181	54	159	3.84	1.25	245
"Triston McKenzie SP  CLE "	172	30	30	16	0	8	13	0	0	0	168	55	145	3.40	1.16	247
"Robert Suarez RP  SD "	63	76	0	0	0	2	2	30	9	3	67	25	38	3.29	1.00	252
"Griffin Canning SP  LAA"	143	26	26	10	0	8	8	0	0	0	154	40	127	3.65	1.17	253
"Reid Detmers SP  LAA"	155	29	29	10	0	7	8	0	0	0	162	58	131	3.37	1.22	254
"Yusei Kikuchi SP  TOR"	148	29	29	8	0	9	6	0	0	0	159	45	144	3.83	1.28	261
"Michael Wacha SP  KC"	165	29	29	15	0	10	7	0	0	0	141	50	160	3.93	1.27	263
"Kyle Bradish SP  BAL "	138	24	24	13	0	8	7	0	0	0	134	39	131	3.59	1.23	264
"Reese Olson SP  DET"	151	28	28	11	0	7	12	0	0	0	145	53	127	3.87	1.19	266
