All Relief Pitchers 2023  Season MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
""Felix Bautista RP  BAL ""	61.0	56	0	0	0	8	2	33	6	1	110	26	30	1.48	0.92	60
"Devin Williams RP  MIL"	58.2	61	0	0	0	8	3	36	4	0	87	28	26	1.53	0.92	66
"Alexis Diaz RP  CIN"	67.1	71	0	0	0	9	6	37	2	2	86	36	44	3.07	1.19	96
"Camilo Doval RP  SF"	67.2	69	0	0	0	6	6	39	8	0	87	26	51	2.93	1.14	110
"David Bednar RP  PIT "	67.1	66	0	0	0	3	3	39	3	0	80	21	53	2.00	1.10	127
"Tanner Scott RP  MIA "	78.0	74	0	0	0	9	5	12	4	24	104	24	53	2.31	0.99	145
"Craig Kimbrel RP  BAL"	69.0	71	0	0	0	8	6	23	5	7	94	28	44	3.26	1.04	155
"Emmanuel Clase RP  CLE"	72.2	75	0	0	0	3	9	44	12	0	64	16	68	3.22	1.16	159
"Josh Hader RP  HOU "	56.1	61	0	0	0	2	3	33	5	0	85	30	32	1.28	1.10	162
"Jordan Romano RP  TOR"	59.0	59	0	0	0	5	7	36	4	2	72	24	48	2.90	1.22	170
"Nick Pivetta RP  BOS "	142.2	38	16	5	0	10	9	1	0	2	183	50	110	4.04	1.12	177
"Raisel Iglesias RP  ATL"	55.2	58	0	0	0	5	4	33	4	0	68	15	51	2.75	1.19	188
"Paul Sewald RP  ARI"	60.2	65	0	0	0	3	2	34	5	0	80	24	46	3.12	1.15	191
"Ryan Pressly RP  HOU "	65.1	65	0	0	0	4	5	31	6	0	74	16	54	3.58	1.07	200
"Jhoan Duran RP  MIN"	62.1	59	0	0	0	3	6	27	5	1	84	25	46	2.45	1.14	206
"Evan Phillips RP  LAD "	61.1	62	0	0	0	2	4	24	3	6	66	13	38	2.05	0.83	209
"Alex Lange RP  DET"	66.0	67	0	0	0	7	5	26	6	6	79	45	43	3.68	1.33	223
"Matt Strahm RP  PHI"	87.2	56	10	0	0	9	5	2	3	11	108	21	68	3.29	1.02	227
"Kyle Finnegan RP  WAS"	69.1	67	0	0	0	7	5	28	8	8	63	24	66	3.76	1.30	230
"Dane Dunning SP  TEX "	172.2	35	26	12	0	12	7	0	0	2	140	55	163	3.70	1.26	231
"Clay Holmes RP  NYY"	63.0	66	0	0	0	4	4	24	3	5	71	23	51	2.86	1.17	240
"Tyler Wells SP  BAL "	118.2	25	20	8	0	7	6	1	0	1	117	34	83	3.64	0.99	241
"Colin Poche RP  TB"	60.2	66	0	0	0	12	3	1	2	22	61	24	42	2.23	1.09	244
"David Robertson RP  TEX "	65.1	62	0	0	0	6	6	18	6	10	78	25	53	3.03	1.19	246
"Kevin Ginkel RP  ARI "	65.1	60	0	0	0	9	1	4	2	8	70	23	41	2.48	0.98	247
"Michael King RP  SD"	104.2	49	9	2	0	4	8	6	1	8	127	32	88	2.75	1.15	253
"Carlos Estevez RP  LAA "	62.1	63	0	0	0	5	5	31	4	2	78	31	62	3.90	1.49	257
"Pete Fairbanks RP  TB"	45.1	49	0	0	0	2	4	25	4	2	68	20	26	2.58	1.01	259
"Adbert Alzolay RP  CHC "	64.0	58	0	0	0	2	5	22	3	7	67	13	52	2.67	1.02	265
"Matt Brash RP  SEA "	70.2	78	0	0	0	9	4	4	2	24	107	29	65	3.06	1.33	277
"Bryan Abreu RP  HOU"	72.0	72	0	0	0	3	2	5	3	24	100	31	44	1.75	1.04	279
"A.J. Puk RP  MIA "	56.2	58	0	0	0	7	5	15	9	2	78	13	54	3.97	1.18	282
"Hector Neris RP  CHC "	68.1	71	0	0	0	6	3	2	1	31	77	31	41	1.71	1.05	288
"Joel Payamps RP  MIL"	70.2	69	0	0	0	7	5	3	2	27	77	17	57	2.55	1.05	293
"Kenley Jansen RP  BOS "	44.2	51	0	0	0	3	6	29	4	0	52	17	40	3.63	1.28	298
"Brusdar Graterol RP  LAD"	67.1	68	1	0	0	4	2	7	1	19	48	12	53	1.20	0.97	301
"Kutter Crawford SP  BOS "	129.1	31	23	4	0	6	8	0	0	2	135	36	107	4.04	1.11	308
"Tyler Holton RP  DET"	85.1	59	1	0	0	3	2	1	0	14	74	18	56	2.11	0.87	310
"Cole Ragans RP  KC"	96.0	29	12	7	0	7	5	0	0	3	113	41	70	3.47	1.16	317
"Hunter Harvey RP  WAS"	60.2	57	0	0	0	4	4	10	5	19	67	13	44	2.82	0.94	318
"Aroldis Chapman RP  PIT "	58.1	61	0	0	0	6	5	6	5	14	103	36	37	3.09	1.25	319
"Andrew Nardi RP  MIA"	57.1	63	0	0	0	8	1	3	1	17	73	21	45	2.67	1.15	323
"Jason Adam RP  TB "	54.1	56	0	0	0	4	2	12	6	11	69	20	35	2.98	1.01	325
"Andrew Heaney SP  TEX"	147.1	34	28	7	0	10	6	0	1	2	151	60	143	4.15	1.38	332
"Kirby Yates RP  TEX"	60.1	61	0	0	0	7	2	5	2	9	80	37	35	3.28	1.19	342
"Bryse Wilson RP  MIL"	76.2	53	0	0	0	6	0	3	1	5	61	22	60	2.58	1.07	344
"Jeff Hoffman RP  PHI"	52.1	54	0	0	0	5	2	1	1	11	69	19	29	2.41	0.92	363
"Will Smith RP  KC "	57.1	60	0	0	0	2	7	22	5	8	55	17	44	4.39	1.06	366
"Lucas Sims RP  CIN "	61.0	67	0	0	0	7	3	3	4	23	72	39	33	3.10	1.18	368
"Andres Munoz RP  SEA"	49.0	52	0	0	0	4	7	13	3	14	67	22	40	2.94	1.27	369
"Yennier Cano RP  BAL"	72.2	72	0	0	0	1	4	8	6	31	65	13	60	2.11	1.00	370
"Nick Martinez RP  CIN "	110.1	63	9	2	0	6	4	1	3	15	106	40	99	3.43	1.26	374
"Ryan Helsley RP  STL"	36.2	33	0	0	0	3	4	14	5	2	52	17	22	2.45	1.06	376
"Emilio Pagan RP  CIN "	69.1	66	1	0	0	5	2	1	5	8	65	21	45	2.99	0.95	378
"Sean Manaea RP  NYM "	117.2	37	10	3	0	7	6	1	1	3	128	42	104	4.44	1.24	380
"Trevor May RP  OAK"	46.2	49	0	0	0	4	4	21	1	1	40	29	35	3.28	1.37	381
"Ian Gibaut RP  CIN"	75.2	74	0	0	0	8	4	3	4	23	69	28	69	3.33	1.28	387
"Javier Assad RP  CHC "	109.1	32	10	4	0	5	3	0	0	3	94	41	93	3.05	1.23	390
"Chris Martin RP  BOS"	51.1	55	0	0	0	4	1	3	1	23	46	8	45	1.05	1.03	392
"Erik Swanson RP  TOR"	66.2	69	0	0	0	4	2	4	1	29	75	21	52	2.97	1.09	393
"Justin Topa RP  MIN "	69.0	75	0	0	0	5	4	3	2	23	61	18	61	2.61	1.14	399
"A.J. Minter RP  ATL"	64.2	70	0	0	0	3	6	10	3	21	82	21	56	3.76	1.19	404
"Jordan Hicks RP  SF "	65.2	65	0	0	0	3	9	12	2	13	81	32	57	3.29	1.36	408
"Michael Tonkin RP  NYM"	80.0	45	0	0	0	7	3	1	2	2	75	23	64	4.28	1.09	409
"Michael Baumann RP  BAL"	64.2	60	0	0	0	10	1	0	3	6	61	33	52	3.76	1.31	410
"Kendall Graveman RP  HOU "	66.1	68	0	0	0	5	6	8	4	13	66	36	51	3.12	1.31	412
"Jhony Brito SP  SD"	90.1	25	13	0	0	9	7	1	0	1	72	28	82	4.28	1.22	414
"Robert Stephenson RP  LAA "	52.1	60	0	0	0	3	4	1	3	15	77	16	30	3.10	0.88	418
"Julian Merryweather RP  CHC"	72.0	69	0	0	0	5	1	2	2	17	98	36	58	3.38	1.31	419
"Kevin Kelly RP  TB"	67.0	57	0	0	0	5	2	1	1	12	56	15	53	3.09	1.01	425
"Griffin Jax RP  MIN"	65.1	71	0	0	0	6	10	4	4	23	68	19	58	3.86	1.18	426
"Justin Lawrence RP  COL "	75.0	69	0	0	0	4	7	11	6	11	78	36	65	3.72	1.35	427
"Jason Foley RP  DET"	69.0	70	0	0	0	3	3	7	2	28	55	15	65	2.61	1.16	430
"Hoby Milner RP  MIL"	64.1	73	0	0	0	2	1	0	0	17	59	13	49	1.82	0.96	436
"Miguel Castro RP  ARI"	64.2	75	0	0	0	6	6	7	4	13	60	25	51	4.31	1.18	439
"Drew Smyly SP  CHC "	142.1	41	23	5	0	11	11	0	2	1	141	56	147	5.00	1.43	440
"Phil Maton RP  TB "	66.0	68	0	0	0	4	3	1	0	10	74	25	49	3.00	1.12	442
"Dauri Moreta RP  PIT"	58.0	55	0	0	0	5	2	1	1	5	76	24	39	3.72	1.09	443
"Danny Coulombe RP  BAL "	51.1	61	0	0	0	5	3	2	3	22	58	12	45	2.81	1.11	444
"Reynaldo Lopez RP  ATL "	66.0	68	0	0	0	3	7	6	5	22	83	34	50	3.27	1.27	447
"Trevor Stephan RP  CLE"	68.2	71	0	0	0	7	7	2	7	28	75	26	63	4.06	1.30	451
"Caleb Ferguson RP  NYY "	60.1	68	7	0	0	7	4	3	4	17	70	23	64	3.43	1.44	454
"Matt Moore RP  LAA "	52.2	50	0	0	0	5	1	0	2	22	60	15	46	2.56	1.16	456
"Jose Alvarado RP  PHI"	41.1	42	0	0	0	0	2	10	1	11	64	18	30	1.74	1.16	457
"Nick Sandlin RP  CLE"	60.0	61	0	0	0	5	5	0	1	10	66	24	38	3.75	1.03	458
"Ryan Yarbrough RP  LAD"	89.2	25	9	3	0	8	7	2	1	1	67	14	96	4.52	1.23	461
"Tyler Rogers RP  SF"	74.0	68	0	0	0	4	5	2	4	30	60	19	66	3.04	1.15	464
"Adam Ottavino RP  NYM "	61.2	66	0	0	0	1	7	12	3	12	62	29	46	3.21	1.22	465
"Shawn Armstrong RP  TB"	52.0	39	6	0	0	1	0	0	2	6	54	11	36	1.39	0.90	467
"Taylor Rogers RP  SF"	51.2	60	0	0	0	6	4	2	0	12	64	25	39	3.83	1.24	468
"Enyel De Los Santos RP  SD"	65.2	70	0	0	0	5	2	0	3	16	62	25	50	3.29	1.14	470
"Shelby Miller RP  DET"	42.0	36	1	0	0	3	0	1	0	3	42	19	19	1.71	0.90	477
"Ryan Brasier RP  LAD "	59.2	59	0	0	0	3	0	2	1	11	56	19	42	3.02	1.02	478
"Pierce Johnson RP  ATL"	62.2	67	0	0	0	2	6	13	3	12	90	30	63	4.02	1.48	481
"Ryan Borucki RP  PIT"	40.1	38	2	0	0	4	0	0	0	9	33	4	26	2.45	0.74	483
"Ian Hamilton RP  NYY"	58.0	39	3	0	0	3	2	2	0	5	69	26	45	2.64	1.22	485
"Josh Winckowski RP  BOS "	84.1	60	1	0	0	4	4	3	3	18	82	31	89	2.88	1.42	486
"Tim Mayza RP  TOR"	53.1	69	0	0	0	3	1	1	2	22	53	15	50	1.52	1.22	488
"Wandy Peralta RP  SD "	54.0	63	0	0	0	4	2	4	3	18	51	30	36	2.83	1.22	490
"Ryan Walker RP  SF"	61.1	49	13	0	0	5	3	1	0	3	78	24	61	3.23	1.39	491
"Kyle Nelson RP  ARI"	56.0	68	2	0	0	7	4	0	2	11	67	14	59	4.18	1.30	493
"Jake Junis RP  MIL "	86.0	40	4	0	0	4	3	1	0	2	96	21	90	3.87	1.29	494
"Martin Perez SP  PIT"	141.2	35	20	8	0	10	4	0	0	2	93	49	150	4.45	1.40	497
"Buck Farmer RP  CIN"	75.0	71	0	0	0	4	5	3	2	10	70	29	58	4.20	1.16	499
"Scott Barlow RP  CLE"	68.0	63	0	0	0	2	6	13	3	7	79	34	61	4.37	1.40	502
"Mark Leiter RP  CHC"	64.1	69	0	0	0	1	3	4	4	28	77	24	48	3.50	1.12	505
"Ryan Pepiot RP  TB"	42.0	8	3	1	0	2	1	0	0	2	38	5	27	2.14	0.76	508
"Jordan Weems RP  WAS"	54.2	51	0	0	0	5	1	0	1	7	60	28	38	3.62	1.21	511
"Tom Cosgrove RP  SD"	51.1	54	0	0	0	1	2	1	0	7	44	19	31	1.75	0.97	514
"Scott McGough RP  ARI "	70.1	63	1	0	0	2	7	9	3	14	86	30	60	4.74	1.28	519
"Giovanny Gallegos RP  STL "	55.0	56	0	0	0	2	4	10	6	20	59	12	54	4.42	1.20	520
"Yimi Garcia RP  TOR"	66.0	73	0	0	0	3	4	3	4	19	79	15	67	4.09	1.24	525
"Steven Matz SP  STL "	105.0	25	17	4	0	4	7	0	0	0	98	32	108	3.86	1.33	526
"Chris Stratton RP  KC"	82.2	64	0	0	0	2	1	1	2	8	81	25	69	3.92	1.14	528
"Jose Leclerc RP  TEX "	57.0	57	0	0	0	0	2	4	5	8	67	28	37	2.68	1.14	529
"JoJo Romero RP  STL"	36.2	27	0	0	0	4	2	3	1	3	42	10	29	3.68	1.06	530
"Will Vest RP  DET"	48.1	48	4	0	0	2	1	2	0	11	56	13	40	2.98	1.10	537
"Elvis Peguero RP  MIL "	61.1	59	0	0	0	4	5	1	2	21	54	26	49	3.38	1.22	540
"Josh Sborz RP  TEX "	52.1	44	0	0	0	6	7	0	3	14	66	17	43	5.50	1.15	544
"Gregory Santos RP  SEA "	66.1	60	0	0	0	2	2	5	4	6	66	17	69	3.39	1.30	545
"Chris Devenski RP  TB "	42.1	38	0	0	0	6	4	0	4	10	42	11	36	4.46	1.11	547
"Sam Moll RP  CIN "	62.1	70	1	0	0	2	3	1	1	9	68	30	47	3.03	1.24	548
"Gabe Speier RP  SEA"	54.2	69	0	0	0	2	2	1	0	17	64	11	47	3.79	1.06	555
"Drew VerHagen RP  STL"	61.0	60	0	0	0	5	1	0	1	14	60	26	52	3.98	1.28	556
"Brock Stewart RP  MIN"	27.2	28	0	0	0	2	0	1	2	8	39	11	19	0.65	1.08	557
"Bowden Francis RP  TOR "	36.1	20	0	0	0	1	0	1	0	1	35	8	22	1.73	0.83	559
"Tristan Beck RP  SF "	85.0	33	3	0	0	3	3	2	0	4	68	21	83	3.92	1.22	560
"Nick Anderson RP  KC"	35.1	35	0	0	0	4	0	1	2	15	36	9	30	3.06	1.10	561
"Gregory Soto RP  PHI"	60.1	69	0	0	0	3	4	3	3	24	65	22	47	4.62	1.14	563
"Zack Littell RP  TB "	90.0	28	14	4	0	3	6	0	0	0	74	12	94	4.10	1.18	565
"Elijah Morgan RP  CLE"	67.1	61	0	0	0	5	2	1	1	8	75	24	73	4.01	1.44	566
"Keynan Middleton RP  STL "	50.2	51	0	0	0	2	2	2	2	5	64	23	40	3.38	1.24	570
"Brooks Raley RP  NYM"	54.2	66	0	0	0	1	2	3	2	25	61	25	44	2.80	1.26	573
"Ron Marinaccio RP  NYY"	47.1	45	0	0	0	4	5	2	2	8	56	27	35	3.99	1.31	575
"Brent Suter RP  CIN"	69.1	57	2	0	0	4	3	0	2	7	55	25	65	3.38	1.30	577
"Andrew Chafin RP  DET"	51.1	63	0	0	0	3	4	8	5	14	63	28	45	4.73	1.42	578
"Seranthony Dominguez RP  PHI"	50.0	57	0	0	0	5	5	2	6	14	48	22	48	3.78	1.40	579
"Jay Jackson RP  MIN "	29.2	25	0	0	0	3	1	0	0	1	27	9	18	2.12	0.91	580
"Brock Burke RP  TEX"	59.2	53	0	0	0	5	3	0	1	12	52	9	64	4.37	1.22	585
"Bryan Baker RP  BAL"	45.0	46	0	0	0	4	3	0	2	11	51	24	33	3.60	1.27	586
"Louie Varland SP  MIN "	68.0	17	10	5	0	4	3	0	0	2	71	17	66	4.63	1.22	587
"Dylan Floro RP  WAS"	56.2	62	0	0	0	5	6	7	2	9	58	17	70	4.76	1.54	592
"Isaiah Campbell RP  BOS"	28.2	27	0	0	0	4	1	1	0	2	33	13	22	2.83	1.22	594
"Tommy Kahnle RP  NYY"	40.2	42	0	0	0	1	3	2	2	14	48	19	26	2.66	1.11	597
"Joe Jimenez RP  ATL"	56.1	59	0	0	0	0	3	0	1	13	73	14	51	3.04	1.15	598
"Caleb Thielbar RP  MIN"	30.2	36	0	0	0	3	1	0	0	14	36	6	23	3.23	0.95	599
"Drew Smith RP  NYM"	56.1	62	0	0	0	4	6	3	0	12	60	29	50	4.15	1.40	602
"Chase Silseth SP  LAA"	52.1	16	8	1	0	4	1	0	0	1	56	26	41	3.96	1.28	605
"Jesse Chavez RP  CHW "	34.2	36	1	0	0	1	0	1	1	14	39	12	26	1.56	1.10	606
"Huascar Brazoban RP  MIA "	58.2	50	0	0	0	5	2	0	2	13	65	31	53	4.14	1.43	607
"Carmen Mlodzinski RP  PIT"	36.0	35	1	0	0	3	3	1	1	10	34	18	28	2.25	1.28	611
"Steven Okert RP  MIN "	58.2	64	2	0	0	3	2	0	2	12	73	24	50	4.45	1.26	612
"Scott Alexander RP  OAK "	48.1	55	8	0	0	7	3	1	1	6	31	11	55	4.66	1.37	614
"Zack Thompson RP  STL"	66.1	25	9	1	0	5	7	0	0	1	72	25	69	4.48	1.42	616
"Derek Law RP  WAS "	55.0	54	3	0	0	4	6	2	1	3	45	26	50	3.60	1.38	620
"Angel Perdomo RP  ATL "	29.0	30	0	0	0	3	2	0	0	6	44	11	21	3.72	1.10	621
"Nate Pearson RP  TOR "	42.2	35	0	0	0	5	2	1	1	3	43	18	36	4.85	1.27	627
"Joe Kelly RP  LAD"	39.1	42	0	0	0	2	5	1	5	14	60	18	29	4.12	1.19	632
"Garrett Whitlock RP  BOS "	71.2	22	10	3	0	5	5	1	1	3	72	13	82	5.15	1.33	633
"Alex Young RP  CIN "	53.2	63	0	0	0	4	2	1	2	14	50	20	53	3.86	1.36	635
"Robert Suarez RP  SD "	27.2	26	0	0	0	4	3	0	3	8	24	10	15	4.23	0.90	636
"Michael Fulmer RP  BOS "	57.0	58	1	0	0	3	5	2	3	11	65	28	48	4.42	1.33	637
"Fernando Cruz RP  CIN"	66.0	58	2	0	0	1	2	0	0	7	98	28	52	4.91	1.21	638
"Brennan Bernardino RP  BOS"	50.2	55	6	0	0	2	1	0	0	4	58	18	48	3.20	1.30	639
"John Brebbia RP  CHW "	38.1	40	10	0	0	3	5	0	1	7	47	14	31	3.99	1.17	640
"Daniel Palencia RP  CHC"	28.1	27	0	0	0	5	3	0	1	2	33	14	22	4.45	1.27	642
"Abner Uribe RP  MIL"	30.2	32	0	0	0	1	0	1	1	8	39	20	16	1.76	1.17	644
"Phil Bickford RP  NYM "	67.1	61	0	0	0	5	5	1	0	4	76	39	59	4.95	1.46	646
"Hayden Wesneski RP  CHC "	89.1	34	11	3	0	3	5	0	1	2	83	32	82	4.63	1.28	649
"Sam Hentges RP  CLE"	52.1	56	0	0	0	3	2	0	1	17	56	18	53	3.61	1.36	650
"Trevor Richards RP  TOR"	72.2	56	3	0	0	2	1	0	2	11	105	35	63	4.95	1.35	651
"Jimmy Cordero RP  NYY"	32.2	31	1	0	0	3	2	0	0	8	34	10	25	3.86	1.07	656
"Ryne Stanek RP  HOU"	50.2	55	0	0	0	3	1	0	1	3	51	21	42	4.08	1.24	657
"Luke Jackson RP  SF"	33.1	33	0	0	0	2	2	0	0	4	43	15	26	2.97	1.23	663
"Cionel Perez RP  BAL "	53.1	65	0	0	0	4	2	3	0	11	44	27	56	3.54	1.56	666
"Tayler Saucedo RP  SEA"	47.2	52	0	0	0	3	2	1	1	3	43	23	41	3.59	1.34	667
"Pedro Avila SP  SD"	50.1	14	6	1	0	2	2	0	0	0	54	25	43	3.22	1.35	668
"Alex Wood RP  OAK "	97.2	29	12	0	0	5	5	0	0	1	74	42	98	4.33	1.43	671
"Austin Pruitt RP  TEX"	48.1	38	6	0	0	2	6	0	1	4	30	12	44	2.98	1.16	672
"Steven Wilson RP  SD"	53.0	52	0	0	0	1	2	0	1	22	57	27	35	3.91	1.17	676
"Victor Gonzalez RP  NYY"	33.2	34	1	0	0	3	3	0	0	4	30	10	27	4.01	1.10	677
"Jacob Bird RP  COL"	89.1	70	3	0	0	3	3	0	5	13	77	27	94	4.33	1.35	678
"Jose Cuas RP  CHC"	65.1	72	2	0	0	3	2	1	2	10	71	35	63	4.00	1.50	679
"Brad Hand RP  ATL"	53.2	60	0	0	0	5	3	1	1	5	59	22	54	5.53	1.42	686
"Jacob Webb RP  BAL "	53.2	54	0	0	0	1	1	1	0	12	57	30	39	3.69	1.29	689
"Cody Bradford RP  TEX "	56.0	20	8	0	0	4	3	0	0	0	51	12	56	5.30	1.21	690
"Xzavion Curry RP  CLE"	95.0	41	9	1	0	3	4	0	0	0	67	30	98	4.07	1.35	691
""Drey Jameson RP  ARI ""	40.2	15	3	0	0	3	1	1	0	1	37	18	40	3.32	1.43	692
"Genesis Cabrera RP  TOR"	55.2	61	0	0	0	2	1	0	3	11	58	24	49	4.04	1.31	695
"Alex Vesia RP  LAD"	49.2	56	1	0	0	2	5	1	1	10	64	17	52	4.35	1.39	697
"Tyler Alexander RP  TB "	44.0	25	1	0	0	2	1	0	0	2	44	5	44	4.50	1.11	702
"Randy Vasquez SP  SD"	37.2	11	5	0	0	2	2	0	0	0	33	18	30	2.87	1.27	704
"Peter Strzelecki RP  ARI"	37.0	37	0	0	0	3	5	0	1	14	37	12	33	4.38	1.22	705
"Andrew Wantz RP  LAA"	39.1	27	3	0	0	2	0	0	0	4	33	15	28	3.89	1.09	707
"Kody Funderburk RP  MIN"	12.0	11	0	0	0	2	0	0	0	2	19	5	6	0.75	0.92	708
"DL Hall RP  MIL "	19.1	18	0	0	0	3	0	0	1	2	23	5	18	3.26	1.19	710
"Grant Hartwig RP  NYM"	35.1	28	0	0	0	5	2	0	0	2	30	15	34	4.84	1.39	711
