All Second Basemen 2023  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Mookie Betts RF  LAD "	584	126	179	99	40	1	39	107	96	107	14	3	.306	.408	.579	4
"Marcus Semien 2B  TEX"	670	122	185	112	40	4	29	100	72	110	14	3	.276	.348	.478	11
"Ozzie Albies 2B  ATL"	596	96	167	99	30	5	33	109	46	107	13	1	.280	.336	.513	13
"Nico Hoerner 2B  CHC"	619	98	175	135	27	4	9	68	49	83	43	7	.283	.346	.383	25
"Ha-seong Kim 2B  SD "	538	84	140	100	23	0	17	60	75	124	38	9	.260	.351	.398	38
"Ketel Marte 2B  ARI"	569	94	157	97	26	9	25	82	71	109	8	2	.276	.358	.485	42
"Bryson Stott 2B  PHI"	585	78	164	115	32	2	15	62	39	100	31	3	.280	.329	.419	44
"Gleyber Torres 2B  NYY "	596	90	163	108	28	2	25	68	67	98	13	6	.274	.347	.453	47
"Spencer Steer 1B  CIN "	582	74	158	95	37	3	23	86	68	139	15	3	.272	.356	.464	49
"Justin Turner DH  TOR "	558	86	154	100	31	0	23	96	51	110	4	1	.276	.345	.455	50
"Luis Arraez 2B  MIA "	574	71	203	160	30	3	10	69	35	34	3	2	.354	.393	.469	71
"Isaac Paredes 3B  TB"	492	71	123	68	24	0	31	98	58	104	1	0	.250	.352	.488	73
"Andres Gimenez 2B  CLE"	557	76	140	93	27	5	15	62	32	112	30	6	.251	.314	.399	81
"Jake Burger 3B  MIA"	492	71	123	60	28	1	34	80	32	149	1	1	.250	.309	.518	87
"Jose Altuve 2B  HOU "	360	76	112	72	21	2	17	51	44	71	14	2	.311	.393	.522	91
"Whit Merrifield LF  PHI "	547	66	149	111	27	0	11	67	36	101	26	10	.272	.318	.382	93
"Brandon Drury 2B  LAA"	485	61	127	68	30	3	26	83	25	136	0	2	.262	.306	.497	117
"Thairo Estrada 2B  SF"	495	63	134	92	26	2	14	49	22	120	23	7	.271	.315	.416	121
"Nolan Gorman 2B  STL"	406	59	96	52	17	0	27	76	53	148	7	2	.236	.328	.478	123
"Christopher Morel DH  CHC "	388	62	96	50	17	3	26	70	36	133	6	2	.247	.313	.508	125
"Jonathan India 2B  CIN "	454	78	111	71	23	0	17	61	52	109	14	2	.244	.338	.407	126
"Matt McLain SS  CIN "	365	65	106	63	23	4	16	50	31	115	14	5	.290	.357	.507	130
"Ryan McMahon 3B  COL"	555	80	133	76	31	3	23	70	68	198	5	5	.240	.322	.431	131
"Tommy Edman 2B  STL "	479	69	119	77	25	4	13	47	35	84	27	4	.248	.307	.399	132
"Willi Castro LF  MIN"	358	60	92	60	18	5	9	34	34	99	33	5	.257	.339	.411	149
"Jeff McNeil 2B  NYM "	585	75	158	119	25	4	10	55	39	65	10	0	.270	.333	.378	169
"Wilmer Flores 1B  SF "	405	51	115	70	22	0	23	60	41	63	0	0	.284	.355	.509	174
"Brandon Lowe 2B  TB "	377	58	87	50	15	1	21	68	50	119	7	0	.231	.328	.443	182
"Amed Rosario SS  TB "	510	70	134	95	25	8	6	58	29	99	15	2	.263	.305	.378	185
"Mauricio Dubon 2B  HOU "	467	76	130	91	26	3	10	46	19	70	7	2	.278	.309	.411	190
"Adam Frazier 2B  KC "	412	59	99	63	21	2	13	60	32	68	11	4	.240	.300	.396	207
"Ezequiel Duran SS  TEX "	406	55	112	74	22	2	14	46	23	120	8	4	.276	.324	.443	211
"Luis Rengifo 2B  LAA "	394	55	104	69	15	4	16	51	41	82	6	4	.264	.339	.444	213
"Geraldo Perdomo SS  ARI "	407	71	100	70	20	4	6	47	64	86	16	4	.246	.353	.359	214
"Jon Berti SS  MIA "	388	53	114	88	16	3	7	33	29	77	16	6	.294	.344	.405	221
"Luis Garcia 2B  WAS"	447	61	119	88	18	4	9	50	27	60	9	4	.266	.303	.385	225
"Edouard Julien 2B  MIN"	338	60	89	56	16	1	16	37	64	128	3	0	.263	.381	.459	249
"Zack Gelof 2B  OAK"	270	40	72	37	20	1	14	32	26	82	14	2	.267	.337	.504	262
"Enrique Hernandez SS  LAD"	465	57	110	76	23	0	11	61	34	97	4	1	.237	.289	.357	273
"Zach McKinstry RF  DET"	464	60	107	73	21	4	9	35	44	113	16	6	.231	.302	.351	283
