All Shortstops 2023  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
Los Cerveceros,Mookie Betts RF | LAD ,584,126,179,99,40,1,39,107,96,107,14,3,.306,.408,.579,4
EVIL EMPIRE ,Bobby Witt SS | KC ,641,97,177,108,28,11,30,96,40,121,49,15,.276,.319,.494,6
Orange-a-Tangs,Francisco Lindor SS | NYM ,602,108,153,87,33,2,31,98,66,137,31,4,.254,.336,.470,10
Whiteness,Trea Turner SS | PHI,639,102,170,104,35,5,26,76,45,150,30,0,.266,.320,.459,17
Shits & Giggles,Corey Seager SS | TEX ,477,88,156,81,42,0,33,96,49,88,2,1,.327,.390,.623,19
Sofa Kings,Nico Hoerner 2B | CHC,619,98,175,135,27,4,9,68,49,83,43,7,.283,.346,.383,25
Los Cerveceros,C.J. Abrams SS | WAS,563,83,138,86,28,6,18,64,32,118,47,4,.245,.299,.412,33
Dirty Pujols,Ha-seong Kim 2B | SD ,538,84,140,100,23,0,17,60,75,124,38,9,.260,.351,.398,38
Sofa Kings,Gunnar Henderson 3B | BAL ,560,100,143,77,29,9,28,82,56,159,10,3,.255,.325,.489,39
W ,Xander Bogaerts SS | SD ,596,83,170,118,31,2,19,58,56,110,19,2,.285,.350,.440,61
Shits & Giggles,Wander Franco SS | TB ,442,65,124,78,23,6,17,58,42,69,30,10,.281,.344,.475,63
Orange-a-Tangs,Bo Bichette SS | TOR ,571,69,175,122,30,3,20,73,27,115,5,3,.306,.339,.475,80
Disco Bush Horticulturists,Dansby Swanson SS | CHC,565,81,138,88,25,3,22,80,66,154,9,1,.244,.328,.416,95
W ,J.P. Crawford SS | SEA,534,94,142,88,35,0,19,65,94,125,2,0,.266,.380,.438,106
Los Cerveceros,Elly De La Cruz SS | CIN ,388,67,91,56,15,7,13,44,35,144,35,8,.234,.300,.410,113
Whiteness,Ezequiel Tovar SS | COL,581,79,147,91,37,4,15,73,25,166,11,5,.253,.287,.408,120
Dirty Pujols,Thairo Estrada 2B | SF,495,63,134,92,26,2,14,49,22,120,23,7,.271,.315,.416,121
Sofa Kings,Matt McLain SS | CIN ,365,65,106,63,23,4,16,50,31,115,14,5,.290,.357,.507,130
Tittys Warriors,Tommy Edman 2B | STL ,479,69,119,77,25,4,13,47,35,84,27,4,.248,.307,.399,132
Tittys Warriors,Willi Castro LF | MIN,358,60,92,60,18,5,9,34,34,99,33,5,.257,.339,.411,149
Shits & Giggles,Anthony Volpe SS | NYY ,541,62,113,65,23,4,21,60,52,167,24,5,.209,.283,.383,150
Dirty Pujols,Willy Adames SS | MIL,553,73,120,65,29,2,24,80,71,165,5,3,.217,.310,.407,152
Dirty Pujols,Jeremy Pena SS | HOU ,577,81,152,107,32,3,10,52,43,129,13,9,.263,.324,.381,160
W ,Maikel Garcia 3B | KC,464,59,126,98,20,4,4,50,38,115,23,7,.272,.323,.358,183
User Abuser,Amed Rosario SS | TB ,510,70,134,95,25,8,6,58,29,99,15,2,.263,.305,.378,185
Whiteness,Orlando Arcia SS | ATL,488,66,129,87,25,0,17,65,39,102,1,0,.264,.321,.420,186
W ,Mauricio Dubon 2B | HOU ,467,76,130,91,26,3,10,46,19,70,7,2,.278,.309,.411,190
W ,Chris Taylor LF | LAD,338,51,80,49,15,1,15,56,41,125,16,3,.237,.326,.420,194
W ,Jorge Mateo SS | BAL ,318,58,69,46,14,2,7,34,22,82,32,5,.217,.267,.340,204
Old Dirty Bugg,Ezequiel Duran SS | TEX ,406,55,112,74,22,2,14,46,23,120,8,4,.276,.324,.443,211
W ,Luis Rengifo 2B | LAA ,394,55,104,69,15,4,16,51,41,82,6,4,.264,.339,.444,213
W ,Geraldo Perdomo SS | ARI ,407,71,100,70,20,4,6,47,64,86,16,4,.246,.353,.359,214
W ,Jon Berti SS | MIA ,388,53,114,88,16,3,7,33,29,77,16,6,.294,.344,.405,221
Sofa Kings,Carlos Correa SS | MIN ,514,60,118,69,29,2,18,65,59,131,0,0,.230,.312,.399,248
Old Dirty Bugg,Javier Baez SS | DET ,510,58,113,82,18,4,9,59,24,125,12,0,.222,.267,.326,271
W ,Enrique Hernandez SS | LAD,465,57,110,76,23,0,11,61,34,97,4,1,.237,.289,.357,273
W ,Zach McKinstry RF | DET,464,60,107,73,21,4,9,35,44,113,16,6,.231,.302,.351,283
W ,Taylor Walls 3B | TB ,303,50,61,39,12,2,8,36,44,92,22,1,.201,.305,.333,291
W ,Brice Turang 2B | MIL,404,46,88,70,9,3,6,34,38,94,26,4,.218,.285,.299,297
W ,Kyle Farmer 2B | MIN,336,49,85,58,14,2,11,46,23,86,2,4,.253,.314,.405,324
W ,Jose Caballero 2B | TB ,231,37,51,37,9,1,4,26,28,66,26,3,.221,.343,.320,330
W ,Elvis Andrus 2B | CHW,374,39,94,67,20,1,6,44,25,71,12,4,.251,.304,.358,335
Dirty Pujols,Tim Anderson SS | CHW ,493,52,121,100,18,2,1,25,26,122,13,2,.245,.286,.296,420
W ,Miguel Rojas SS | LAD,385,49,91,69,16,1,5,31,26,48,8,3,.236,.290,.322,421
W ,Paul DeJong SS | CHW,372,41,77,50,13,0,14,38,21,121,4,4,.207,.258,.355,428
W ,Edmundo Sosa 3B | PHI,279,34,70,43,15,2,10,30,8,74,4,2,.251,.293,.426,435
W ,Zachary Neto SS | LAA ,289,38,65,39,17,0,9,34,20,77,5,1,.225,.308,.377,445
W ,Andruw Monasterio 3B | MIL,282,38,73,55,14,1,3,27,28,66,7,2,.259,.330,.347,460
W ,Kevin Newman 3B | ARI,225,28,57,38,16,0,3,28,17,34,8,1,.253,.311,.364,496
W ,Garrett Hampson CF | KC,221,30,61,45,12,1,3,23,23,67,5,0,.276,.349,.380,504
W ,Pablo Reyes SS | BOS,167,27,48,37,9,0,2,20,14,21,7,2,.287,.339,.377,512
W ,Oswaldo Cabrera LF | NYY ,298,35,63,47,11,0,5,29,25,72,8,0,.211,.275,.299,517
W ,Liover Peguero SS | PIT ,198,21,47,35,4,1,7,26,11,67,6,2,.237,.280,.374,527
W ,Ildemaro Vargas 3B | WAS,262,32,66,47,13,2,4,31,19,20,1,1,.252,.304,.363,531
W ,Gabriel Arias SS | CLE ,315,36,66,41,15,0,10,26,28,113,3,4,.209,.275,.352,534
W ,Gio Urshela 3B | DET ,214,22,64,53,8,1,2,24,10,36,3,2,.299,.329,.374,543
W ,Brandon Crawford SS | SF,283,31,55,36,11,1,7,38,28,81,3,0,.194,.273,.315,558
W ,Nicky Lopez 2B | CHW,225,32,52,40,8,3,1,25,26,40,6,2,.231,.326,.307,569
W ,Alan Trejo 2B | COL,207,24,48,33,11,0,4,26,16,51,5,1,.232,.288,.343,576
W ,Zack Short 2B | NYM,221,17,45,29,9,0,7,33,28,66,5,0,.204,.292,.339,588
W ,Dylan Moore LF | SEA,145,18,30,13,9,1,7,19,16,56,7,3,.207,.303,.428,591
W ,Santiago Espinal 2B | TOR,230,30,57,41,14,0,2,25,18,36,2,1,.248,.309,.335,593
W ,Tyler Freeman 3B | CLE,153,20,37,26,7,0,4,18,10,30,5,0,.242,.295,.366,619
Disco Bush Horticulturists,Casey Schmitt SS | SF ,253,28,52,32,15,0,5,30,13,65,2,1,.205,.256,.324,631
W ,Joey Wendle SS | NYM,297,33,63,42,16,3,2,20,13,67,7,1,.212,.248,.306,641
W ,Nick Allen SS | OAK,303,29,67,57,4,2,4,20,17,52,5,1,.221,.263,.287,643
W ,Rodolfo Castro 2B | PHI,227,21,48,35,7,0,6,24,23,74,1,4,.211,.297,.322,682
W ,Aledmys Diaz SS | OAK,315,25,72,47,20,1,4,24,17,66,1,0,.229,.280,.337,683
W ,Tucupita Marcano SS | SD ,202,16,47,30,12,2,3,18,10,35,5,2,.233,.277,.356,693
Disco Bush Horticulturists,Trevor Story SS | BOS,158,12,32,20,9,0,3,14,9,55,10,3,.203,.250,.317,701
W ,Andrew Velazquez SS | ATL,81,12,14,9,3,0,2,3,10,30,13,3,.173,.264,.284,720
W ,Josh H. Smith SS | TEX ,195,29,36,21,8,1,6,15,25,55,1,0,.185,.304,.328,723
W ,Yu Chang SS | TB ,105,12,17,9,2,0,6,18,3,34,4,0,.162,.200,.352,735
W ,Jose Barrero SS | CIN,133,15,29,19,8,0,2,17,15,44,3,2,.218,.295,.323,771
W ,Nick Ahmed SS | ARI,198,14,42,29,10,1,2,17,12,52,5,1,.212,.257,.303,786
W ,Ernie Clement SS | TOR,50,7,19,16,1,1,1,10,1,4,1,0,.380,.385,.500,798
W ,Kevin Smith SS | NYY,135,15,25,16,4,0,5,11,5,51,1,0,.185,.220,.326,845
W ,Ceddanne Rafaela CF | BOS ,83,11,20,12,6,0,2,5,4,28,3,1,.241,.281,.386,849
W ,Oswald Peraza 3B | NYY,173,15,33,23,8,0,2,14,13,50,4,3,.191,.267,.272,856
W ,Osleivis Basabe SS | TB,87,15,19,13,5,0,1,12,6,25,0,1,.218,.277,.310,864
W ,David Fletcher SS | ATL,89,7,22,19,1,0,2,12,7,9,0,0,.247,.302,.326,892
W ,Nick Gonzales 2B | PIT,115,12,24,13,8,1,2,13,6,36,0,1,.209,.268,.348,907
Los Cerveceros,Oneil Cruz SS | PIT ,32,7,8,6,1,0,1,4,7,8,3,0,.250,.375,.375,916
W ,Tyler Wade SS | SD,51,8,13,11,1,1,0,2,4,13,4,0,.255,.309,.314,931
W ,Luis Guillorme 2B | ATL,107,12,24,16,6,1,1,9,10,28,0,0,.224,.288,.327,951
W ,Vidal Brujan 2B | MIA,76,14,13,11,2,0,0,6,5,21,3,2,.171,.241,.197,958
W ,Vaughn Grissom SS | BOS ,75,5,21,17,3,1,0,9,2,15,0,1,.280,.312,.347,985
W ,Brayan Rocchio SS | CLE,81,9,20,14,6,0,0,8,4,27,0,0,.247,.279,.321,993
W ,Masyn Winn SS | STL ,122,8,21,17,2,0,2,12,10,26,2,1,.172,.230,.238,1030
W ,Jeter Downs SS | NYY ,5,4,2,2,0,0,0,1,4,1,2,0,.400,.667,.400,1061
W ,Jonathan Arauz 3B | LAD,59,3,8,5,0,0,3,9,5,18,0,0,.136,.203,.288,1116
W ,Jacob Amaya SS | MIA,9,1,2,2,0,0,0,2,0,1,1,0,.222,.222,.222,1169
Whiteness,Marco Luciano SS | SF ,39,4,9,6,3,0,0,0,6,17,1,0,.231,.333,.308,1179
W ,Luke Williams SS | ATL,19,1,1,1,0,0,0,0,0,7,4,0,.053,.053,.053,1180
W ,Jose Tena SS | CLE,31,2,7,5,2,0,0,3,3,13,0,0,.226,.294,.290,1209
W ,Alika Williams SS | PIT,101,7,20,15,5,0,0,6,9,35,0,0,.198,.270,.247,1214
W ,Grae Kessinger SS | HOU ,40,3,8,5,2,0,1,1,5,12,0,1,.200,.289,.325,1215
W ,Kyren Paris SS | LAA ,40,4,4,4,0,0,0,1,4,17,3,0,.100,.200,.100,1224
W ,Mason McCoy SS | TOR,1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,1235
W ,Livan Soto SS | LAA ,9,2,2,2,0,0,0,0,3,2,0,0,.222,.417,.222,1238
W ,Jonathan Ornelas SS | TEX,7,2,1,1,0,0,0,0,0,4,0,0,.143,.250,.143,1259
W ,Johan Camargo SS | SF,18,0,4,4,0,0,0,2,1,4,0,0,.222,.300,.222,1262
W ,David Hamilton SS | BOS ,33,2,4,2,2,0,0,0,6,10,2,1,.121,.256,.182,1287
W ,Diego Castillo SS | BAL ,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1290
W ,Braden Shewmake SS | CHW,4,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,1315
W ,Connor Kaiser SS | COL,4,0,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,1315
Dirty Pujols,Jordan Lawlar SS | ARI ,31,2,4,4,0,0,0,0,2,11,1,1,.129,.206,.129,1325
W ,Ryan Kreidler SS | DET ,18,2,2,2,0,0,0,0,0,7,0,0,.111,.111,.111,1328
W ,Ehire Adrianza SS | LAA ,10,0,0,0,0,0,0,0,1,4,0,0,.000,.091,.000,1362
W ,Chris Owings SS | LAD ,25,0,4,4,0,0,0,0,0,12,0,0,.160,.160,.160,1363
W ,Victor Jesus Acosta SS | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Freudis Nova SS | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Derniche Valdez SS | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Caleb Durbin SS | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ruben Tejada SS | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Franklin Torres SS | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nick Sogard SS | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Izaac Pacheco SS | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Kevin Vicuna SS | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Roderick Arias SS | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Christopher Torres SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,David Masters SS | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cadyn Grenier SS | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tanner Rahier SS | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gianfranco Wawoe SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Kevin McGonigle SS | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Victor Manuel Acosta SS | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Eugene Helder SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Edryn Rodriguez SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Anthony Phillips SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Leo De Vries SS | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Robelys Reyes SS | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Walker Martin SS | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jimmy Glowenke SS | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Leonardo Reginatto SS | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Denzer Guzman SS | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ray-Patrick Didder SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Dane Hutcheon SS | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Emmanuel Marrero SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jackson Loftin SS | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Johan Cruz SS | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Orelvis Martinez SS | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Madison Stokes SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Branden Fryman SS | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Aaron Blanton SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Daniel Pinero SS | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cutter Coffey SS | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Shawn O'Malley SS | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Trever Morrison SS | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jonah McReynolds SS | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Starlyn Caba SS | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brice Matthews SS | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Sardinas SS | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jeremy Rivera SS | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Arjun Nimmala SS | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alexander Perez SS | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cito Culver SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Sharlon Schoop SS | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gus Steiger SS | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Robbie Glendinning SS | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Carson Matthews SS | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Albert Suarez SS | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Andy Vasquez SS | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Sean Miller SS | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ernie Yake SS | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alfredo Lopez SS | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Colt Emerson SS | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Miguel Pabon SS | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Taylor Featherston SS | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wilber Sanchez SS | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Vicente Conde SS | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gregory Barrios SS | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Maikol Hernandez SS | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Arquimedes Gamboa SS | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joshua Rivera SS | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
